"Entity","AddressID","Line1","Line2","City","PostalCode","FDN_country","Region"
"Address","1001","923 Main St","Suite 658","New York","87397","CTRY-BRA",""
"Address","1002","626 Main St","Suite 127","Singapore","36062","CTRY-CAN",""
"Address","1003","835 Main St","Suite 263","Sao Paulo","65392","CTRY-USA",""
"Address","1004","399 Main St","Suite 199","London","55082","CTRY-USA",""
"Address","1005","575 Main St","Suite 400","Sao Paulo","91070","CTRY-DEU",""
"Address","1006","243 Main St","Suite 891","London","20458","CTRY-USA",""
"Address","1007","383 Main St","Suite 266","London","56566","CTRY-BRA",""
"Address","1008","185 Main St","Suite 646","Sao Paulo","42087","CTRY-SGP",""
"Address","1009","873 Main St","Suite 886","New York","40021","CTRY-BRA",""
"Address","1010","907 Main St","Suite 835","London","37869","CTRY-CAN",""
"Address","1011","152 Main St","Suite 352","Sao Paulo","83579","CTRY-CAN",""
"Address","1012","151 Main St","Suite 621","Berlin","21915","CTRY-GBR",""
"Address","1013","620 Main St","Suite 165","Berlin","60019","CTRY-BRA",""
"Address","1014","127 Main St","Suite 798","Singapore","44973","CTRY-BRA",""
"Address","1015","986 Main St","Suite 839","Sao Paulo","44522","CTRY-DEU",""
"Address","1016","633 Main St","Suite 303","Toronto","59009","CTRY-BRA",""
"Address","1017","510 Main St","Suite 119","New York","57576","CTRY-SGP",""
"Address","1018","507 Main St","Suite 935","New York","79822","CTRY-USA",""
"Address","1019","903 Main St","Suite 721","Berlin","37760","CTRY-GBR",""
"Address","1020","472 Main St","Suite 223","Toronto","39451","CTRY-DEU",""
"Address","1021","17 Main St","Suite 172","Sao Paulo","92719","CTRY-SGP",""
"Address","1022","536 Main St","Suite 343","London","97684","CTRY-GBR",""
"Address","1023","494 Main St","Suite 926","Berlin","34957","CTRY-CAN",""
"Address","1024","488 Main St","Suite 984","Sao Paulo","17100","CTRY-DEU",""
"Address","1025","206 Main St","Suite 294","Singapore","68800","CTRY-USA",""
"Address","1026","463 Main St","Suite 927","Singapore","22833","CTRY-CAN",""
"Address","1027","879 Main St","Suite 342","Toronto","63269","CTRY-USA",""
"Address","1028","398 Main St","Suite 102","Berlin","44760","CTRY-USA",""
"Address","1029","313 Main St","Suite 322","New York","85914","CTRY-CAN",""
"Address","1030","524 Main St","Suite 973","Singapore","30635","CTRY-SGP",""
