"Entity","CustomerID","PublisherID_counterparty","SourceID_counterparty","CustomerType","PaymentTerms","CreditLimit","CreditRating","PreferredInvoicingCurrency"
"Customer","CUST001","ERP","CP-CUST-001","B2C","NET30","54469.58","A-","CURR-BRL"
"Customer","CUST002","ERP","CP-CUST-002","B2C","NET30","117381.36","BBB","CURR-CAD"
"Customer","CUST003","ERP","CP-CUST-003","B2C","NET45","73321.92","BBB","CURR-USD"
"Customer","CUST004","ERP","CP-CUST-004","B2C","NET30","159459.77","A","CURR-USD"
"Customer","CUST005","ERP","CP-CUST-005","B2C","NET60","78843.29","A","CURR-EUR"
"Customer","CUST006","ERP","CP-CUST-006","B2B","NET30","107018.93","BB","CURR-USD"
"Customer","CUST007","ERP","CP-CUST-007","B2B","NET60","90046.67","A","CURR-BRL"
"Customer","CUST008","ERP","CP-CUST-008","B2B","NET45","106918.32","A-","CURR-SGD"
"Customer","CUST009","ERP","CP-CUST-009","B2B","NET45","110174.72","A","CURR-BRL"
"Customer","CUST010","ERP","CP-CUST-010","B2C","NET45","182702.47","BB","CURR-CAD"
"Customer","CUST011","ERP","CP-CUST-011","B2C","NET60","137687.9","BB","CURR-CAD"
"Customer","CUST012","ERP","CP-CUST-012","B2B","NET30","72926.2","A-","CURR-GBP"
"Customer","CUST013","ERP","CP-CUST-013","B2C","NET60","87712.12","A","CURR-BRL"
"Customer","CUST014","ERP","CP-CUST-014","B2C","NET30","94025.02","A-","CURR-BRL"
"Customer","CUST015","ERP","CP-CUST-015","B2B","NET60","186894.18","BBB","CURR-EUR"
"Customer","CUST016","ERP","CP-CUST-016","B2B","NET60","193024.96","A","CURR-BRL"
"Customer","CUST017","ERP","CP-CUST-017","B2C","NET30","58688.77","A","CURR-SGD"
"Customer","CUST018","ERP","CP-CUST-018","B2B","NET30","148962.62","A-","CURR-USD"
"Customer","CUST019","ERP","CP-CUST-019","B2B","NET60","96757.44","BBB","CURR-GBP"
"Customer","CUST020","ERP","CP-CUST-020","B2B","NET45","53155.14","A-","CURR-EUR"
"Customer","CUST021","ERP","CP-CUST-021","B2B","NET30","60110.05","A","CURR-SGD"
"Customer","CUST022","ERP","CP-CUST-022","B2C","NET30","130885.09","BB","CURR-GBP"
"Customer","CUST023","ERP","CP-CUST-023","B2B","NET30","148847.41","BBB","CURR-CAD"
"Customer","CUST024","ERP","CP-CUST-024","B2B","NET30","110393.19","BBB","CURR-EUR"
"Customer","CUST025","ERP","CP-CUST-025","B2B","NET45","77523.21","BB","CURR-USD"
"Customer","CUST026","ERP","CP-CUST-026","B2B","NET60","199892.37","A","CURR-CAD"
"Customer","CUST027","ERP","CP-CUST-027","B2C","NET45","82062.09","BB","CURR-USD"
"Customer","CUST028","ERP","CP-CUST-028","B2C","NET45","113451.12","BB","CURR-USD"
"Customer","CUST029","ERP","CP-CUST-029","B2B","NET60","97040.72","A","CURR-CAD"
"Customer","CUST030","ERP","CP-CUST-030","B2B","NET60","62016.72","A-","CURR-SGD"
