"Entity","OrgUnitID","OrgUnitBusinessCode","OrgUnitName","OrgUnitTypeID","PublisherID_counterparty","SourceID_counterparty","Description"
"OrgUnit","OU-GLOBEX","OU-GLOBEX","Globex Holdings","OUT-GROUP","ERP","CP-GLOBEX","Global corporate parent"
"OrgUnit","OU-US-LE","OU-US-LE","Globex US Inc.","OUT-LEGALENTITY","ERP","CP-GLOBEX-US","United States legal entity"
"OrgUnit","OU-CA-LE","OU-CA-LE","Globex Canada Ltd.","OUT-LEGALENTITY","ERP","CP-GLOBEX-CA","Canada legal entity"
"OrgUnit","OU-UK-LE","OU-UK-LE","Globex UK PLC","OUT-LEGALENTITY","ERP","CP-GLOBEX-UK","UK legal entity"
"OrgUnit","OU-DE-LE","OU-DE-LE","Globex Germany GmbH","OUT-LEGALENTITY","ERP","CP-GLOBEX-DE","Germany legal entity"
"OrgUnit","OU-SG-LE","OU-SG-LE","Globex Singapore Pte","OUT-LEGALENTITY","ERP","CP-GLOBEX-SG","Singapore legal entity"
"OrgUnit","OU-BR-LE","OU-BR-LE","Globex Brazil SA","OUT-LEGALENTITY","ERP","CP-GLOBEX-BR","Brazil legal entity"
"OrgUnit","OU-US-CS","OU-US-CS","US Consumer Solutions BU","OUT-BUSINESSUNIT","","","Operational unit"
"OrgUnit","OU-US-ENT","OU-US-ENT","US Enterprise Services BU","OUT-BUSINESSUNIT","","","Operational unit"
"OrgUnit","OU-CA-NORTH","OU-CA-NORTH","Canada North BU","OUT-BUSINESSUNIT","","","Operational unit"
"OrgUnit","OU-UK-RETL","OU-UK-RETL","UK EMEA Retail BU","OUT-BUSINESSUNIT","","","Operational unit"
"OrgUnit","OU-DE-AUTO","OU-DE-AUTO","Germany Automotive BU","OUT-BUSINESSUNIT","","","Operational unit"
"OrgUnit","OU-SG-DIG","OU-SG-DIG","APAC Digital BU","OUT-BUSINESSUNIT","","","Operational unit"
"OrgUnit","OU-BR-MFG","OU-BR-MFG","LATAM Manufacturing BU","OUT-BUSINESSUNIT","","","Operational unit"
"OrgUnit","OU-US-CS-MKT","OU-US-CS-MKT","US Consumer Solutions MKT","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-US-CS-OPS","OU-US-CS-OPS","US Consumer Solutions OPS","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-US-ENT-MKT","OU-US-ENT-MKT","US Enterprise Services MKT","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-US-ENT-OPS","OU-US-ENT-OPS","US Enterprise Services OPS","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-CA-NORTH-MKT","OU-CA-NORTH-MKT","Canada North MKT","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-CA-NORTH-OPS","OU-CA-NORTH-OPS","Canada North OPS","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-UK-RETL-MKT","OU-UK-RETL-MKT","UK EMEA Retail MKT","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-UK-RETL-OPS","OU-UK-RETL-OPS","UK EMEA Retail OPS","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-DE-AUTO-MKT","OU-DE-AUTO-MKT","Germany Automotive MKT","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-DE-AUTO-OPS","OU-DE-AUTO-OPS","Germany Automotive OPS","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-SG-DIG-MKT","OU-SG-DIG-MKT","APAC Digital MKT","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-SG-DIG-OPS","OU-SG-DIG-OPS","APAC Digital OPS","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-BR-MFG-MKT","OU-BR-MFG-MKT","LATAM Manufacturing MKT","OUT-COSTCENTER","","","Operational unit"
"OrgUnit","OU-BR-MFG-OPS","OU-BR-MFG-OPS","LATAM Manufacturing OPS","OUT-COSTCENTER","","","Operational unit"
