Entity,OrgHierarchyNodeID,OrgHierarchyID,EffectiveStartDate,EffectiveEndDate,ParentNodeID,OrgUnitID,RelationshipType,Sequence
OrgHierarchyNode,REL-055,OHV-BUD-2025,01-01-2025,31-12-2025,,OU-GLOBEX,ReportsTo,
OrgHierarchyNode,REL-022,OHV-BUD-2025,01-01-2025,31-12-2025,REL-055,OU-US-LE,ReportsTo,
OrgHierarchyNode,REL-023,OHV-BUD-2025,01-01-2025,31-12-2025,REL-055,OU-CA-LE,ReportsTo,
OrgHierarchyNode,REL-024,OHV-BUD-2025,01-01-2025,31-12-2025,REL-055,OU-UK-LE,ReportsTo,
OrgHierarchyNode,REL-025,OHV-BUD-2025,01-01-2025,31-12-2025,REL-055,OU-DE-LE,ReportsTo,
OrgHierarchyNode,REL-026,OHV-BUD-2025,01-01-2025,31-12-2025,REL-055,OU-SG-LE,ReportsTo,
OrgHierarchyNode,REL-027,OHV-BUD-2025,01-01-2025,31-12-2025,REL-055,OU-BR-LE,ReportsTo,
OrgHierarchyNode,REL-001,OHV-BUD-2025,01-01-2025,31-12-2025,REL-022,OU-US-CS,ReportsTo,
OrgHierarchyNode,REL-002,OHV-BUD-2025,01-01-2025,31-12-2025,REL-022,OU-US-ENT,ReportsTo,
OrgHierarchyNode,REL-003,OHV-BUD-2025,01-01-2025,31-12-2025,REL-023,OU-CA-NORTH,ReportsTo,
OrgHierarchyNode,REL-004,OHV-BUD-2025,01-01-2025,31-12-2025,REL-024,OU-UK-RETL,ReportsTo,
OrgHierarchyNode,REL-005,OHV-BUD-2025,01-01-2025,31-12-2025,REL-025,OU-DE-AUTO,ReportsTo,
OrgHierarchyNode,REL-006,OHV-BUD-2025,01-01-2025,31-12-2025,REL-026,OU-SG-DIG,ReportsTo,
OrgHierarchyNode,REL-007,OHV-BUD-2025,01-01-2025,31-12-2025,REL-027,OU-BR-MFG,ReportsTo,
OrgHierarchyNode,REL-008,OHV-BUD-2025,01-01-2025,30-06-2025,REL-001,OU-US-CS-MKT,ReportsTo,
OrgHierarchyNode,REL-009,OHV-BUD-2025,01-07-2025,31-12-2025,REL-001,OU-US-CS-OPS,ReportsTo,
OrgHierarchyNode,REL-010,OHV-BUD-2025,01-01-2025,31-12-2025,REL-002,OU-US-ENT-MKT,ReportsTo,
OrgHierarchyNode,REL-011,OHV-BUD-2025,01-01-2025,31-12-2025,REL-002,OU-US-ENT-OPS,ReportsTo,
OrgHierarchyNode,REL-012,OHV-BUD-2025,01-01-2025,31-12-2025,REL-003,OU-CA-NORTH-MKT,ReportsTo,
OrgHierarchyNode,REL-013,OHV-BUD-2025,01-01-2025,31-12-2025,REL-003,OU-CA-NORTH-OPS,ReportsTo,
OrgHierarchyNode,REL-014,OHV-BUD-2025,01-01-2025,31-12-2025,REL-004,OU-UK-RETL-MKT,ReportsTo,
OrgHierarchyNode,REL-015,OHV-BUD-2025,01-01-2025,31-12-2025,REL-004,OU-UK-RETL-OPS,ReportsTo,
OrgHierarchyNode,REL-016,OHV-BUD-2025,01-01-2025,31-12-2025,REL-005,OU-DE-AUTO-MKT,ReportsTo,
OrgHierarchyNode,REL-017,OHV-BUD-2025,01-01-2025,31-12-2025,REL-005,OU-DE-AUTO-OPS,ReportsTo,
OrgHierarchyNode,REL-018,OHV-BUD-2025,01-01-2025,31-12-2025,REL-006,OU-SG-DIG-MKT,ReportsTo,
OrgHierarchyNode,REL-019,OHV-BUD-2025,01-01-2025,31-12-2025,REL-006,OU-SG-DIG-OPS,ReportsTo,
OrgHierarchyNode,REL-020,OHV-BUD-2025,01-01-2025,31-12-2025,REL-007,OU-BR-MFG-MKT,ReportsTo,
OrgHierarchyNode,REL-021,OHV-BUD-2025,01-01-2025,31-12-2025,REL-007,OU-BR-MFG-OPS,ReportsTo,
OrgHierarchyNode,REL-056,OHV-ACT-2025,01-01-2025,31-12-2025,,OU-GLOBEX,ReportsTo,
OrgHierarchyNode,REL-049,OHV-ACT-2025,01-01-2025,31-12-2025,REL-056,OU-US-LE,ReportsTo,
OrgHierarchyNode,REL-050,OHV-ACT-2025,01-01-2025,31-12-2025,REL-056,OU-CA-LE,ReportsTo,
OrgHierarchyNode,REL-051,OHV-ACT-2025,01-01-2025,31-12-2025,REL-056,OU-UK-LE,ReportsTo,
OrgHierarchyNode,REL-052,OHV-ACT-2025,01-01-2025,31-12-2025,REL-056,OU-DE-LE,ReportsTo,
OrgHierarchyNode,REL-053,OHV-ACT-2025,01-01-2025,31-12-2025,REL-056,OU-SG-LE,ReportsTo,
OrgHierarchyNode,REL-054,OHV-ACT-2025,01-01-2025,31-12-2025,REL-056,OU-BR-LE,ReportsTo,
OrgHierarchyNode,REL-028,OHV-ACT-2025,01-01-2025,31-12-2025,REL-049,OU-US-CS,ReportsTo,
OrgHierarchyNode,REL-029,OHV-ACT-2025,01-01-2025,31-12-2025,REL-049,OU-US-ENT,ReportsTo,
OrgHierarchyNode,REL-030,OHV-ACT-2025,01-01-2025,31-12-2025,REL-050,OU-CA-NORTH,ReportsTo,
OrgHierarchyNode,REL-031,OHV-ACT-2025,01-01-2025,31-12-2025,REL-051,OU-UK-RETL,ReportsTo,
OrgHierarchyNode,REL-032,OHV-ACT-2025,01-01-2025,31-12-2025,REL-052,OU-DE-AUTO,ReportsTo,
OrgHierarchyNode,REL-033,OHV-ACT-2025,01-01-2025,31-12-2025,REL-053,OU-SG-DIG,ReportsTo,
OrgHierarchyNode,REL-034,OHV-ACT-2025,01-01-2025,31-12-2025,REL-054,OU-BR-MFG,ReportsTo,
OrgHierarchyNode,REL-035,OHV-ACT-2025,01-01-2025,31-12-2025,REL-028,OU-US-CS-MKT,ReportsTo,
OrgHierarchyNode,REL-036,OHV-ACT-2025,01-01-2025,31-12-2025,REL-028,OU-US-CS-OPS,ReportsTo,
OrgHierarchyNode,REL-037,OHV-ACT-2025,01-01-2025,31-12-2025,REL-029,OU-US-ENT-MKT,ReportsTo,
OrgHierarchyNode,REL-038,OHV-ACT-2025,01-01-2025,31-12-2025,REL-029,OU-US-ENT-OPS,ReportsTo,
OrgHierarchyNode,REL-039,OHV-ACT-2025,01-01-2025,31-12-2025,REL-030,OU-CA-NORTH-MKT,ReportsTo,
OrgHierarchyNode,REL-040,OHV-ACT-2025,01-01-2025,31-12-2025,REL-030,OU-CA-NORTH-OPS,ReportsTo,
OrgHierarchyNode,REL-041,OHV-ACT-2025,01-01-2025,31-12-2025,REL-031,OU-UK-RETL-MKT,ReportsTo,
OrgHierarchyNode,REL-042,OHV-ACT-2025,01-01-2025,31-12-2025,REL-031,OU-UK-RETL-OPS,ReportsTo,
OrgHierarchyNode,REL-043,OHV-ACT-2025,01-01-2025,31-12-2025,REL-032,OU-DE-AUTO-MKT,ReportsTo,
OrgHierarchyNode,REL-044,OHV-ACT-2025,01-01-2025,31-12-2025,REL-032,OU-DE-AUTO-OPS,ReportsTo,
OrgHierarchyNode,REL-045,OHV-ACT-2025,01-01-2025,31-12-2025,REL-033,OU-SG-DIG-MKT,ReportsTo,
OrgHierarchyNode,REL-046,OHV-ACT-2025,01-01-2025,31-12-2025,REL-033,OU-SG-DIG-OPS,ReportsTo,
OrgHierarchyNode,REL-047,OHV-ACT-2025,01-01-2025,31-12-2025,REL-034,OU-BR-MFG-MKT,ReportsTo,
OrgHierarchyNode,REL-048,OHV-ACT-2025,01-01-2025,31-12-2025,REL-034,OU-BR-MFG-OPS,ReportsTo,
