Entity,AccountID,ChartOfAccountsID,AccountCode,AccountName,AccountType,ParentAccountID,IsPosting
Account,COA-GRP-1000,COA-GRP,1000,Assets,Asset,,false
Account,COA-GRP-1100,COA-GRP,1100,Cash and Cash Equivalents,Asset,COA-GRP-1000,true
Account,COA-GRP-1200,COA-GRP,1200,Trade Receivables,Asset,COA-GRP-1000,true
Account,COA-GRP-1300,COA-GRP,1300,"Property, Plant and Equipment",Asset,COA-GRP-1000,true
Account,COA-GRP-2000,COA-GRP,2000,Liabilities,Liability,,false
Account,COA-GRP-2100,COA-GRP,2100,Trade Payables,Liability,COA-GRP-2000,true
Account,COA-GRP-2200,COA-GRP,2200,Accrued Liabilities,Liability,COA-GRP-2000,true
Account,COA-GRP-3000,COA-GRP,3000,Equity,Equity,,false
Account,COA-GRP-3100,COA-GRP,3100,Share Capital,Equity,COA-GRP-3000,true
Account,COA-GRP-3200,COA-GRP,3200,Retained Earnings,Equity,COA-GRP-3000,true
Account,COA-GRP-4000,COA-GRP,4000,Revenue,Revenue,,false
Account,COA-GRP-4100,COA-GRP,4100,Product Revenue,Revenue,COA-GRP-4000,true
Account,COA-GRP-4200,COA-GRP,4200,Service Revenue,Revenue,COA-GRP-4000,true
Account,COA-GRP-5000,COA-GRP,5000,Cost of Sales,Expense,,true
Account,COA-GRP-6000,COA-GRP,6000,Operating Expenses,Expense,,false
Account,COA-GRP-6100,COA-GRP,6100,Payroll Expense,Expense,COA-GRP-6000,true
Account,COA-GRP-6110,COA-GRP,6110,Selling and Marketing Expense,Expense,COA-GRP-6000,true
Account,COA-GRP-6120,COA-GRP,6120,General and Administrative Expense,Expense,COA-GRP-6000,true
Account,COA-GRP-RPT-R100,COA-GRP-RPT,R100,Balance Sheet - Assets,Asset,,false
Account,COA-GRP-RPT-R200,COA-GRP-RPT,R200,Balance Sheet - Liabilities,Liability,,false
Account,COA-GRP-RPT-R300,COA-GRP-RPT,R300,Balance Sheet - Equity,Equity,,false
Account,COA-GRP-RPT-R400,COA-GRP-RPT,R400,Income Statement - Revenue,Revenue,,false
Account,COA-GRP-RPT-R410,COA-GRP-RPT,R410,Income Statement - Product Revenue,Revenue,COA-GRP-RPT-R400,false
Account,COA-GRP-RPT-R420,COA-GRP-RPT,R420,Income Statement - Service Revenue,Revenue,COA-GRP-RPT-R400,false
Account,COA-GRP-RPT-R500,COA-GRP-RPT,R500,Income Statement - Cost of Sales,Expense,,false
Account,COA-GRP-RPT-R600,COA-GRP-RPT,R600,Income Statement - Operating Expenses,Expense,,false
Account,COA-USA-1010,COA-USA,1010,US Cash,Asset,,true
Account,COA-USA-4010,COA-USA,4010,US Revenue,Revenue,,true
Account,COA-USA-5010,COA-USA,5010,US COGS,Expense,,true
Account,COA-USA-6010,COA-USA,6010,US Payroll,Expense,,true
Account,COA-USA-6110,COA-USA,6110,US Marketing,Expense,,true
Account,COA-USA-7210,COA-USA,7210,US Marketing Split,Expense,,true
Account,COA-CAN-1010,COA-CAN,1010,CA Cash,Asset,,true
Account,COA-CAN-4010,COA-CAN,4010,CA Revenue,Revenue,,true
Account,COA-CAN-5010,COA-CAN,5010,CA COGS,Expense,,true
Account,COA-CAN-6010,COA-CAN,6010,CA Payroll,Expense,,true
Account,COA-CAN-6110,COA-CAN,6110,CA Marketing,Expense,,true
Account,COA-UK-1010,COA-UK,1010,UK Cash,Asset,,true
Account,COA-UK-4010,COA-UK,4010,UK Revenue,Revenue,,true
Account,COA-UK-5010,COA-UK,5010,UK COGS,Expense,,true
Account,COA-UK-6010,COA-UK,6010,UK Payroll,Expense,,true
Account,COA-UK-6110,COA-UK,6110,UK Marketing,Expense,,
Account,COA-DE-1010,COA-DE,1010,DE Cash,Asset,,true
Account,COA-DE-4010,COA-DE,4010,DE Revenue,Revenue,,true
Account,COA-DE-5010,COA-DE,5010,DE COGS,Expense,,true
Account,COA-DE-6010,COA-DE,6010,DE Payroll,Expense,,true
Account,COA-DE-6110,COA-DE,6110,DE Marketing,Expense,,true
Account,COA-SG-1010,COA-SG,1010,SG Cash,Asset,,true
Account,COA-SG-4010,COA-SG,4010,SG Revenue,Revenue,,true
Account,COA-SG-5010,COA-SG,5010,SG COGS,Expense,,true
Account,COA-SG-6010,COA-SG,6010,SG Payroll,Expense,,true
Account,COA-SG-6110,COA-SG,6110,SG Marketing,,,true
Account,COA-BR-1010,COA-BR,1010,BR Cash,Asset,,true
Account,COA-BR-4010,COA-BR,4010,BR Revenue,Revenue,,true
Account,COA-BR-5010,COA-BR,5010,BR COGS,Expense,,true
Account,COA-BR-6010,COA-BR,6010,BR Payroll,Expense,,true
Account,COA-BR-6110,COA-BR,6110,BR Marketing,Expense,,true
