Entity,EntityType,Attribute,DataType,Mandatory,Description,ReferenceTo
CounterpartyGroup,BASIC,CounterpartyGroupID,String,Y,"Surrogate identifier for counterparty group",
CounterpartyGroup,BASIC,GroupName,String,Y,"Counterparty group display name",
CounterpartyGroup,BASIC,NormalizedGroupName,String,N,"Trimmed and uppercased group name for matching",
CounterpartyGroup,BASIC,PhonetizedGroupName,String,N,"Phonetic representation of group name for fuzzy matching",
CounterpartyGroup,BASIC,DUNSNumber,String,N,"Global DUNS or external registry number",
CounterpartyGroup,BASIC,NormalizedDUNSNumber,String,N,"Trimmed and uppercased DUNS/registration identifier",
CounterpartyGroup,BASIC,UltimateParentFlag,Boolean,N,"Indicates whether the group is the top of hierarchy",
CounterpartyGroup,BASIC,ParentGroupID,String,N,"Parent group ID","CounterpartyGroup"
CounterpartyGroup,BASIC,HeadquartersCountry,String,N,"Headquarters country","Country"
CounterpartyGroup,BASIC,Sector,String,N,"Industry sector",
Counterparty,FUZZY_MATCHED,CounterpartyID,LongInteger,Y,"Surrogate identifier for the counterparty master",
Counterparty,FUZZY_MATCHED,LegalName,String,Y,"Official registered name",
Counterparty,FUZZY_MATCHED,NormalizedLegalName,String,N,"Trimmed and uppercased legal name for matching",
Counterparty,FUZZY_MATCHED,PhonetizedLegalName,String,N,"Phonetic representation of legal name for fuzzy matching",
Counterparty,FUZZY_MATCHED,ParentGroupID,String,N,"Parent group ID","CounterpartyGroup"
Counterparty,FUZZY_MATCHED,TaxID,String,N,"Primary tax identification number",
Counterparty,FUZZY_MATCHED,NormalizedTaxID,String,N,"Trimmed and uppercased tax identifier",
Counterparty,FUZZY_MATCHED,CurrencyCode,String,N,"Currency code","Currency"
Counterparty,FUZZY_MATCHED,CountryCode,String,Y,"Country code","Country"
Counterparty,FUZZY_MATCHED,IsCustomer,Boolean,N,"Flag indicating customer role",
Counterparty,FUZZY_MATCHED,IsSupplier,Boolean,N,"Flag indicating supplier role",
Counterparty,FUZZY_MATCHED,IsInternalEntity,Boolean,N,"Indicates the counterparty is part of our corporate group",
Customer,BASIC,CustomerID,String,Y,"Source-system customer identifier",
Customer,BASIC,CounterpartyID,String,Y,"Counterparty ID","Counterparty"
Customer,BASIC,CustomerType,String,N,"Business classification (B2B, B2C, etc.)",
Customer,BASIC,PaymentTerms,String,N,"Standard AR payment terms",
Customer,BASIC,NormalizedPaymentTerms,String,N,"Trimmed and uppercased payment terms for standardization",
Customer,BASIC,CreditLimit,Decimal(18,2),N,"Maximum credit exposure",
Customer,BASIC,CreditRating,String,N,"Internal or external credit score",
Customer,BASIC,PreferredInvoicingCurrency,String,N,"Preferred invoicing currency","Currency"
Supplier,BASIC,SupplierID,String,Y,"Source-system supplier identifier",
Supplier,BASIC,CounterpartyID,String,Y,"Counterparty ID","Counterparty"
Supplier,BASIC,PaymentTerms,String,N,"Standard AP payment terms",
