Entity,EntityType,Attribute,DataType,Mandatory,Description,ReferenceTo
Currency,BASIC,CurrencyID,String,Y,"Surrogate identifier for currency",
Currency,BASIC,CurrencyCode,String,Y,"ISO 4217 currency code",
Currency,BASIC,NormalizedCurrencyCode,String,N,"Trimmed and uppercased currency code",
Currency,BASIC,CurrencyName,String,Y,"Currency full name",
Currency,BASIC,NormalizedCurrencyName,String,N,"Trimmed and uppercased currency name",
Currency,BASIC,Symbol,String,N,"Currency symbol",
Currency,BASIC,DecimalPrecision,Integer,N,"Number of decimals used",
Currency,BASIC,ExchangeRateSource,String,N,"Source of exchange rate",
Region,BASIC,RegionID,String,Y,"Unique region identifier",
Region,BASIC,RegionName,String,Y,"Region or location name",
Region,BASIC,NormalizedRegionName,String,N,"Trimmed and uppercased region name",
Region,BASIC,ISOCode,String,N,"Standardized ISO or internal region code",
Region,BASIC,NormalizedISOCode,String,N,"Trimmed and uppercased ISO/internal region code",
Region,BASIC,ReportingZone,String,N,"Internal reporting grouping",
Country,BASIC,CountryID,String,Y,"Unique identifier for country",
Country,BASIC,CountryCode,String,Y,"ISO Alpha-3 country code",
Country,BASIC,NormalizedCountryCode,String,N,"Trimmed and uppercased country code",
Country,BASIC,CountryName,String,Y,"Official country name",
Country,BASIC,NormalizedCountryName,String,N,"Trimmed and uppercased country name",
Country,BASIC,ISOAlpha2,String,N,"ISO Alpha-2 code",
Country,BASIC,NormalizedISOAlpha2,String,N,"Trimmed and uppercased ISO Alpha-2 code",
Country,BASIC,ISOAlpha3,String,N,"ISO Alpha-3 code",
Country,BASIC,NormalizedISOAlpha3,String,N,"Trimmed and uppercased ISO Alpha-3 code",
Country,BASIC,GeoZone,String,N,"Geographic region or continent",
Country,BASIC,ReportingZone,String,N,"Internal reporting grouping",
Country,BASIC,CurrencyID,String,N,"Currency ID","Currency"
Country,BASIC,RegionID,String,N,"Region ID","Region"
FiscalCalendar,BASIC,CalendarID,String,Y,"Surrogate identifier for fiscal calendar",
FiscalCalendar,BASIC,CalendarCode,String,Y,"Business key for the fiscal calendar",
FiscalCalendar,BASIC,FiscalYear,String,Y,"Fiscal year represented",
FiscalCalendar,BASIC,PeriodCount,Integer,Y,"Number of periods in the fiscal year",
FiscalCalendar,BASIC,StartDate,Date,Y,"Fiscal year start date",
FiscalCalendar,BASIC,EndDate,Date,Y,"Fiscal year end date",
FiscalCalendar,BASIC,IsStandard,Boolean,N,"Flag indicating the corporate standard calendar",
FiscalCalendar,BASIC,Description,String,N,"Description of the fiscal calendar",
FiscalPeriod,BASIC,PeriodID,String,Y,"Surrogate identifier for the period",
FiscalPeriod,BASIC,CalendarID,String,Y,"Calendar ID","FiscalCalendar"
FiscalPeriod,BASIC,FiscalYear,String,Y,"Fiscal year number",
FiscalPeriod,BASIC,PeriodNumber,Integer,Y,"Period number in fiscal year",
FiscalPeriod,BASIC,PeriodLabel,String,Y,"Human-readable business label for the period",
FiscalPeriod,BASIC,StartDate,Date,Y,"Start date of the period",
FiscalPeriod,BASIC,EndDate,Date,Y,"End date of the period",
FiscalPeriod,BASIC,Quarter,String,N,"Quarter label (Q1, Q2, etc.)",
CostType,BASIC,CostTypeID,String,Y,"Surrogate identifier for cost type",
CostType,BASIC,CostTypeCode,String,Y,"Business key or ERP cost type code",
CostType,BASIC,Description,String,Y,"Description of the cost type",
CostType,BASIC,AccountType,String,N,"Account type the cost type belongs to",
CostType,BASIC,ExpenseGroup,String,N,"Expense grouping",
CostType,BASIC,ParentCostTypeID,String,N,"Parent cost type ID","CostType"
StatusCode,BASIC,StatusCode,String,Y,"Unique lifecycle code",
StatusCode,BASIC,Label,String,Y,"Display label for the status",
StatusCode,BASIC,Description,String,N,"Status description",
StatusCode,BASIC,Category,String,N,"Category of entities using the status",
StatusCode,BASIC,Sequence,Integer,N,"Ordering sequence",
TaxCode,BASIC,TaxCodeID,String,Y,"Surrogate identifier for tax code",
TaxCode,BASIC,Name,String,Y,"Name of the tax code",
TaxCode,BASIC,Description,String,N,"Description of the tax code",
TaxCode,BASIC,TaxRate,Decimal(5,2),Y,"Tax rate percentage",
TaxCode,BASIC,CountryCode,String,Y,"Country code","Country"
TaxCode,BASIC,JurisdictionType,String,N,"Jurisdiction type (federal, state, etc.)",
