FDN_RelationshipType,FDN_FromLegalEntity,FDN_ToLegalEntity
Appointment,1108,932
Appointment,879,793
Appointment,875,1038
Appointment,628,1019
Appointment,936,995
Appointment,978,673
Appointment,1157,756
Appointment,981,1008
Appointment,1081,1076
Appointment,1067,946
Appointment,1137,792
Appointment,834,1028
GP,976,603
GP,709,719
GP,787,1190
GP,722,1117
GP,862,627
GP,835,1143
GP,681,945
GP,865,648
GP,674,1083
GP,733,723
GP,867,1049
GP,737,1171
GP,999,1099
GP,919,853
GP,1020,819
GP,953,934
GP,829,867
GP,1112,1135
LP,936,1150
LP,799,1096
LP,875,668
LP,881,1117
LP,988,727
LP,743,793
LP,1169,770
LP,1113,899
LP,843,1173
LP,656,1129
LP,702,1076
LP,1020,925
LP,1180,1127
LP,906,1075
LP,611,999
LP,862,1026
LP,1141,1026
LP,634,952
LP,1183,1054
Member,746,707
Member,774,747
Member,1113,891
Member,684,1153
Member,1050,998
Member,1125,1051
Member,622,688
Member,909,734
Member,773,896
Member,801,1114
Member,1121,834
Member,737,930
Member,1062,608
Member,918,831
Member,845,995
Member,747,931
Member,1113,1177
Member,1120,794
Member,965,747
Member,1077,700
Member,1115,669
Member,650,1108
Member,766,1190
Member,663,807
Member,1113,690
Member,1187,744
Member,1118,631
Member,695,844
Member,875,973
Member,1188,625
Member,789,1154
Member,955,1025
Member,976,890
Member,917,1092
Member,1086,1057
Member,1108,1100
Member,608,1032
Member,664,1057
Member,1111,1115
Member,618,884
Member,1007,609
Member,1077,722
Member,612,1109
Member,1118,876
Member,811,997
Member,626,1131
Member,736,955
Member,988,907
Member,675,996
Member,965,761
Member,817,1115
Member,976,937
Member,878,1101
Member,725,1128
Member,946,717
Member,631,744
Member,1180,907
Member,1046,723
Member,789,831
Member,614,1104
Member,1087,895
Member,1120,1088
Member,840,874
Member,1181,1030
Member,1016,749
Member,1014,1072
Member,660,1170
Member,968,1088
Member,1000,973
Member,911,926
Member,1088,1078
Member,879,692
Member,726,677
Member,976,1031
Member,880,902
Member,669,913
Member,941,645
