ID,Name,InheritedCurrency,StartDate,EndDate,InceptionDate,FDN_Currency,FDN_GroupType,FDN_InvestmentStructure,FDN_Strategy
1,Legal Entity Group 001,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Group,Open-End,Global Credit
2,Legal Entity Group 002,,"Jan 6, 2019","Jan 1, 2100","Oct 27, 2020",AUD,Aggregate,Open-End,Global Credit
3,Legal Entity Group 003,,"Jan 6, 2019","Jan 1, 2100","Oct 27, 2020",AUD,Aggregate,Open-End,Global Credit
4,Legal Entity Group 004,,"Jan 1, 2020","Jan 1, 2100","Oct 27, 2020",AUD,Aggregate,Open-End,Global Credit
5,Legal Entity Group 005,,"Jan 1, 2020","Jan 1, 2100","Oct 27, 2020",AUD,Aggregate,Open-End,Global Credit
6,Legal Entity Group 006,,"Jan 4, 2020","Jan 1, 2100","Mar 4, 2020",USD,Commingled,Closed-End,Distressed Debt
7,Legal Entity Group 007,,"Jan 8, 2020","Jan 1, 2100","Mar 8, 2020",USD,Commingled,Closed-End,Distressed Debt
8,Legal Entity Group 008,,"Aug 27, 2020","Jan 1, 2100","Aug 27, 2020",USD,Commingled,Closed-End,Distressed Debt
9,Legal Entity Group 009,,"Jan 8, 2020","Jan 1, 2100","Mar 8, 2020",USD,Commingled,Closed-End,Distressed Debt
10,Legal Entity Group 010,,"Jan 8, 2020","Jan 1, 2100","Mar 8, 2020",USD,Commingled,Closed-End,Distressed Debt
11,Legal Entity Group 011,,"Jun 18, 2018","Jan 1, 2100","Mar 1, 2017",USD,Group,Open-End,Global Credit
12,Legal Entity Group 012,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Group,Open-End,Global Credit Cash Proxy- Perf
13,Legal Entity Group 013,,"Jan 2, 2017","Jan 1, 2100","Jan 2, 2017",USD,Group,Open-End,Global Credit
14,Legal Entity Group 014,,"Jan 2, 2017","Jan 1, 2100","Jan 2, 2017",USD,Group,Open-End,Global Credit
15,Legal Entity Group 015,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Group,Open-End,US Senior Loans
16,Legal Entity Group 016,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Group,Open-End,European Senior Loans
17,Legal Entity Group 017,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Group,Open-End,US High Yield
18,Legal Entity Group 018,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Group,Open-End,Global Senior Loans
19,Legal Entity Group 019,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Group,Open-End,Global Credit
20,Legal Entity Group 020,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Group,Open-End,Global Credit Cash Proxy- Perf
21,Legal Entity Group 021,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Group,Open-End,Global Credit Cash Proxy- Perf
22,Legal Entity Group 022,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Group,Open-End,US Senior Loans
23,Legal Entity Group 023,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Group,Open-End,US Senior Loans
24,Legal Entity Group 024,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Group,Open-End,European Senior Loans
25,Legal Entity Group 025,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Group,Open-End,Global Credit
26,Legal Entity Group 026,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Group,Open-End,European Senior Loans
27,Legal Entity Group 027,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Group,Open-End,US High Yield
28,Legal Entity Group 028,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Group,Open-End,US High Yield
29,Legal Entity Group 029,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,European High Yield
30,Legal Entity Group 030,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,Emerging Markets Debt Total Return
31,Legal Entity Group 031,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,Non-US Convertibles
32,Legal Entity Group 032,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,Real Estate
33,Legal Entity Group 033,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,High Income
34,Legal Entity Group 034,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,US High Yield
35,Legal Entity Group 035,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,US Senior Loans
36,Legal Entity Group 036,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,European Senior Loans
37,Legal Entity Group 037,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,US Convertibles
38,Legal Entity Group 038,,"Mar 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,Corporate Structured Credit- Perf
39,Legal Entity Group 039,,"Mar 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,Global Credit Cash Proxy- Perf
40,Legal Entity Group 040,,"Jan 1, 2017","Jan 1, 2100","Mar 1, 2017",USD,Separate,Open-End,Global Convertibles
41,Legal Entity Group 041,,"Dec 16, 2019","Jan 1, 2100","Jan 2, 2021",AUD,Separate,Open-End,US Senior Loans
42,Legal Entity Group 042,,"Jun 22, 2020","Jan 1, 2100","Jan 11, 2019",USD,Separate,Open-End,Absolute Return
43,Legal Entity Group 043,,"Jan 1, 2017","Jan 1, 2100","Jan 2, 2021",USD,Separate,Open-End,US Senior Loans
44,Legal Entity Group 044,,"Jan 1, 2017","Jan 1, 2100","Jan 2, 2021",USD,Separate,Open-End,European Senior Loans
45,Legal Entity Group 045,,"Jan 1, 2017","Jan 1, 2100","Jan 5, 2022",USD,Separate,Open-End,US High Yield
46,Legal Entity Group 046,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,Global Credit Cash Proxy- Perf
47,Legal Entity Group 047,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,US High Yield
48,Legal Entity Group 048,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,European High Yield
49,Legal Entity Group 049,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,US Senior Loans
50,Legal Entity Group 050,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,European Senior Loans
51,Legal Entity Group 051,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,Emerging Markets Debt Total Return
52,Legal Entity Group 052,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,High Income
53,Legal Entity Group 053,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,Non-US Convertibles
54,Legal Entity Group 054,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,Corporate Structured Credit- Perf
55,Legal Entity Group 055,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,Real Estate
56,Legal Entity Group 056,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,US Convertibles
57,Legal Entity Group 057,,"Jan 6, 2019","Jan 1, 2100","Jan 6, 2019",AUD,Separate,Open-End,Global Convertibles
58,Legal Entity Group 058,,"Jan 6, 2019","Jan 1, 2100","Jan 11, 2019",AUD,Separate,Open-End,Absolute Return
59,Legal Entity Group 059,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,Global Credit Cash Proxy- Perf
60,Legal Entity Group 060,,"Dec 16, 2019","Jan 1, 2100","Jan 1, 2020",AUD,Separate,Open-End,Absolute Return
61,Legal Entity Group 061,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,US High Yield
62,Legal Entity Group 062,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,European High Yield
63,Legal Entity Group 063,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,US Senior Loans
64,Legal Entity Group 064,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,European Senior Loans
65,Legal Entity Group 065,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,Emerging Markets Debt Total Return
66,Legal Entity Group 066,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,Corporate Structured Credit- Perf
67,Legal Entity Group 067,,"Jan 1, 2020","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,Real Estate
68,Legal Entity Group 068,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,Global Convertibles
69,Legal Entity Group 069,,"Jan 6, 2019","Jan 1, 2100","Jan 2, 2021",AUD,Separate,Open-End,US Senior Loans
70,Legal Entity Group 070,,"Jan 6, 2019","Jan 1, 2100","Jan 2, 2021",AUD,Separate,Open-End,European Senior Loans
71,Legal Entity Group 071,,"Jan 2, 2022","Jan 1, 2100","Jan 2, 2022",AUD,Separate,Open-End,US Private Debt
72,Legal Entity Group 072,,"Dec 16, 2019","Jan 1, 2100","Dec 16, 2019",AUD,Separate,Open-End,European Senior Loans
73,Legal Entity Group 073,,"Dec 16, 2019","Jan 1, 2100","Jan 5, 2022",AUD,Separate,Open-End,US High Yield
74,Legal Entity Group 074,,"Jan 6, 2019","Jan 1, 2100","Jan 5, 2022",AUD,Separate,Open-End,US High Yield
