Id,Name,Normalizedname,Phone,SourceAddress.AddressLine,SourceAddress.City,SourceAddress.State,SourceAddress.ZipCode,SourceAddress.Country,Fdn_legalentity8
1000,Morgan Stanley,MORGAN STANLEY,9142251000,440 S La Salle St,Chicago,IL,60605,US,599
1001,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,3750 W Market St Unit A,Fairlawn,OH,44333,US,600
1002,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,10928 Eagle River Rd Ste 100,Eagle River,AK,99577,US,601
1003,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8774603788,10928 Eagle River Rd Ste 100,Eagle River,AK,99577,US,602
1004,Allen Financial Management,ALLEN FINANCIAL MANAGEMENT,2485724731,1120 S Lapeer Rd Ste 200,Oxford,MI,48371,US,603
1005,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,82 Bradley Rd,Madison,CT,6443,US,605
1006,Mutual Securities Inc,MUTUAL SECURITIES INC,8057646740,306 N Mulberry St,Elizabethtown,KY,42701,US,606
1007,Morgan Stanley,MORGAN STANLEY,9142251000,440 S La Salle St,Chicago,,,,599
1008,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4155208800,1255 Treat Blvd Ste 300,Walnut Creek,,,,602
1009,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,7501 Wisconsin Ave # 150w,Bethesda,,,,600
1010,Semarchy NAM,SEMARCHY NAM,6502402000,4742 N 24th St.,,,,,1130
1011,Semarchy Northern Europe,SEMARCHY NORTHERN EUROPE,4102402000, Venture House 2 Arlington Square Downshire Way Bracknell Berkshire RG12 1WA United Kingdom,,,,,1130
1012,Semarchy LATAM,SEMARCHY LATAM,'+52 55 8438-0226,Lago Zurich #219 Piso 12 Plaza Carso Ampliacian Granada Miguel Hidalgo 11529 Ciudad de México México,,,,,1130
1013,Semarchy EMEA,SEMARCHY EMEA,+33 4 87 91 89 93,Newton Offices Vaise 55 ter Avenue René Cassin 69009 Lyon France,,,,,1130
1014,Mutual Securities Inc,MUTUAL SECURITIES INC,7243276693,535 Lloyd Ave,Latrobe,,,,606
1015,Morgan Stanley,MORGAN STANLEY,256613646,414 Broad St,Gadsden,,,,599
1016,Morgan Stanley,MORGAN STANLEY,8307922100,1304 Junction Hwy Ste 300,Kerrville,,,,599
1017,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8642329950,110 W Broad St,Greenville,,,,602
1018,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,7327842878,331 Newman Springs Rd Bldg 1,Red Bank,,,,602
1019,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,82 Bradley Rd,Madison,,,,605
1020,Morgan Stanley,MORGAN STANLEY,2144687235,300 Crescent Ct Ste 120,Dallas,,,,599
1021,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5716858259,4340 Innslake Dr,Glen Allen,,,,602
1022,Triad Advisors LLC,TRIAD ADVISORS LLC,3219847345,2100 Meadowlane Ave,W Melbourne,,,,605
1023,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4807539151,2915 E Baseline Rd Ste 111,Gilbert,,,,602
1024,Morgan Stanley,MORGAN STANLEY,3059324250,20807 Biscayne Blvd Ste 403,Aventura,,,,599
1025,Morgan Stanley,MORGAN STANLEY,6077723400,50 Front St,Binghamton,,,,599
1026,Morgan Stanley,MORGAN STANLEY,8339271937,305 Church St Sw Ste 715,Huntsville,,,,599
1027,Morgan Stanley,MORGAN STANLEY,9142251000,1 Liberty Place 1650 Market Street,Philadelphia,,,,599
1028,Morgan Stanley,MORGAN STANLEY,9142251000,450 Royal Palm Way,Palm Beach,,,,599
1029,Morgan Stanley,MORGAN STANLEY,2028629000,1775 I St Nw Ste 400,Washington,,,,599
1030,Morgan Stanley,MORGAN STANLEY,9104818575,1990 Fordham Dr Ste 200,Fayetteville,,,,599
1031,Morgan Stanley,MORGAN STANLEY,9142251000,200 Meeting St Ste 204,Charleston,,,,599
1032,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,1230 Atherton Park,Roswell,,,,601
1033,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8457874232,500 Stony Brook Ct,Newburgh,,,,602
1034,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,7032881272,20755 Williamsport Pl Ste 140,Ashburn,,,,602
1035,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,9048349115,183 Landrum Ln Ste 103,Ponte Vedra Beach,,,,602
1036,Triad Advisors LLC,TRIAD ADVISORS LLC,6306848562,6959 Sw Multnomah Blvd Ste 101,Portland,,,,605
1037,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,15 Brendan Way Ste 215,Greenville,,,,605
1038,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,3075 Townsgate Rd Ste 180,Westlake Village,,,,605
1039,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,2785 Sw Cedar Hills Blvd,Beaverton,,,,600
1040,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,8005448666,4729 E 82nd St,Indianapolis,,,,600
1041,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,13a W 61st St,New York,,,,600
1042,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,9135789000,3400 College Blvd Ste 100,Leawood,,,,602
1043,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5094695030,1104 N 35th Ave,Yakima,,,,602
1044,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,6156181234,41 Peabody St,Nashville,,,,601
1045,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4705238110,180 Interstate North Pkwy Se,Atlanta,,,,602
1046,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,7328525510,21 E Front St Ste 500,Red Bank,,,,602
1047,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,7735402244,2664 Meadow Path,New Lenox,,,,601
