ID,Name,AlphabeticCode,NumericCode,MinorUnit,CommonSymbol,EffectiveFrom,EffectiveTo,IsCurrent
AED,UAE Dirham,AED,784,,د.إ,,,True
AFN,Afghani,AFN,971,,,,,True
ALL,Lek,ALL,008,,,,,True
AMD,Armenian Dram,AMD,051,,,,,True
ANG,Netherlands Antillean Guilder,ANG,532,,,,,True
AOA,Kwanza,AOA,973,,,,,True
ARS,Argentine Peso,ARS,032,,$,,,True
AUD,Australian Dollar,AUD,036,,$,,,True
AWG,Aruban Florin,AWG,533,,,,,True
AZN,Azerbaijanian Manat,AZN,944,,,,,True
BAM,Convertible Mark,BAM,977,,,,,True
BBD,Barbados Dollar,BBD,052,,,,,True
BDT,Taka,BDT,050,,৳,,,True
BGN,Bulgarian Lev,BGN,975,,лв,,,True
BHD,Bahraini Dinar,BHD,048,,,,,True
BIF,Burundi Franc,BIF,108,,,,,True
BMD,Bermudian Dollar,BMD,060,,,,,True
BND,Brunei Dollar,BND,096,,,,,True
BOB,Boliviano,BOB,068,,,,,True
BRL,Brazilian Real,BRL,986,,R$,,,True
BSD,Bahamian Dollar,BSD,044,,,,,True
BTN,Ngultrum,BTN,064,,,,,True
BWP,Pula,BWP,072,,,,,True
BYN,Belarusian Ruble,BYN,933,,,,,True
BZD,Belize Dollar,BZD,084,,,,,True
CAD,Canadian Dollar,CAD,124,,$,,,True
CDF,Congolese Franc,CDF,976,,,,,True
CHF,Swiss Franc,CHF,756,,CHF,,,True
CLP,Chilean Peso,CLP,152,,$,,,True
CNY,Yuan Renminbi,CNY,156,,¥,,,True
COP,Colombian Peso,COP,170,,$,,,True
CRC,Costa Rican Colon,CRC,188,,,,,True
CUC,Peso Convertible,CUC,931,,,,,True
CUP,Cuban Peso,CUP,192,,,,,True
CVE,Cabo Verde Escudo,CVE,132,,,,,True
CZK,Czech Koruna,CZK,203,,Kč,,,True
DJF,Djibouti Franc,DJF,262,,,,,True
DKK,Danish Krone,DKK,208,,kr,,,True
DOP,Dominican Peso,DOP,214,,,,,True
DZD,Algerian Dinar,DZD,012,,,,,True
EGP,Egyptian Pound,EGP,818,,£,,,True
ERN,Nakfa,ERN,232,,,,,True
ETB,Ethiopian Birr,ETB,230,,,,,True
EUR,Euro,EUR,978,,€,,,True
FJD,Fiji Dollar,FJD,242,,,,,True
FKP,Falkland Islands Pound,FKP,238,,,,,True
GBP,Pound Sterling,GBP,826,,£,,,True
GEL,Lari,GEL,981,,,,,True
GHS,Ghana Cedi,GHS,936,,₵,,,True
GIP,Gibraltar Pound,GIP,292,,,,,True
GMD,Dalasi,GMD,270,,,,,True
GNF,Guinea Franc,GNF,324,,,,,True
GTQ,Quetzal,GTQ,320,,,,,True
GYD,Guyana Dollar,GYD,328,,,,,True
HKD,Hong Kong Dollar,HKD,344,,$,,,True
HNL,Lempira,HNL,340,,,,,True
HRK,Kuna,HRK,191,,kn,,,True
HTG,Gourde,HTG,332,,,,,True
HUF,Forint,HUF,348,,Ft,,,True
IDR,Rupiah,IDR,360,,Rp,,,True
ILS,New Israeli Sheqel,ILS,376,,₪,,,True
INR,Indian Rupee,INR,356,,₹,,,True
IQD,Iraqi Dinar,IQD,368,,,,,True
IRR,Iranian Rial,IRR,364,,,,,True
ISK,Iceland Krona,ISK,352,,kr,,,True
JMD,Jamaican Dollar,JMD,388,,,,,True
JOD,Jordanian Dinar,JOD,400,,,,,True
JPY,Yen,JPY,392,,¥,,,True
KES,Kenyan Shilling,KES,404,,Sh,,,True
KGS,Som,KGS,417,,,,,True
KHR,Riel,KHR,116,,,,,True
KMF,Comoro Franc,KMF,174,,,,,True
KPW,North Korean Won,KPW,408,,,,,True
KRW,Won,KRW,410,,₩,,,True
KWD,Kuwaiti Dinar,KWD,414,,,,,True
KYD,Cayman Islands Dollar,KYD,136,,,,,True
KZT,Tenge,KZT,398,,,,,True
LAK,Kip,LAK,418,,,,,True
LBP,Lebanese Pound,LBP,422,,,,,True
LKR,Sri Lanka Rupee,LKR,144,,Rs,,,True
LRD,Liberian Dollar,LRD,430,,,,,True
LSL,Loti,LSL,426,,,,,True
LYD,Libyan Dinar,LYD,434,,,,,True
MAD,Moroccan Dirham,MAD,504,,د.م.,,,True
MDL,Moldovan Leu,MDL,498,,,,,True
MGA,Malagasy Ariary,MGA,969,,,,,True
MKD,Denar,MKD,807,,,,,True
MMK,Kyat,MMK,104,,,,,True
MNT,Tugrik,MNT,496,,,,,True
MOP,Pataca,MOP,446,,,,,True
MRO,Ouguiya,MRO,478,,,,,True
MUR,Mauritius Rupee,MUR,480,,,,,True
MVR,Rufiyaa,MVR,462,,,,,True
MWK,Malawi Kwacha,MWK,454,,,,,True
MXN,Mexican Peso,MXN,484,,$,,,True
MYR,Malaysian Ringgit,MYR,458,,RM,,,True
MZN,Mozambique Metical,MZN,943,,,,,True
NAD,Namibia Dollar,NAD,516,,,,,True
NGN,Naira,NGN,566,,₦,,,True
NIO,Cordoba Oro,NIO,558,,,,,True
NOK,Norwegian Krone,NOK,578,,kr,,,True
NPR,Nepalese Rupee,NPR,524,,₨,,,True
NZD,New Zealand Dollar,NZD,554,,$,,,True
OMR,Rial Omani,OMR,512,,,,,True
PAB,Balboa,PAB,590,,,,,True
PEN,Sol,PEN,604,,S/,,,True
PGK,Kina,PGK,598,,,,,True
PHP,Philippine Peso,PHP,608,,₱,,,True
PKR,Pakistan Rupee,PKR,586,,₨,,,True
PLN,Zloty,PLN,985,,zł,,,True
PYG,Guarani,PYG,600,,,,,True
QAR,Qatari Rial,QAR,634,,﷼,,,True
RON,Romanian Leu,RON,946,,lei,,,True
RSD,Serbian Dinar,RSD,941,,,,,True
RUB,Russian Ruble,RUB,643,,₽,,,True
RWF,Rwanda Franc,RWF,646,,,,,True
SAR,Saudi Riyal,SAR,682,,﷼,,,True
SBD,Solomon Islands Dollar,SBD,090,,,,,True
SCR,Seychelles Rupee,SCR,690,,,,,True
SDG,Sudanese Pound,SDG,938,,,,,True
SEK,Swedish Krona,SEK,752,,kr,,,True
SGD,Singapore Dollar,SGD,702,,$,,,True
SHP,Saint Helena Pound,SHP,654,,,,,True
SLL,Leone,SLL,694,,,,,True
SOS,Somali Shilling,SOS,706,,,,,True
SRD,Surinam Dollar,SRD,968,,,,,True
SSP,South Sudanese Pound,SSP,728,,,,,True
STD,Dobra,STD,678,,,,,True
SVC,El Salvador Colon,SVC,222,,,,,True
SYP,Syrian Pound,SYP,760,,,,,True
SZL,Lilangeni,SZL,748,,,,,True
THB,Baht,THB,764,,฿,,,True
TJS,Somoni,TJS,972,,,,,True
TMT,Turkmenistan New Manat,TMT,934,,,,,True
TND,Tunisian Dinar,TND,788,,د.ت,,,True
TOP,Pa’anga,TOP,776,,,,,True
TRY,Turkish Lira,TRY,949,,₺,,,True
TTD,Trinidad and Tobago Dollar,TTD,780,,,,,True
TWD,New Taiwan Dollar,TWD,901,,,,,True
TZS,Tanzanian Shilling,TZS,834,,,,,True
UAH,Hryvnia,UAH,980,,₴,,,True
UGX,Uganda Shilling,UGX,800,,,,,True
USD,US Dollar,USD,840,,$,,,True
UYU,Peso Uruguayo,UYU,858,,,,,True
UZS,Uzbekistan Sum,UZS,860,,,,,True
VEF,Bolívar,VEF,937,,,,,True
VND,Dong,VND,704,,₫,,,True
VUV,Vatu,VUV,548,,,,,True
WST,Tala,WST,882,,,,,True
XAF,CFA Franc BEAC,XAF,950,,,,,True
XAG,Silver,XAG,961,,,,,True
XAU,Gold,XAU,959,,,,,True
XBA,Bond Markets Unit European Composite Unit (EURCO),XBA,955,,,,,True
XBB,Bond Markets Unit European Monetary Unit (E.M.U.-6),XBB,956,,,,,True
XBC,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),XBC,957,,,,,True
XBD,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),XBD,958,,,,,True
XCD,East Caribbean Dollar,XCD,951,,,,,True
XDR,SDR (Special Drawing Right),XDR,960,,,,,True
XOF,CFA Franc BCEAO,XOF,952,,,,,True
XPD,Palladium,XPD,964,,,,,True
XPF,CFP Franc,XPF,953,,,,,True
XPT,Platinum,XPT,962,,,,,True
XSU,Sucre,XSU,994,,,,,True
XTS,Codes specifically reserved for testing purposes,XTS,963,,,,,True
XUA,ADB Unit of Account,XUA,965,,,,,True
XXX,The codes assigned for transactions where no currency is involved,XXX,999,,,,,True
YER,Yemeni Rial,YER,886,,,,,True
ZAR,Rand,ZAR,710,,R,,,True
ZMW,Zambian Kwacha,ZMW,967,,,,,True
ZWL,Zimbabwe Dollar,ZWL,932,,,,,True
