ID,Name,Code,FIPSCode,FDN_Country
AB,Alberta,AB,CA01,CA
AK,Alaska,AK,2,US
AL,Alabama,AL,1,US
AR,Arkansas,AR,5,US
AS,American Samoa,AS,NULL,US
AZ,Arizona,AZ,4,US
BC,British Columbia,BC,CA02,CA
CA,California,CA,6,US
CO,Colorado,CO,8,US
CT,Connecticut,CT,9,US
DC,District of Columbia,DC,11,US
DE,Delaware,DE,10,US
FL,Florida,FL,12,US
FM,Micronesia,FM,NULL,US
GA,Georgia,GA,13,US
GU,Guam,GU,NULL,US
HI,Hawaii,HI,15,US
IA,Iowa,IA,19,US
ID,Idaho,ID,16,US
IL,Illinois,IL,17,US
IN,Indiana,IN,18,US
KS,Kansas,KS,20,US
KY,Kentucky,KY,21,US
LA,Louisiana,LA,22,US
MA,Massachusetts,MA,25,US
MB,Manitoba,MB,CA03,CA
MD,Maryland,MD,24,US
ME,Maine,ME,23,US
MH,Marshall Islands,MH,NULL,US
MI,Michigan,MI,26,US
MN,Minnesota,MN,27,US
MO,Missouri,MO,29,US
MP,Northern Mariana Islands,MP,NULL,US
MS,Mississippi,MS,28,US
MT,Montana,MT,30,US
NB,New Brunswick,NB,CA04,CA
NC,North Carolina,NC,37,US
ND,North Dakota,ND,38,US
NE,Nebraska,NE,31,US
NF,Newfoundland and Labrador,NF,CA05,CA
NH,New Hampshire,NH,33,US
NJ,New Jersey,NJ,34,US
NM,New Mexico,NM,35,US
NS,Nova Scotia,NS,CA07,CA
NT,Northwest Territories,NT,CA13,CA
NU,Nunavut,NU,CA14,CA
NV,Nevada,NV,32,US
NY,New York,NY,36,US
OH,Ohio,OH,39,US
OK,Oklahoma,OK,40,US
ON,Ontario,ON,CA08,CA
OR,Oregon,OR,41,US
PA,Pennsylvania,PA,42,US
PE,Prince Edward Island,PE,CA09,CA
PR,Puerto Rico,PR,NULL,US
PW,Palau,PW,NULL,US
QC,Quebec,QC,CA10,CA
RI,Rhode Island,RI,44,US
SC,South Carolina,SC,45,US
SD,South Dakota,SD,46,US
SK,Saskatchewan,SK,CA11,CA
TN,Tennessee,TN,47,US
TX,Texas,TX,48,US
UM,U.S. Minor Outlying Islands,UM,NULL,US
US,United States of America,US,NULL,US
UT,Utah,UT,49,US
VA,Virginia,VA,51,US
VI,U.S. Virgin Islands,VI,NULL,US
VT,Vermont,VT,50,US
WA,Washington,WA,53,US
WI,Wisconsin,WI,55,US
WV,West Virginia,WV,54,US
WY,Wyoming,WY,56,US
DF,null,DF,56,US
PROVI,null,PROVI,56,US
YT,Yukon,YT,CA12,CA
