CategoryName,IsActive
Electronics,TRUE
Apparel,TRUE
Home & Garden,TRUE
Food & Beverage,TRUE
Health & Beauty,TRUE
Sports & Outdoors,TRUE
Automotive,TRUE
Toys & Games,TRUE
Books & Media,TRUE
Office Supplies,TRUE
Pet Supplies,TRUE
Garden Tools,TRUE
Kitchenware,TRUE
Beauty Accessories,TRUE
Fitness Equipment,TRUE
Mobile Accessories,TRUE
Computer Hardware,TRUE
Consumer Electronics,TRUE
Home Decor,TRUE
Furniture,TRUE
Baby Products,TRUE
Groceries,TRUE
Beverages,TRUE
Snacks,TRUE
Camera & Photo,TRUE
Audio Equipment,TRUE
Networking,TRUE
Office Furniture,TRUE
Arts & Crafts,TRUE
Musical Instruments,TRUE
Industrial Supplies,TRUE
Medical Supplies,TRUE
Software,TRUE
Video Games,TRUE
Smart Home,TRUE
Tools & Hardware,TRUE
Security Systems,TRUE
Lighting,TRUE
Bedding,TRUE
Mattresses,TRUE
Cookware,TRUE
Tableware,TRUE
Party Supplies,TRUE
Seasonal,TRUE
Travel Accessories,TRUE
Luggage,TRUE
Footwear,TRUE
Outerwear,TRUE
Jewelry,TRUE
Watches,TRUE
Sunglasses,TRUE
Handbags,TRUE
Wallets,TRUE
Home Improvement,TRUE
Plumbing,TRUE
Electrical,TRUE
HVAC,TRUE
Automotive Parts,TRUE
Car Care,TRUE
Motorcycle,TRUE
Boating,TRUE
Cycling,TRUE
Running,TRUE
Camping,TRUE
Hiking,TRUE
Fishing,TRUE
Hunting,TRUE
Skiing,TRUE
Winter Sports,TRUE
Water Sports,TRUE
Board Games,TRUE
Puzzles,TRUE
Educational Toys,TRUE
DIY Kits,TRUE
Model Building,TRUE
Collectibles,TRUE
Antiques,FALSE
Rare Books,FALSE
Designer Fashion,TRUE
Sustainable Goods,TRUE
Organic Foods,TRUE
Local Artisans,TRUE
Handmade,TRUE
Vintage Clothing,FALSE
Secondhand Goods,TRUE
Gift Cards,TRUE
Subscription Services,TRUE
Digital Goods,TRUE
Educational Courses,TRUE
Consulting Services,TRUE
Event Tickets,TRUE
Memberships,TRUE
Personal Care,TRUE
Skincare,TRUE
Makeup,TRUE
Hair Care,TRUE
Nail Care,TRUE
Fragrances,TRUE
Oral Care,TRUE
Specialty Foods,TRUE
