"AddressType","Street","City","State","PostalCode","FDN_Country","SourceID_Party","PublisherID_Party"
"SHIPPING","9922 King Street Floor 5","Singapore","Singapore","904029","SG","100002","API"
"MAILING","4133 MG Road Suite 120","Amsterdam","NH","67069","NL","100002","API"
"BILLING","8555 Baker Street Near Central Plaza","Melbourne","VIC","7783","AU","100003","UI"
"LEGAL","2523 Church St Near Central Plaza","New York","NY","17863","US","100004","API"
"MAILING","420 Market Street","Dubai","Dubai","844969","AE","100004","API"
"SHIPPING","9599 Church St","Toronto","ON","Q4L 8I3","CA","100005","API"
"MAILING","7754 MG Road Block C","Manchester","England","SW70 4DO","GB","100006","API"
"MAILING","9971 Queen Street Apt 2B","Abu Dhabi","Abu Dhabi","628376","AE","100007","UI"
"BILLING","9672 Main St Suite 120","Austin","TX","27956","US","100007","UI"
"SHIPPING","6669 Broadway Building A","Bengaluru","KA","374789","IN","100008","API"
"LEGAL","6742 Baker Street Block C","Bengaluru","KA","289535","IN","100008","API"
"BILLING","8115 Park Blvd Suite 120","Chicago","IL","91012","US","100009","UI"
"SHIPPING","1965 Church St Building A","Singapore","Singapore","701582","SG","100010","API"
"BILLING","560 Nehru Marg Suite 120","Chicago","IL","47529","US","100010","API"
"SHIPPING","8856 Cedar Ln Suite 120","Auckland","Auckland","833943","NZ","100011","API"
"SHIPPING","7806 Canal Road Floor 5","Tokyo","Tokyo","950714","JP","100012","API"
"MAILING","9799 Gandhi St Near Central Plaza","New York","NY","59387","US","100012","API"
"SHIPPING","8186 Park Blvd Apt 2B","Berlin","BE","15101","DE","100013","UI"
"SHIPPING","5581 King Street Block C","Toronto","ON","O0K 5A9","CA","100014","API"
"MAILING","9760 Lake View Dr Block C","Osaka","Osaka","765808","JP","100014","API"
"LEGAL","6865 Sunset Blvd Opp. City Mall","Cape Town","WC","288479","ZA","100015","UI"
"LEGAL","6140 Victoria Road Block C","San Francisco","CA","58011","US","100015","UI"
"MAILING","9483 High St Floor 5","Bengaluru","KA","125681","IN","100016","API"
"BILLING","6778 Maple Rd Block C","Osaka","Osaka","895612","JP","100017","API"
"SHIPPING","5023 Nehru Marg Opp. City Mall","Amsterdam","NH","59795","NL","100018","UI"
"MAILING","3252 Maple Rd Block C","Rome","RM","59602","IT","100019","API"
"MAILING","1922 Maple Rd Apt 2B","Paris","Île-de-France","86856","FR","100019","API"
"LEGAL","1110 Market Street Apt 2B","Rome","RM","24652","IT","100020","API"
"BILLING","9572 Church St Suite 120","Osaka","Osaka","845720","JP","100021","UI"
"SHIPPING","6795 High St Suite 120","Rome","RM","55491","IT","100022","API"
"LEGAL","7813 High St Building A","Abu Dhabi","Abu Dhabi","807471","AE","100022","API"
"MAILING","7490 Gandhi St Opp. City Mall","Auckland","Auckland","337539","NZ","100023","API"
"SHIPPING","7197 Baker Street Opp. City Mall","Abu Dhabi","Abu Dhabi","664502","AE","100023","API"
"BILLING","7285 Victoria Road Unit 14","Amsterdam","NH","30929","NL","100024","API"
"SHIPPING","7980 Maple Rd","Rome","RM","62145","IT","100025","UI"
"BILLING","4975 Ring Road Near Central Plaza","Singapore","Singapore","126665","SG","100025","UI"
"LEGAL","8671 Queen Street Block C","Rome","RM","90490","IT","100026","UI"
"MAILING","9655 Sunset Blvd Near Central Plaza","Tokyo","Tokyo","439580","JP","100026","UI"
"SHIPPING","6416 Broadway Opp. City Mall","Toronto","ON","B2Y 0S2","CA","100027","API"
"SHIPPING","6481 Baker Street Unit 14","Melbourne","VIC","3914","AU","100028","API"
"SHIPPING","7677 Broadway Suite 120","Manchester","England","NW6 4HH","GB","100028","API"
"MAILING","178 Canal Road Suite 120","Berlin","BE","80713","DE","100029","UI"
"MAILING","7614 Church St Building A","Zurich","ZH","81582","CH","100029","UI"
"LEGAL","945 Cedar Ln Unit 14","Abu Dhabi","Abu Dhabi","989419","AE","100030","API"
"MAILING","1181 MG Road Building A","Singapore","Singapore","229848","SG","100030","API"
"LEGAL","915 Oak Ave Opp. City Mall","Rome","RM","18184","IT","100031","UI"
