LegalName,AlternateLegalName,RegistrationNumber,RegistrationAuthority,TaxIdentifier,LegalEntityType,IncorporationDate,TaxIdentifierType,RegistrationCountry,SourceID,PublisherID,SourceID_Party,PublisherID_Party,RegulatoryIdentifier,RegulatoryAuthority
Nova Retail,Nova Retail,54SXJ5EDR7,Chamber of Commerce,C4Z8G138X61E,Trust,"May 16, 2007",VAT,CA,LE500001,API,100002,API,REG-WINX7CHU05,Reserve Bank
UltraTechTraders Global,UltraTechTraders Global,2OSPLFE6C6,Secretary of State,F9X65-MQGJ8Y,LLP,"Mar 10, 2007",VAT,IT,LE500002,API,100003,UI,REG-DGJG4XSSBQ,Insurance Regulatory Authority
Orbit Supplies,Orbit,8RUMU6AHFK,Secretary of State,6N1UQH7Z4X5O,LLP,"Mar 12, 1996",VAT,DE,LE500003,API,100005,API,REG-29EVBZ4TIU,Reserve Bank
TrendZone LLP,TrendZone LLP,T8O3M9JQU3,Commercial Registry,#NAME?,Trust,"Sep 14, 2022",VAT,CA,LE500004,API,100006,API,,
NextGen Pharma,NextGen,2FXYPAYWUR,Australian Securities and Investments Commission,ZGCEYENJD3FG,SoleProprietor,"Jul 15, 2006",VAT,NZ,LE500005,API,100007,UI,REG-45O4Z6MLYH,Telecom Regulatory Authority
NovaPvtLtd Group,,6CGXILW62W,Commercial Registry,L-H6B6RCZMC6,LLP,"Jun 15, 2017",VAT,DE,LE500006,UI,100008,API,REG-EMSKGKUOYJ,Energy Regulatory Commission
Prime Ventures,Prime,4Y26M0AC00,Commercial Registry,SWMO6M6BAO3R,LLP,"Apr 9, 2023",VAT,AE,LE500007,UI,100010,API,,
Vertex Incorporated,Vertex,TVTXLWF6MQ,Chamber of Commerce,Q-NTJFEVQTEC,Partnership,"Sep 9, 2011",VAT,AE,LE500008,UI,100013,UI,REG-XY3IFIWTLE,Insurance Regulatory Authority
SunriseLogistics Global,SunriseLogistics,DLFMXVPEBN,Commercial Registry,0K0C8XKFC591,Trust,"Mar 9, 1998",VAT,FR,LE500009,API,100014,API,REG-V40618NB3Q,Securities and Exchange Commission
ValueMartEnterprises Mart,ValueMartEnterprises,PO77LWB198,Secretary of State,A8G8FX8J1801,Partnership,"Apr 30, 1981",GSTIN,US,LE500010,API,100015,UI,REG-M6T2UCCWQY,Reserve Bank
HarmonyManufacturing Global,HarmonyManufacturing,DISK2ZEJBK,Federal Tax Authority,LKORISJVRPE6,Partnership,"Jan 3, 1980",VAT,ZA,LE500011,API,100017,API,REG-LJV5PKQJLM,Reserve Bank
Harmony Pvt Ltd,,OTHZ7XRTUY,Secretary of State,9SXKKFQU3YKE,LLP,"Jun 22, 1996",GSTIN,BR,LE500012,UI,100018,UI,,
Mosaic Systems,Mosaic Systems,KQLNH166JX,Secretary of State,DCW8UPFQU8D5,SoleProprietor,"May 19, 2021",GSTIN,IN,LE500013,API,100021,UI,REG-3V7EFY504V,Insurance Regulatory Authority
Blue Ocean Ltd,Blue,74LYJ27RY1,Companies House,0SLZV7LZPRNQ,Corporation,"Jul 3, 1981",EIN,AE,LE500014,API,100022,API,REG-OLNPZBQ7M5,Financial Conduct Authority
Prime Chemicals,Prime,MJ6G34LXBF,Commercial Registry,4HOM44BQLY7W,Partnership,"Feb 18, 2007",VAT,DE,LE500015,UI,100023,API,REG-G6DJCCYNQY,Energy Regulatory Commission
IronGate Components,,RIVCTR2P1D,Secretary of State,Q0FR-V9CLNGP,Partnership,"Nov 7, 2021",GSTIN,IT,LE500016,API,100024,API,REG-PPRK4CDZVY,Pharmaceutical Regulatory Board
