ContractID,ContractRef,IsMain,StartDate,EndDate,TerminationReason,FDN_ContractType,FDN_Division,FDN_Employee
82,REF-3456-72,False,05/20/2020,,,101,11,10235
15,REF-2340-33,True,10/07/2020,,,104,5,10383
4,REF-9577-54,False,01/22/2022,12/01/2022,Health reasons,105,2,10387
95,REF-0771-14,True,01/14/2025,04/21/2026,Company reorg,102,7,10196
36,REF-9763-59,False,03/16/2024,,,104,11,10370
32,REF-1876-87,False,03/10/2025,02/03/2026,Retirement,104,8,10002
29,REF-4315-64,True,09/11/2023,,,103,5,10431
18,REF-8317-77,True,09/19/2019,,,101,9,10489
14,REF-8689-00,False,06/25/2023,07/30/2024,Mutual agreement,102,1,10124
87,REF-9295-10,True,06/14/2023,,,105,3,10066
70,REF-7787-70,True,12/21/2020,,,103,7,10494
12,REF-3470-69,True,12/30/2025,12/27/2026,Redundancy,102,9,10232
76,REF-1982-31,True,09/20/2018,05/25/2025,Health reasons,100,10,10113
55,REF-0117-09,True,07/26/2020,10/28/2020,Redundancy,102,9,10122
5,REF-4562-85,False,05/27/2020,,,101,10,10296
98,REF-7744-31,False,07/26/2022,03/11/2023,Retirement,102,7,10211
89,REF-7651-93,True,07/21/2025,,,103,2,10032
28,REF-6596-93,False,03/24/2019,06/10/2021,Health reasons,102,3,10217
30,REF-3006-35,False,10/20/2020,,,102,8,10414
65,REF-9016-12,True,04/25/2025,,,102,2,10475
78,REF-3872-21,False,06/13/2023,,,102,1,10085
85,REF-6209-00,False,12/22/2020,,,100,5,10217
72,REF-9105-84,False,09/27/2019,04/05/2022,Resignation,101,12,10278
26,REF-0998-95,False,08/23/2018,01/26/2024,Health reasons,104,3,10030
90,REF-8320-10,True,10/08/2018,,,104,4,10207
54,REF-1964-72,True,06/29/2024,,,101,2,10215
94,REF-9562-72,False,12/04/2020,01/08/2025,Redundancy,104,5,10203
58,REF-2144-85,False,02/16/2023,04/25/2025,End of contract,101,8,10319
96,REF-9224-12,True,01/12/2024,11/08/2024,Performance,104,2,10451
1,REF-4002-47,False,10/09/2019,,,100,12,10155
21,REF-8666-01,False,06/10/2025,11/24/2025,Mutual agreement,102,2,10381
91,REF-9064-19,False,02/28/2021,,,101,6,10105
44,REF-4325-64,False,10/25/2020,,,100,2,10325
80,REF-6939-35,True,01/15/2018,08/03/2019,Mutual agreement,105,12,10227
20,REF-9038-90,False,04/16/2024,08/01/2024,Performance,103,1,10428
83,REF-6049-74,True,10/27/2022,08/18/2024,Redundancy,105,6,10108
68,REF-4088-85,True,12/19/2021,,,100,10,10384
7,REF-2532-30,True,12/27/2019,,,105,3,10378
6,REF-5442-52,True,12/28/2020,01/02/2025,End of contract,101,1,10440
25,REF-7711-28,True,03/01/2023,07/18/2025,Relocation,102,1,10338
63,REF-3164-51,False,02/15/2021,,,101,6,10329
23,REF-8346-51,False,04/24/2018,04/27/2021,Performance,104,5,10020
69,REF-1776-76,False,11/16/2021,,,104,7,10311
59,REF-8379-14,False,06/19/2024,09/02/2024,Retirement,103,9,10474
39,REF-8821-87,True,01/31/2022,,,105,6,10320
