ProductHierarchyID,HierarchyCode,HierarchyName,HierarchyLevel,LevelNumber,HierarchyPath,Active,FID_ParentHierarchy
H-ROOT,ALL,All Products,Root,1,All Products,true,
H-ELEC,ELEC,Electronics,Category,2,All Products > Electronics,true,H-ROOT
H-AUDIO,AUDIO,Audio,Category,3,All Products > Electronics > Audio,true,H-ELEC
H-HEADPHONES,HEADPHONES,Headphones,Subcategory,4,All Products > Electronics > Audio > Headphones,true,H-AUDIO
H-COMP,COMP,Computing,Category,3,All Products > Electronics > Computing,true,H-ELEC
H-LAPTOPS,LAPTOPS,Laptops,Subcategory,4,All Products > Electronics > Computing > Laptops,true,H-COMP
H-HOME,HOME,Home Appliances,Category,2,All Products > Home Appliances,true,H-ROOT
H-KITCHEN,KITCHEN,Kitchen Appliances,Subcategory,3,All Products > Home Appliances > Kitchen Appliances,true,H-HOME
H-MED,MED,Medical Supplies,Category,2,All Products > Medical Supplies,true,H-ROOT
H-CONS,CONS,Consumables,Category,2,All Products > Consumables,true,H-ROOT
H-AUTO,AUTO,Automotive,Category,2,All Products > Automotive,true,H-ROOT
H-PACK,PACK,Packaging,Category,2,All Products > Packaging,true,H-ROOT
