"ProductClassificationID","ClassificationCode","ClassificationName","ClassificationLevel","AssignedValue","ValidFrom","ValidTo","PublisherID_Product","SourceID_Product","FID_ClassificationScheme"
"PCL-000001","44120000-001","Commodity Class","Segment","Audio / Premium Audio","2024-01-02","2028-12-31","SAPMDG","PRD-000001","CLS-UNSPSC"
"PCL-000002","32101500-002","Technical Class","Family","Industrial / Factory Automation","2024-01-03","2028-12-31","SAPMDG","PRD-000002","CLS-ETIM"
"PCL-000003","41110000-003","Regulatory Class","Class","Computing / Workplace Accessories","2024-01-04","2028-12-31","SAPMDG","PRD-000003","CLS-ECLASS"
"PCL-000004","24120000-004","Commercial Class","Commodity","Home Appliances / Climate","2024-01-05","2028-12-31","SAPMDG","PRD-000004","CLS-SAPCLASS"
"PCL-000005","44120000-005","Commodity Class","Segment","Medical / Clinical Kits","2024-01-06","2028-12-31","SAPMDG","PRD-000005","CLS-UNSPSC"
"PCL-000006","32101500-006","Technical Class","Family","Industrial / Maintenance","2024-01-07","2028-12-31","SAPMDG","PRD-000006","CLS-ETIM"
"PCL-000007","41110000-007","Regulatory Class","Class","Automotive / Electrification","2024-01-08","2028-12-31","SAPMDG","PRD-000007","CLS-ECLASS"
"PCL-000008","24120000-008","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-01-09","2028-12-31","SAPMDG","PRD-000008","CLS-SAPCLASS"
"PCL-000009","44120000-009","Commodity Class","Segment","Audio / Premium Audio","2024-01-10","2028-12-31","SAPMDG","PRD-000009","CLS-UNSPSC"
"PCL-000010","32101500-010","Technical Class","Family","Industrial / Factory Automation","2024-01-11","2028-12-31","SAPMDG","PRD-000010","CLS-ETIM"
"PCL-000011","41110000-011","Regulatory Class","Class","Computing / Workplace Accessories","2024-01-12","2028-12-31","SAPMDG","PRD-000011","CLS-ECLASS"
"PCL-000012","24120000-012","Commercial Class","Commodity","Home Appliances / Climate","2024-01-13","2028-12-31","SAPMDG","PRD-000012","CLS-SAPCLASS"
"PCL-000013","44120000-013","Commodity Class","Segment","Medical / Clinical Kits","2024-01-14","2028-12-31","SAPMDG","PRD-000013","CLS-UNSPSC"
"PCL-000014","32101500-014","Technical Class","Family","Industrial / Maintenance","2024-01-15","2028-12-31","SAPMDG","PRD-000014","CLS-ETIM"
"PCL-000015","41110000-015","Regulatory Class","Class","Automotive / Electrification","2024-01-16","2028-12-31","SAPMDG","PRD-000015","CLS-ECLASS"
"PCL-000016","24120000-016","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-01-17","2028-12-31","SAPMDG","PRD-000016","CLS-SAPCLASS"
"PCL-000017","44120000-017","Commodity Class","Segment","Audio / Premium Audio","2024-01-18","2028-12-31","SAPMDG","PRD-000017","CLS-UNSPSC"
"PCL-000018","32101500-018","Technical Class","Family","Industrial / Factory Automation","2024-01-19","2028-12-31","SAPMDG","PRD-000018","CLS-ETIM"
"PCL-000019","41110000-019","Regulatory Class","Class","Computing / Workplace Accessories","2024-01-20","2028-12-31","SAPMDG","PRD-000019","CLS-ECLASS"
"PCL-000020","24120000-020","Commercial Class","Commodity","Home Appliances / Climate","2024-01-21","2028-12-31","SAPMDG","PRD-000020","CLS-SAPCLASS"
"PCL-000021","44120000-021","Commodity Class","Segment","Medical / Clinical Kits","2024-01-22","2028-12-31","SAPMDG","PRD-000021","CLS-UNSPSC"
"PCL-000022","32101500-022","Technical Class","Family","Industrial / Maintenance","2024-01-23","2028-12-31","SAPMDG","PRD-000022","CLS-ETIM"
"PCL-000023","41110000-023","Regulatory Class","Class","Automotive / Electrification","2024-01-24","2028-12-31","SAPMDG","PRD-000023","CLS-ECLASS"
"PCL-000024","24120000-024","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-01-25","2028-12-31","SAPMDG","PRD-000024","CLS-SAPCLASS"
"PCL-000025","44120000-025","Commodity Class","Segment","Audio / Premium Audio","2024-01-26","2028-12-31","SAPMDG","PRD-000025","CLS-UNSPSC"
"PCL-000026","32101500-026","Technical Class","Family","Industrial / Factory Automation","2024-01-27","2028-12-31","SAPMDG","PRD-000026","CLS-ETIM"
"PCL-000027","41110000-027","Regulatory Class","Class","Computing / Workplace Accessories","2024-01-28","2028-12-31","SAPMDG","PRD-000027","CLS-ECLASS"
"PCL-000028","24120000-028","Commercial Class","Commodity","Home Appliances / Climate","2024-01-29","2028-12-31","SAPMDG","PRD-000028","CLS-SAPCLASS"
"PCL-000029","44120000-029","Commodity Class","Segment","Medical / Clinical Kits","2024-01-30","2028-12-31","SAPMDG","PRD-000029","CLS-UNSPSC"
"PCL-000030","32101500-030","Technical Class","Family","Industrial / Maintenance","2024-01-31","2028-12-31","SAPMDG","PRD-000030","CLS-ETIM"
"PCL-000031","41110000-031","Regulatory Class","Class","Automotive / Electrification","2024-02-01","2028-12-31","SAPMDG","PRD-000031","CLS-ECLASS"
"PCL-000032","24120000-032","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-02-02","2028-12-31","SAPMDG","PRD-000032","CLS-SAPCLASS"
"PCL-000033","44120000-033","Commodity Class","Segment","Audio / Premium Audio","2024-02-03","2028-12-31","SAPMDG","PRD-000033","CLS-UNSPSC"
"PCL-000034","32101500-034","Technical Class","Family","Industrial / Factory Automation","2024-02-04","2028-12-31","SAPMDG","PRD-000034","CLS-ETIM"
"PCL-000035","41110000-035","Regulatory Class","Class","Computing / Workplace Accessories","2024-02-05","2028-12-31","SAPMDG","PRD-000035","CLS-ECLASS"
"PCL-000036","24120000-036","Commercial Class","Commodity","Home Appliances / Climate","2024-02-06","2028-12-31","SAPMDG","PRD-000036","CLS-SAPCLASS"
"PCL-000037","44120000-037","Commodity Class","Segment","Medical / Clinical Kits","2024-02-07","2028-12-31","SAPMDG","PRD-000037","CLS-UNSPSC"
"PCL-000038","32101500-038","Technical Class","Family","Industrial / Maintenance","2024-02-08","2028-12-31","SAPMDG","PRD-000038","CLS-ETIM"
"PCL-000039","41110000-039","Regulatory Class","Class","Automotive / Electrification","2024-02-09","2028-12-31","SAPMDG","PRD-000039","CLS-ECLASS"
"PCL-000040","24120000-040","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-02-10","2028-12-31","SAPMDG","PRD-000040","CLS-SAPCLASS"
"PCL-000041","44120000-041","Commodity Class","Segment","Audio / Premium Audio","2024-02-11","2028-12-31","SAPMDG","PRD-000041","CLS-UNSPSC"
"PCL-000042","32101500-042","Technical Class","Family","Industrial / Factory Automation","2024-02-12","2028-12-31","SAPMDG","PRD-000042","CLS-ETIM"
"PCL-000043","41110000-043","Regulatory Class","Class","Computing / Workplace Accessories","2024-02-13","2028-12-31","SAPMDG","PRD-000043","CLS-ECLASS"
"PCL-000044","24120000-044","Commercial Class","Commodity","Home Appliances / Climate","2024-02-14","2028-12-31","SAPMDG","PRD-000044","CLS-SAPCLASS"
"PCL-000045","44120000-045","Commodity Class","Segment","Medical / Clinical Kits","2024-02-15","2028-12-31","SAPMDG","PRD-000045","CLS-UNSPSC"
"PCL-000046","32101500-046","Technical Class","Family","Industrial / Maintenance","2024-02-16","2028-12-31","SAPMDG","PRD-000046","CLS-ETIM"
"PCL-000047","41110000-047","Regulatory Class","Class","Automotive / Electrification","2024-02-17","2028-12-31","SAPMDG","PRD-000047","CLS-ECLASS"
"PCL-000048","24120000-048","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-02-18","2028-12-31","SAPMDG","PRD-000048","CLS-SAPCLASS"
"PCL-000049","44120000-049","Commodity Class","Segment","Audio / Premium Audio","2024-02-19","2028-12-31","SAPMDG","PRD-000049","CLS-UNSPSC"
"PCL-000050","32101500-050","Technical Class","Family","Industrial / Factory Automation","2024-02-20","2028-12-31","SAPMDG","PRD-000050","CLS-ETIM"
"PCL-000051","41110000-051","Regulatory Class","Class","Computing / Workplace Accessories","2024-02-21","2028-12-31","SAPMDG","PRD-000051","CLS-ECLASS"
"PCL-000052","24120000-052","Commercial Class","Commodity","Home Appliances / Climate","2024-02-22","2028-12-31","SAPMDG","PRD-000052","CLS-SAPCLASS"
"PCL-000053","44120000-053","Commodity Class","Segment","Medical / Clinical Kits","2024-02-23","2028-12-31","SAPMDG","PRD-000053","CLS-UNSPSC"
"PCL-000054","32101500-054","Technical Class","Family","Industrial / Maintenance","2024-02-24","2028-12-31","SAPMDG","PRD-000054","CLS-ETIM"
"PCL-000055","41110000-055","Regulatory Class","Class","Automotive / Electrification","2024-02-25","2028-12-31","SAPMDG","PRD-000055","CLS-ECLASS"
"PCL-000056","24120000-056","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-02-26","2028-12-31","SAPMDG","PRD-000056","CLS-SAPCLASS"
"PCL-000057","44120000-057","Commodity Class","Segment","Audio / Premium Audio","2024-02-27","2028-12-31","SAPMDG","PRD-000057","CLS-UNSPSC"
"PCL-000058","32101500-058","Technical Class","Family","Industrial / Factory Automation","2024-02-28","2028-12-31","SAPMDG","PRD-000058","CLS-ETIM"
