"ProductSpecificationID","SpecificationName","SpecificationType","SpecificationValue","MinimumValue","MaximumValue","EffectiveFrom","PublisherID_Product","SourceID_Product","FID_UnitOfMeasure"
"PSP-000001","Weight","Physical","11","6","61","2024-01-03","SAPMDG","PRD-000001","UOM-KG"
"PSP-000002","Length","Electrical","12","7","62","2024-01-05","SAPMDG","PRD-000002","UOM-M"
"PSP-000003","Capacity","Packaging","13","8","63","2024-01-07","SAPMDG","PRD-000003","UOM-L"
"PSP-000004","Power Rating","Operational","14","9","64","2024-01-09","SAPMDG","PRD-000004","UOM-EA"
"PSP-000005","Pack Quantity","Physical","15","10","65","2024-01-11","SAPMDG","PRD-000005","UOM-BOX"
"PSP-000006","Weight","Electrical","16","11","66","2024-01-13","SAPMDG","PRD-000006","UOM-KG"
"PSP-000007","Length","Packaging","17","12","67","2024-01-15","SAPMDG","PRD-000007","UOM-M"
"PSP-000008","Capacity","Operational","18","13","68","2024-01-17","SAPMDG","PRD-000008","UOM-L"
"PSP-000009","Power Rating","Physical","19","14","69","2024-01-19","SAPMDG","PRD-000009","UOM-EA"
"PSP-000010","Pack Quantity","Electrical","20","5","70","2024-01-21","SAPMDG","PRD-000010","UOM-BOX"
"PSP-000011","Weight","Packaging","21","6","71","2024-01-23","SAPMDG","PRD-000011","UOM-KG"
"PSP-000012","Length","Operational","22","7","72","2024-01-25","SAPMDG","PRD-000012","UOM-M"
"PSP-000013","Capacity","Physical","23","8","73","2024-01-27","SAPMDG","PRD-000013","UOM-L"
"PSP-000014","Power Rating","Electrical","24","9","74","2024-01-29","SAPMDG","PRD-000014","UOM-EA"
"PSP-000015","Pack Quantity","Packaging","25","10","75","2024-01-31","SAPMDG","PRD-000015","UOM-BOX"
"PSP-000016","Weight","Operational","26","11","76","2024-02-02","SAPMDG","PRD-000016","UOM-KG"
"PSP-000017","Length","Physical","27","12","77","2024-02-04","SAPMDG","PRD-000017","UOM-M"
"PSP-000018","Capacity","Electrical","28","13","78","2024-02-06","SAPMDG","PRD-000018","UOM-L"
"PSP-000019","Power Rating","Packaging","29","14","79","2024-02-08","SAPMDG","PRD-000019","UOM-EA"
"PSP-000020","Pack Quantity","Operational","30","5","80","2024-02-10","SAPMDG","PRD-000020","UOM-BOX"
"PSP-000021","Weight","Physical","31","6","81","2024-02-12","SAPMDG","PRD-000021","UOM-KG"
"PSP-000022","Length","Electrical","32","7","82","2024-02-14","SAPMDG","PRD-000022","UOM-M"
"PSP-000023","Capacity","Packaging","33","8","83","2024-02-16","SAPMDG","PRD-000023","UOM-L"
"PSP-000024","Power Rating","Operational","34","9","84","2024-02-18","SAPMDG","PRD-000024","UOM-EA"
"PSP-000025","Pack Quantity","Physical","35","10","85","2024-02-20","SAPMDG","PRD-000025","UOM-BOX"
"PSP-000026","Weight","Electrical","36","11","86","2024-02-22","SAPMDG","PRD-000026","UOM-KG"
"PSP-000027","Length","Packaging","37","12","87","2024-02-24","SAPMDG","PRD-000027","UOM-M"
"PSP-000028","Capacity","Operational","38","13","88","2024-02-26","SAPMDG","PRD-000028","UOM-L"
"PSP-000029","Power Rating","Physical","39","14","89","2024-02-28","SAPMDG","PRD-000029","UOM-EA"
"PSP-000030","Pack Quantity","Electrical","40","5","60","2024-03-01","SAPMDG","PRD-000030","UOM-BOX"
"PSP-000031","Weight","Packaging","41","6","61","2024-03-03","SAPMDG","PRD-000031","UOM-KG"
"PSP-000032","Length","Operational","42","7","62","2024-03-05","SAPMDG","PRD-000032","UOM-M"
"PSP-000033","Capacity","Physical","43","8","63","2024-03-07","SAPMDG","PRD-000033","UOM-L"
