"ProductVariantID","VariantCode","VariantName","Size","Color","PackagingType","Region","Active","PublisherID_Product","SourceID_Product"
"PVAR-000001","VAR-000001","Wireless Headphones Series 02 Black","XS","Black","Each","Global","true","SAPMDG","PRD-000001"
"PVAR-000002","VAR-000002","Industrial Sensor Series 03 White","S","White","Box","North America","true","SAPMDG","PRD-000002"
"PVAR-000003","VAR-000003","Laptop Docking Station Series 04 Graphite","M","Graphite","Pallet","Europe","true","SAPMDG","PRD-000003"
"PVAR-000004","VAR-000004","Smart Air Purifier Series 05 Blue","L","Blue","Case","Asia","true","SAPMDG","PRD-000004"
"PVAR-000005","VAR-000005","Sterile Procedure Kit Series 06 Green","XL","Green","Each","LATAM","true","SAPMDG","PRD-000005"
"PVAR-000006","VAR-000006","Plant Maintenance Filter Series 07 Silver","Standard","Silver","Box","Global","true","SAPMDG","PRD-000006"
"PVAR-000007","VAR-000007","EV Battery Module Series 08 Natural","Compact","Natural","Pallet","North America","true","SAPMDG","PRD-000007"
"PVAR-000008","VAR-000008","Recyclable Shipping Case Series 09 Orange","Bulk","Orange","Case","Europe","true","SAPMDG","PRD-000008"
"PVAR-000009","VAR-000009","Wireless Headphones Series 01 Black","XS","Black","Each","Asia","true","SAPMDG","PRD-000009"
"PVAR-000010","VAR-000010","Industrial Sensor Series 02 White","S","White","Box","LATAM","true","SAPMDG","PRD-000010"
"PVAR-000011","VAR-000011","Laptop Docking Station Series 03 Graphite","M","Graphite","Pallet","Global","true","SAPMDG","PRD-000011"
"PVAR-000012","VAR-000012","Smart Air Purifier Series 04 Blue","L","Blue","Case","North America","true","SAPMDG","PRD-000012"
"PVAR-000013","VAR-000013","Sterile Procedure Kit Series 05 Green","XL","Green","Each","Europe","true","SAPMDG","PRD-000013"
"PVAR-000014","VAR-000014","Plant Maintenance Filter Series 06 Silver","Standard","Silver","Box","Asia","true","SAPMDG","PRD-000014"
"PVAR-000015","VAR-000015","EV Battery Module Series 07 Natural","Compact","Natural","Pallet","LATAM","true","SAPMDG","PRD-000015"
"PVAR-000016","VAR-000016","Recyclable Shipping Case Series 08 Orange","Bulk","Orange","Case","Global","true","SAPMDG","PRD-000016"
"PVAR-000017","VAR-000017","Wireless Headphones Series 09 Black","XS","Black","Each","North America","true","SAPMDG","PRD-000017"
"PVAR-000018","VAR-000018","Industrial Sensor Series 01 White","S","White","Box","Europe","true","SAPMDG","PRD-000018"
"PVAR-000019","VAR-000019","Laptop Docking Station Series 02 Graphite","M","Graphite","Pallet","Asia","true","SAPMDG","PRD-000019"
"PVAR-000020","VAR-000020","Smart Air Purifier Series 03 Blue","L","Blue","Case","LATAM","true","SAPMDG","PRD-000020"
"PVAR-000021","VAR-000021","Sterile Procedure Kit Series 04 Green","XL","Green","Each","Global","true","SAPMDG","PRD-000021"
"PVAR-000022","VAR-000022","Plant Maintenance Filter Series 05 Silver","Standard","Silver","Box","North America","true","SAPMDG","PRD-000022"
"PVAR-000023","VAR-000023","EV Battery Module Series 06 Natural","Compact","Natural","Pallet","Europe","false","SAPMDG","PRD-000023"
"PVAR-000024","VAR-000024","Recyclable Shipping Case Series 07 Orange","Bulk","Orange","Case","Asia","true","SAPMDG","PRD-000024"
"PVAR-000025","VAR-000025","Wireless Headphones Series 08 Black","XS","Black","Each","LATAM","true","SAPMDG","PRD-000025"
"PVAR-000026","VAR-000026","Industrial Sensor Series 09 White","S","White","Box","Global","true","SAPMDG","PRD-000026"
"PVAR-000027","VAR-000027","Laptop Docking Station Series 01 Graphite","M","Graphite","Pallet","North America","true","SAPMDG","PRD-000027"
"PVAR-000028","VAR-000028","Smart Air Purifier Series 02 Blue","L","Blue","Case","Europe","true","SAPMDG","PRD-000028"
