"RegulatoryAttributeID","RegulationCode","RegulationName","ComplianceIndicator","CertificateNumber","ExpirationDate","SafetyDataSheetUrl","FID_ComplianceStatus","FID_Country","PublisherID_Product","SourceID_Product"
"REG-000001","REACH","REACH Compliance","true","CERT-2026-00001","2027-12-30","https://example.semarchy.local/sds/PRD-000001.pdf","CMP-COMPLIANT","CTY-US","SAPMDG","PRD-000001"
"REG-000002","ROHS","RoHS Declaration","true","CERT-2026-00002","2027-12-29","https://example.semarchy.local/sds/PRD-000002.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000002"
"REG-000003","PROP65","California Proposition 65","true","CERT-2026-00003","2027-12-28","https://example.semarchy.local/sds/PRD-000003.pdf","CMP-COMPLIANT","CTY-CN","SAPMDG","PRD-000003"
"REG-000004","CE","CE Technical File","true","CERT-2026-00004","2027-12-27","https://example.semarchy.local/sds/PRD-000004.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000004"
"REG-000005","FDA","FDA Device Listing","true","CERT-2026-00005","2027-12-26","https://example.semarchy.local/sds/PRD-000005.pdf","CMP-COMPLIANT","CTY-MX","SAPMDG","PRD-000005"
"REG-000006","REACH","REACH Compliance","true","CERT-2026-00006","2027-12-25","https://example.semarchy.local/sds/PRD-000006.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000006"
"REG-000007","ROHS","RoHS Declaration","false","CERT-2026-00007","2027-12-24","https://example.semarchy.local/sds/PRD-000007.pdf","CMP-REVIEW","CTY-US","SAPMDG","PRD-000007"
"REG-000008","PROP65","California Proposition 65","true","CERT-2026-00008","2027-12-23","https://example.semarchy.local/sds/PRD-000008.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000008"
"REG-000009","CE","CE Technical File","true","CERT-2026-00009","2027-12-22","https://example.semarchy.local/sds/PRD-000009.pdf","CMP-COMPLIANT","CTY-CN","SAPMDG","PRD-000009"
"REG-000010","FDA","FDA Device Listing","true","CERT-2026-00010","2027-12-21","https://example.semarchy.local/sds/PRD-000010.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000010"
"REG-000011","REACH","REACH Compliance","true","CERT-2026-00011","2027-12-20","https://example.semarchy.local/sds/PRD-000011.pdf","CMP-COMPLIANT","CTY-MX","SAPMDG","PRD-000011"
"REG-000012","ROHS","RoHS Declaration","true","CERT-2026-00012","2027-12-19","https://example.semarchy.local/sds/PRD-000012.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000012"
"REG-000013","PROP65","California Proposition 65","true","CERT-2026-00013","2027-12-18","https://example.semarchy.local/sds/PRD-000013.pdf","CMP-COMPLIANT","CTY-US","SAPMDG","PRD-000013"
"REG-000014","CE","CE Technical File","true","CERT-2026-00014","2027-12-17","https://example.semarchy.local/sds/PRD-000014.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000014"
"REG-000015","FDA","FDA Device Listing","false","CERT-2026-00015","2027-12-16","https://example.semarchy.local/sds/PRD-000015.pdf","CMP-REVIEW","CTY-CN","SAPMDG","PRD-000015"
"REG-000016","REACH","REACH Compliance","true","CERT-2026-00016","2027-12-15","https://example.semarchy.local/sds/PRD-000016.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000016"
"REG-000017","ROHS","RoHS Declaration","true","CERT-2026-00017","2027-12-14","https://example.semarchy.local/sds/PRD-000017.pdf","CMP-COMPLIANT","CTY-MX","SAPMDG","PRD-000017"
"REG-000018","PROP65","California Proposition 65","true","CERT-2026-00018","2027-12-13","https://example.semarchy.local/sds/PRD-000018.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000018"
"REG-000019","CE","CE Technical File","true","CERT-2026-00019","2027-12-12","https://example.semarchy.local/sds/PRD-000019.pdf","CMP-COMPLIANT","CTY-US","SAPMDG","PRD-000019"
"REG-000020","FDA","FDA Device Listing","true","CERT-2026-00020","2027-12-11","https://example.semarchy.local/sds/PRD-000020.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000020"
"REG-000021","REACH","REACH Compliance","true","CERT-2026-00021","2027-12-10","https://example.semarchy.local/sds/PRD-000021.pdf","CMP-COMPLIANT","CTY-CN","SAPMDG","PRD-000021"
"REG-000022","ROHS","RoHS Declaration","true","CERT-2026-00022","2027-12-09","https://example.semarchy.local/sds/PRD-000022.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000022"
"REG-000023","PROP65","California Proposition 65","false","CERT-2026-00023","2027-12-08","https://example.semarchy.local/sds/PRD-000023.pdf","CMP-REVIEW","CTY-MX","SAPMDG","PRD-000023"
"REG-000024","CE","CE Technical File","true","CERT-2026-00024","2027-12-07","https://example.semarchy.local/sds/PRD-000024.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000024"
"REG-000025","FDA","FDA Device Listing","true","CERT-2026-00025","2027-12-06","https://example.semarchy.local/sds/PRD-000025.pdf","CMP-COMPLIANT","CTY-US","SAPMDG","PRD-000025"
"REG-000026","REACH","REACH Compliance","true","CERT-2026-00026","2027-12-05","https://example.semarchy.local/sds/PRD-000026.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000026"
"REG-000027","ROHS","RoHS Declaration","true","CERT-2026-00027","2027-12-04","https://example.semarchy.local/sds/PRD-000027.pdf","CMP-COMPLIANT","CTY-CN","SAPMDG","PRD-000027"
"REG-000028","PROP65","California Proposition 65","true","CERT-2026-00028","2027-12-03","https://example.semarchy.local/sds/PRD-000028.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000028"
"REG-000029","CE","CE Technical File","true","CERT-2026-00029","2027-12-02","https://example.semarchy.local/sds/PRD-000029.pdf","CMP-COMPLIANT","CTY-MX","SAPMDG","PRD-000029"
"REG-000030","FDA","FDA Device Listing","true","CERT-2026-00030","2027-12-01","https://example.semarchy.local/sds/PRD-000030.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000030"
"REG-000031","REACH","REACH Compliance","false","CERT-2026-00031","2027-11-30","https://example.semarchy.local/sds/PRD-000031.pdf","CMP-REVIEW","CTY-US","SAPMDG","PRD-000031"
"REG-000032","ROHS","RoHS Declaration","true","CERT-2026-00032","2027-11-29","https://example.semarchy.local/sds/PRD-000032.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000032"
"REG-000033","PROP65","California Proposition 65","true","CERT-2026-00033","2027-11-28","https://example.semarchy.local/sds/PRD-000033.pdf","CMP-COMPLIANT","CTY-CN","SAPMDG","PRD-000033"
"REG-000034","CE","CE Technical File","true","CERT-2026-00034","2027-11-27","https://example.semarchy.local/sds/PRD-000034.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000034"
"REG-000035","FDA","FDA Device Listing","true","CERT-2026-00035","2027-11-26","https://example.semarchy.local/sds/PRD-000035.pdf","CMP-COMPLIANT","CTY-MX","SAPMDG","PRD-000035"
"REG-000036","REACH","REACH Compliance","true","CERT-2026-00036","2027-11-25","https://example.semarchy.local/sds/PRD-000036.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000036"
"REG-000037","ROHS","RoHS Declaration","true","CERT-2026-00037","2027-11-24","https://example.semarchy.local/sds/PRD-000037.pdf","CMP-COMPLIANT","CTY-US","SAPMDG","PRD-000037"
"REG-000038","PROP65","California Proposition 65","true","CERT-2026-00038","2027-11-23","https://example.semarchy.local/sds/PRD-000038.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000038"
"REG-000039","CE","CE Technical File","false","CERT-2026-00039","2027-11-22","https://example.semarchy.local/sds/PRD-000039.pdf","CMP-REVIEW","CTY-CN","SAPMDG","PRD-000039"
"REG-000040","FDA","FDA Device Listing","true","CERT-2026-00040","2027-11-21","https://example.semarchy.local/sds/PRD-000040.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000040"
"REG-000041","REACH","REACH Compliance","true","CERT-2026-00041","2027-11-20","https://example.semarchy.local/sds/PRD-000041.pdf","CMP-COMPLIANT","CTY-MX","SAPMDG","PRD-000041"
"REG-000042","ROHS","RoHS Declaration","true","CERT-2026-00042","2027-11-19","https://example.semarchy.local/sds/PRD-000042.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000042"
"REG-000043","PROP65","California Proposition 65","true","CERT-2026-00043","2027-11-18","https://example.semarchy.local/sds/PRD-000043.pdf","CMP-COMPLIANT","CTY-US","SAPMDG","PRD-000043"
"REG-000044","CE","CE Technical File","true","CERT-2026-00044","2027-11-17","https://example.semarchy.local/sds/PRD-000044.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000044"
"REG-000045","FDA","FDA Device Listing","true","CERT-2026-00045","2027-11-16","https://example.semarchy.local/sds/PRD-000045.pdf","CMP-COMPLIANT","CTY-CN","SAPMDG","PRD-000045"
"REG-000046","REACH","REACH Compliance","true","CERT-2026-00046","2027-11-15","https://example.semarchy.local/sds/PRD-000046.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000046"
"REG-000047","ROHS","RoHS Declaration","false","CERT-2026-00047","2027-11-14","https://example.semarchy.local/sds/PRD-000047.pdf","CMP-REVIEW","CTY-MX","SAPMDG","PRD-000047"
"REG-000048","PROP65","California Proposition 65","true","CERT-2026-00048","2027-11-13","https://example.semarchy.local/sds/PRD-000048.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000048"
"REG-000049","CE","CE Technical File","true","CERT-2026-00049","2027-11-12","https://example.semarchy.local/sds/PRD-000049.pdf","CMP-COMPLIANT","CTY-US","SAPMDG","PRD-000049"
"REG-000050","FDA","FDA Device Listing","true","CERT-2026-00050","2027-11-11","https://example.semarchy.local/sds/PRD-000050.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000050"
"REG-000051","REACH","REACH Compliance","true","CERT-2026-00051","2027-11-10","https://example.semarchy.local/sds/PRD-000051.pdf","CMP-COMPLIANT","CTY-CN","SAPMDG","PRD-000051"
"REG-000052","ROHS","RoHS Declaration","true","CERT-2026-00052","2027-11-09","https://example.semarchy.local/sds/PRD-000052.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000052"
"REG-000053","PROP65","California Proposition 65","true","CERT-2026-00053","2027-11-08","https://example.semarchy.local/sds/PRD-000053.pdf","CMP-COMPLIANT","CTY-MX","SAPMDG","PRD-000053"
"REG-000054","CE","CE Technical File","true","CERT-2026-00054","2027-11-07","https://example.semarchy.local/sds/PRD-000054.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000054"
"REG-000055","FDA","FDA Device Listing","false","CERT-2026-00055","2027-11-06","https://example.semarchy.local/sds/PRD-000055.pdf","CMP-REVIEW","CTY-US","SAPMDG","PRD-000055"
"REG-000056","REACH","REACH Compliance","true","CERT-2026-00056","2027-11-05","https://example.semarchy.local/sds/PRD-000056.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000056"
"REG-000057","ROHS","RoHS Declaration","true","CERT-2026-00057","2027-11-04","https://example.semarchy.local/sds/PRD-000057.pdf","CMP-COMPLIANT","CTY-CN","SAPMDG","PRD-000057"
"REG-000058","PROP65","California Proposition 65","true","CERT-2026-00058","2027-11-03","https://example.semarchy.local/sds/PRD-000058.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000058"
"REG-000059","CE","CE Technical File","true","CERT-2026-00059","2027-11-02","https://example.semarchy.local/sds/PRD-000059.pdf","CMP-COMPLIANT","CTY-MX","SAPMDG","PRD-000059"
"REG-000060","FDA","FDA Device Listing","true","CERT-2026-00060","2027-11-01","https://example.semarchy.local/sds/PRD-000060.pdf","CMP-COMPLIANT","CTY-GB","SAPMDG","PRD-000060"
"REG-000061","REACH","REACH Compliance","true","CERT-2026-00061","2027-10-31","https://example.semarchy.local/sds/PRD-000061.pdf","CMP-COMPLIANT","CTY-US","SAPMDG","PRD-000061"
"REG-000062","ROHS","RoHS Declaration","true","CERT-2026-00062","2027-10-30","https://example.semarchy.local/sds/PRD-000062.pdf","CMP-COMPLIANT","CTY-DE","SAPMDG","PRD-000062"
"REG-000063","PROP65","California Proposition 65","false","CERT-2026-00063","2027-10-29","https://example.semarchy.local/sds/PRD-000063.pdf","CMP-REVIEW","CTY-CN","SAPMDG","PRD-000063"
"REG-000064","CE","CE Technical File","true","CERT-2026-00064","2027-10-28","https://example.semarchy.local/sds/PRD-000064.pdf","CMP-COMPLIANT","CTY-IN","SAPMDG","PRD-000064"
