"ProductRelationshipID","RelationshipCode","Quantity","EffectiveFrom","EffectiveTo","Active","PublisherID_FromProduct","SourceID_FromProduct","PublisherID_ToProduct","SourceID_ToProduct","FID_RelationshipType"
"PREL-000001","BUNDLE","2","2024-01-02","2028-12-31","true","SAPMDG","PRD-000001","SAPMDG","PRD-000002","REL-BUNDLE"
"PREL-000002","ACCESSORY","3","2024-01-03","2028-12-31","true","SAPMDG","PRD-000002","SAPMDG","PRD-000003","REL-ACCESSORY"
"PREL-000003","SUBSTITUTE","4","2024-01-04","2028-12-31","true","SAPMDG","PRD-000003","SAPMDG","PRD-000004","REL-SUBSTITUTE"
"PREL-000004","REPLACEMENT","1","2024-01-05","2028-12-31","true","SAPMDG","PRD-000004","SAPMDG","PRD-000005","REL-REPLACEMENT"
"PREL-000005","COMPONENT","2","2024-01-06","2028-12-31","true","SAPMDG","PRD-000005","SAPMDG","PRD-000006","REL-COMPONENT"
"PREL-000006","BUNDLE","3","2024-01-07","2028-12-31","true","SAPMDG","PRD-000006","SAPMDG","PRD-000007","REL-BUNDLE"
"PREL-000007","ACCESSORY","4","2024-01-08","2028-12-31","true","SAPMDG","PRD-000007","SAPMDG","PRD-000008","REL-ACCESSORY"
"PREL-000008","SUBSTITUTE","1","2024-01-09","2028-12-31","true","SAPMDG","PRD-000008","SAPMDG","PRD-000009","REL-SUBSTITUTE"
"PREL-000009","REPLACEMENT","2","2024-01-10","2028-12-31","true","SAPMDG","PRD-000009","SAPMDG","PRD-000010","REL-REPLACEMENT"
"PREL-000010","COMPONENT","3","2024-01-11","2028-12-31","true","SAPMDG","PRD-000010","SAPMDG","PRD-000011","REL-COMPONENT"
"PREL-000011","BUNDLE","4","2024-01-12","2028-12-31","true","SAPMDG","PRD-000011","SAPMDG","PRD-000012","REL-BUNDLE"
"PREL-000012","ACCESSORY","1","2024-01-13","2028-12-31","true","SAPMDG","PRD-000012","SAPMDG","PRD-000013","REL-ACCESSORY"
"PREL-000013","SUBSTITUTE","2","2024-01-14","2028-12-31","true","SAPMDG","PRD-000013","SAPMDG","PRD-000014","REL-SUBSTITUTE"
"PREL-000014","REPLACEMENT","3","2024-01-15","2028-12-31","true","SAPMDG","PRD-000014","SAPMDG","PRD-000015","REL-REPLACEMENT"
"PREL-000015","COMPONENT","4","2024-01-16","2028-12-31","true","SAPMDG","PRD-000015","SAPMDG","PRD-000016","REL-COMPONENT"
"PREL-000016","BUNDLE","1","2024-01-17","2028-12-31","true","SAPMDG","PRD-000016","SAPMDG","PRD-000017","REL-BUNDLE"
"PREL-000017","ACCESSORY","2","2024-01-18","2028-12-31","true","SAPMDG","PRD-000017","SAPMDG","PRD-000018","REL-ACCESSORY"
"PREL-000018","SUBSTITUTE","3","2024-01-19","2028-12-31","true","SAPMDG","PRD-000018","SAPMDG","PRD-000019","REL-SUBSTITUTE"
"PREL-000019","REPLACEMENT","4","2024-01-20","2028-12-31","true","SAPMDG","PRD-000019","SAPMDG","PRD-000020","REL-REPLACEMENT"
"PREL-000020","COMPONENT","1","2024-01-21","2028-12-31","true","SAPMDG","PRD-000020","SAPMDG","PRD-000021","REL-COMPONENT"
"PREL-000021","BUNDLE","2","2024-01-22","2028-12-31","true","SAPMDG","PRD-000021","SAPMDG","PRD-000022","REL-BUNDLE"
"PREL-000022","ACCESSORY","3","2024-01-23","2028-12-31","true","SAPMDG","PRD-000022","SAPMDG","PRD-000023","REL-ACCESSORY"
"PREL-000023","SUBSTITUTE","4","2024-01-24","2028-12-31","true","SAPMDG","PRD-000023","SAPMDG","PRD-000024","REL-SUBSTITUTE"
"PREL-000024","REPLACEMENT","1","2024-01-25","2028-12-31","true","SAPMDG","PRD-000024","SAPMDG","PRD-000025","REL-REPLACEMENT"
"PREL-000025","COMPONENT","2","2024-01-26","2028-12-31","true","SAPMDG","PRD-000025","SAPMDG","PRD-000026","REL-COMPONENT"
"PREL-000026","BUNDLE","3","2024-01-27","2028-12-31","true","SAPMDG","PRD-000026","SAPMDG","PRD-000027","REL-BUNDLE"
"PREL-000027","ACCESSORY","4","2024-01-28","2028-12-31","true","SAPMDG","PRD-000027","SAPMDG","PRD-000028","REL-ACCESSORY"
"PREL-000028","SUBSTITUTE","1","2024-01-29","2028-12-31","true","SAPMDG","PRD-000028","SAPMDG","PRD-000029","REL-SUBSTITUTE"
"PREL-000029","REPLACEMENT","2","2024-01-30","2028-12-31","true","SAPMDG","PRD-000029","SAPMDG","PRD-000030","REL-REPLACEMENT"
"PREL-000030","COMPONENT","3","2024-01-31","2028-12-31","true","SAPMDG","PRD-000030","SAPMDG","PRD-000031","REL-COMPONENT"
