"ProductCrossReferenceID","ExternalProductID","ExternalMaterialNumber","CrossReferenceType","SourceLastUpdated","Active","PublisherID_Material","SourceID_Material","PublisherID_Product","SourceID_Product","FID_SourceSystem"
"XREF-000001","EXT-PRD-000001","EXT-MAT-000001","Legacy Material","2026-01-16T08:37:00.000Z","true","PLM","MAT-000001","SAPMDG","PRD-000001","SRC-SAPMDG"
"XREF-000002","EXT-PRD-000002","EXT-MAT-000002","Supplier Catalog","2026-01-17T08:44:00.000Z","true","PLM","MAT-000002","SAPMDG","PRD-000002","SRC-S4HANA"
"XREF-000003","EXT-PRD-000003","EXT-MAT-000003","PLM Part","2026-01-18T08:51:00.000Z","true","PLM","MAT-000003","SAPMDG","PRD-000003","SRC-ECC"
"XREF-000004","EXT-PRD-000004","EXT-MAT-000004","Customer SKU","2026-01-19T08:58:00.000Z","true","PLM","MAT-000004","SAPMDG","PRD-000004","SRC-PLM"
"XREF-000005","EXT-PRD-000005","EXT-MAT-000005","Legacy Material","2026-01-20T09:05:00.000Z","true","PLM","MAT-000005","SAPMDG","PRD-000005","SRC-ARIBA"
"XREF-000006","EXT-PRD-000006","EXT-MAT-000006","Supplier Catalog","2026-01-21T09:12:00.000Z","true","PLM","MAT-000006","SAPMDG","PRD-000006","SRC-EWM"
"XREF-000007","EXT-PRD-000007","EXT-MAT-000007","PLM Part","2026-01-22T09:19:00.000Z","true","PLM","MAT-000007","SAPMDG","PRD-000007","SRC-SAPMDG"
"XREF-000008","EXT-PRD-000008","EXT-MAT-000008","Customer SKU","2026-01-23T09:26:00.000Z","true","PLM","MAT-000008","SAPMDG","PRD-000008","SRC-S4HANA"
"XREF-000009","EXT-PRD-000009","EXT-MAT-000009","Legacy Material","2026-01-24T09:33:00.000Z","true","PLM","MAT-000009","SAPMDG","PRD-000009","SRC-ECC"
"XREF-000010","EXT-PRD-000010","EXT-MAT-000010","Supplier Catalog","2026-01-25T09:40:00.000Z","true","PLM","MAT-000010","SAPMDG","PRD-000010","SRC-PLM"
"XREF-000011","EXT-PRD-000011","EXT-MAT-000011","PLM Part","2026-01-26T09:47:00.000Z","true","PLM","MAT-000011","SAPMDG","PRD-000011","SRC-ARIBA"
"XREF-000012","EXT-PRD-000012","EXT-MAT-000012","Customer SKU","2026-01-27T09:54:00.000Z","true","PLM","MAT-000012","SAPMDG","PRD-000012","SRC-EWM"
"XREF-000013","EXT-PRD-000013","EXT-MAT-000013","Legacy Material","2026-01-28T10:01:00.000Z","true","PLM","MAT-000013","SAPMDG","PRD-000013","SRC-SAPMDG"
"XREF-000014","EXT-PRD-000014","EXT-MAT-000014","Supplier Catalog","2026-01-29T10:08:00.000Z","true","PLM","MAT-000014","SAPMDG","PRD-000014","SRC-S4HANA"
"XREF-000015","EXT-PRD-000015","EXT-MAT-000015","PLM Part","2026-01-30T10:15:00.000Z","true","PLM","MAT-000015","SAPMDG","PRD-000015","SRC-ECC"
"XREF-000016","EXT-PRD-000016","EXT-MAT-000016","Customer SKU","2026-01-31T10:22:00.000Z","true","PLM","MAT-000016","SAPMDG","PRD-000016","SRC-PLM"
