"SupplierProductID","SupplierProductNumber","SupplierDescription","LeadTimeDays","MinimumOrderQuantity","PreferredSupplierIndicator","PublisherID_Product","SourceID_Product","FID_Supplier"
"SP-000001","SUPMAT-000001","SUP-ACME supplied Wireless Headphones Series 02","7","15","true","SAPMDG","PRD-000001","SUP-ACME"
"SP-000002","SUPMAT-000002","SUP-GLOBAL supplied Industrial Sensor Series 03","8","20","true","SAPMDG","PRD-000002","SUP-GLOBAL"
"SP-000003","SUPMAT-000003","SUP-ORIENT supplied Laptop Docking Station Series 04","9","25","true","SAPMDG","PRD-000003","SUP-ORIENT"
"SP-000004","SUPMAT-000004","SUP-PRECISION supplied Smart Air Purifier Series 05","10","30","false","SAPMDG","PRD-000004","SUP-PRECISION"
"SP-000005","SUPMAT-000005","SUP-ECO supplied Sterile Procedure Kit Series 06","11","35","true","SAPMDG","PRD-000005","SUP-ECO"
"SP-000006","SUPMAT-000006","SUP-MEDLINE supplied Plant Maintenance Filter Series 07","12","40","true","SAPMDG","PRD-000006","SUP-MEDLINE"
"SP-000007","SUPMAT-000007","SUP-RAPID supplied EV Battery Module Series 08","13","45","true","SAPMDG","PRD-000007","SUP-RAPID"
"SP-000008","SUPMAT-000008","SUP-OMEGA supplied Recyclable Shipping Case Series 09","14","50","false","SAPMDG","PRD-000008","SUP-OMEGA"
"SP-000009","SUPMAT-000009","SUP-BLUE supplied Wireless Headphones Series 01","15","55","true","SAPMDG","PRD-000009","SUP-BLUE"
"SP-000010","SUPMAT-000010","SUP-UNITY supplied Industrial Sensor Series 02","16","60","true","SAPMDG","PRD-000010","SUP-UNITY"
"SP-000011","SUPMAT-000011","SUP-NORTH supplied Laptop Docking Station Series 03","17","65","true","SAPMDG","PRD-000011","SUP-NORTH"
"SP-000012","SUPMAT-000012","SUP-ALPINE supplied Smart Air Purifier Series 04","18","10","false","SAPMDG","PRD-000012","SUP-ALPINE"
"SP-000013","SUPMAT-000013","SUP-ACME supplied Sterile Procedure Kit Series 05","19","15","true","SAPMDG","PRD-000013","SUP-ACME"
"SP-000014","SUPMAT-000014","SUP-GLOBAL supplied Plant Maintenance Filter Series 06","20","20","true","SAPMDG","PRD-000014","SUP-GLOBAL"
"SP-000015","SUPMAT-000015","SUP-ORIENT supplied EV Battery Module Series 07","21","25","true","SAPMDG","PRD-000015","SUP-ORIENT"
"SP-000016","SUPMAT-000016","SUP-PRECISION supplied Recyclable Shipping Case Series 08","22","30","false","SAPMDG","PRD-000016","SUP-PRECISION"
"SP-000017","SUPMAT-000017","SUP-ECO supplied Wireless Headphones Series 09","23","35","true","SAPMDG","PRD-000017","SUP-ECO"
"SP-000018","SUPMAT-000018","SUP-MEDLINE supplied Industrial Sensor Series 01","24","40","true","SAPMDG","PRD-000018","SUP-MEDLINE"
"SP-000019","SUPMAT-000019","SUP-RAPID supplied Laptop Docking Station Series 02","25","45","true","SAPMDG","PRD-000019","SUP-RAPID"
"SP-000020","SUPMAT-000020","SUP-OMEGA supplied Smart Air Purifier Series 03","26","50","false","SAPMDG","PRD-000020","SUP-OMEGA"
"SP-000021","SUPMAT-000021","SUP-BLUE supplied Sterile Procedure Kit Series 04","6","55","true","SAPMDG","PRD-000021","SUP-BLUE"
"SP-000022","SUPMAT-000022","SUP-UNITY supplied Plant Maintenance Filter Series 05","7","60","true","SAPMDG","PRD-000022","SUP-UNITY"
"SP-000023","SUPMAT-000023","SUP-NORTH supplied EV Battery Module Series 06","8","65","true","SAPMDG","PRD-000023","SUP-NORTH"
"SP-000024","SUPMAT-000024","SUP-ALPINE supplied Recyclable Shipping Case Series 07","9","10","false","SAPMDG","PRD-000024","SUP-ALPINE"
"SP-000025","SUPMAT-000025","SUP-ACME supplied Wireless Headphones Series 08","10","15","true","SAPMDG","PRD-000025","SUP-ACME"
"SP-000026","SUPMAT-000026","SUP-GLOBAL supplied Industrial Sensor Series 09","11","20","true","SAPMDG","PRD-000026","SUP-GLOBAL"
"SP-000027","SUPMAT-000027","SUP-ORIENT supplied Laptop Docking Station Series 01","12","25","true","SAPMDG","PRD-000027","SUP-ORIENT"
"SP-000028","SUPMAT-000028","SUP-PRECISION supplied Smart Air Purifier Series 02","13","30","false","SAPMDG","PRD-000028","SUP-PRECISION"
"SP-000029","SUPMAT-000029","SUP-ECO supplied Sterile Procedure Kit Series 03","14","35","true","SAPMDG","PRD-000029","SUP-ECO"
"SP-000030","SUPMAT-000030","SUP-MEDLINE supplied Plant Maintenance Filter Series 04","15","40","true","SAPMDG","PRD-000030","SUP-MEDLINE"
"SP-000031","SUPMAT-000031","SUP-RAPID supplied EV Battery Module Series 05","16","45","true","SAPMDG","PRD-000031","SUP-RAPID"
"SP-000032","SUPMAT-000032","SUP-OMEGA supplied Recyclable Shipping Case Series 06","17","50","false","SAPMDG","PRD-000032","SUP-OMEGA"
"SP-000033","SUPMAT-000033","SUP-BLUE supplied Wireless Headphones Series 07","18","55","true","SAPMDG","PRD-000033","SUP-BLUE"
