"PlantProductID","MRPType","SafetyStock","ReorderPoint","LotSize","ManufacturingStatus","PublisherID_Material","SourceID_Material","FID_Plant","PublisherID_Product","SourceID_Product","FID_StorageLocation"
"PP-000001","PD","35","15","EX","Released","PLM","MAT-000001","PLT-US01","SAPMDG","PRD-000001","STO-US01-0001"
"PP-000002","VB","45","20","HB","Released","PLM","MAT-000002","PLT-US02","SAPMDG","PRD-000002","STO-US02-0001"
"PP-000003","ND","55","25","FX","Released","PLM","MAT-000003","PLT-DE01","SAPMDG","PRD-000003","STO-DE01-0001"
"PP-000004","X0","65","30","WB","Released","PLM","MAT-000004","PLT-CN01","SAPMDG","PRD-000004","STO-CN01-0001"
"PP-000005","PD","75","35","EX","Released","PLM","MAT-000005","PLT-IN01","SAPMDG","PRD-000005","STO-IN01-0001"
"PP-000006","VB","85","40","HB","Released","PLM","MAT-000006","PLT-MX01","SAPMDG","PRD-000006","STO-MX01-0001"
"PP-000007","ND","95","10","FX","Released","PLM","MAT-000007","PLT-US01","SAPMDG","PRD-000007","STO-US01-0001"
"PP-000008","X0","105","15","WB","Released","PLM","MAT-000008","PLT-US02","SAPMDG","PRD-000008","STO-US02-0001"
"PP-000009","PD","25","20","EX","Released","PLM","MAT-000009","PLT-DE01","SAPMDG","PRD-000009","STO-DE01-0001"
"PP-000010","VB","35","25","HB","Released","PLM","MAT-000010","PLT-CN01","SAPMDG","PRD-000010","STO-CN01-0001"
"PP-000011","ND","45","30","FX","Engineering Hold","PLM","MAT-000011","PLT-IN01","SAPMDG","PRD-000011","STO-IN01-0001"
"PP-000012","X0","55","35","WB","Released","PLM","MAT-000012","PLT-MX01","SAPMDG","PRD-000012","STO-MX01-0001"
"PP-000013","PD","65","40","EX","Released","PLM","MAT-000013","PLT-US01","SAPMDG","PRD-000013","STO-US01-0001"
"PP-000014","VB","75","10","HB","Released","PLM","MAT-000014","PLT-US02","SAPMDG","PRD-000014","STO-US02-0001"
"PP-000015","ND","85","15","FX","Released","PLM","MAT-000015","PLT-DE01","SAPMDG","PRD-000015","STO-DE01-0001"
