GIVEN_NAME,TOP_NICKNAMES,ALL_NICKNAMES
aaron,ron,"ron,ronnie,erin"
abbie,abigail,abigail
abby,abigail,abigail
abednego,bedney,bedney
abel,abe,"ebbie,ab,abe,eb"
abiel,ab,ab
abigail,abby,"nabby,abby,gail"
abijah,ab,"ab,bige"
abner,ab,ab
abraham,abe,"ab,abe"
abram,ab,ab
absalom,ab,"app,ab,abbie"
ada,addy,addy
adaline,addy,"delia,lena,dell,addy,ada"
adam,ade,"edie,ade"
addy,adele,adele
adela,della,della
adelaide,adele,"heidi,adele,dell,addy,della"
adelbert,bert,"del,albert,delbert,bert"
adele,dell,dell
adeline,delia,"delia,lena,dell,addy,ada"
adelphia,dell,"philly,delphia,adele,dell,addy"
adolphus,dolph,"dolph,ado,adolph"
adrian,rian,rian
adrienne,adrian,adrian
agatha,aggy,aggy
agnes,nessa,"inez,aggy,nessa"
aileen,lena,"lena,allie"
alan,al,al
alanson,al,"al,lanson"
alastair,al,al
alazama,ali,ali
albert,bert,"bert,al"
alberta,bertie,"bert,allie,bertie"
aldo,al,al
aldrich,rich,"riche,rich"
aleva,leve,"levy,leve"
alexander,alex,"alex,al,sandy"
alexandra,alex,"alex,sandy,alla,sandra"
alexandria,sandra,"drina,alexander,alla,sandra"
alexis,lexi,lexi
alfonse,al,al
alfred,fred,"freddy,al,fred"
alfreda,freda,"freddy,alfy,freda,frieda"
algernon,algy,algy
alice,elsie,"lisa,elsie,allie"
alicia,elsie,"lisa,elsie,allie"
aline,adeline,adeline
alison,ali,ali
allan,al,al
allen,al,al
allisandra,allie,allie
almena,mena,"mena,allie"
almina,minnie,minnie
almira,myra,myra
alonzo,lonzo,"lon,al,lonzo"
alphinias,alphus,alphus
alverta,vert,"virdie,vert"
alyssa,ally,"lissia,al,ally"
alzada,zada,zada
amanda,mandy,"mandy,manda"
ambrose,brose,brose
amelia,amy,"amy,mel,millie,emily"
amos,moses,moses
anastasia,stacy,"ana,stacy"
anderson,andy,andy
andrea,drea,"drea,rea,andrew"
andrew,drew,"andy,drew"
angel,anjel,"anjel,angelo,anjelo,angela"
angela,jane,"angelica,angelina,angel,angeline,jane,angie"
angelina,lina,lina
ann,annie,"nana,nan,nancy,annie,nanny"
anna,annie,"anne,ann,annie,superstar"
anne,nancy,"annie,nana,ann,nan,nanny,nancy"
annette,nettie,"anna,nettie"
annie,ann,"ann,anna"
anselm,selma,"ansel,selma,anse,ance"
anthony,tony,tony
antoinette,netta,"toni,netta,ann"
antonia,toni,"toni,netta,ann"
appoline,appie,"appy,appie"
aquilla,quil,"quil,quillie"
ara,arry,"belle,arry"
arabella,bella,"ara,bella,arry,belle"
arabelle,belle,"ara,bella,arry,belle"
araminta,minty,"armida,middie,ruminta,minty"
archibald,archie,archie
archilles,kill,"kill,killis"
ariadne,arie,arie
arielle,arie,arie
aristotle,telly,telly
arizona,onie,"onie,ona"
arlene,lena,"arly,lena"
armanda,mandy,mandy
armena,mena,"mena,arry"
armilda,milly,milly
arminda,mindie,mindie
arminta,minnie,"minite,minnie"
arnold,arnie,arnie
art,arthur,arthur
artelepsa,epsey,epsey
artemus,art,art
arthur,art,art
arthusa,thursa,thursa
arzada,zaddi,zaddi
asahel,asa,asa
asaph,asa,asa
asenath,natty,"sene,assene,natty"
aubrey,bree,bree
audrey,dee,dee
august,gus,gus
augusta,aggy,"tina,aggy,gatsy,gussie"
augustina,aggy,"tina,aggy,gatsy,gussie"
augustine,gus,"gus,austin,august"
augustus,gus,"gus,austin,august"
aurelia,ora,"ree,rilly,orilla,aurilla,ora"
avarilla,rilla,rilla
azariah,riah,"riah,aze"
bab,barby,barby
barbara,babs,"barby,babs,bab,bobbie"
barbery,barbara,barbara
barbie,barbara,barbara
barnabas,barney,barney
barney,barnabas,barnabas
bart,bartholomew,bartholomew
bartholomew,bart,"bartel,bat,meus,bart,mees"
barticus,bart,bart
bazaleel,basil,basil
bea,beatrice,beatrice
beatrice,trixie,"bea,trisha,trixie,trix"
becca,beck,beck
beck,becky,becky
bedelia,bridgit,"delia,bridgit"
belinda,linda,"belle,linda"
bella,belle,"belle,arabella,isabella"
ben,bennie,"benjamin,bennie"
benedict,bennie,"bennie,ben"
benjamin,ben,"benjy,jamie,bennie,ben"
benjy,benjamin,benjamin
bernard,bernie,"barney,bernie,berney"
berney,bernie,bernie
bert,bobby,"bertie,bob,bobby"
bertha,birdie,"bert,birdie,bertie"
bertram,bert,bert
bess,bessie,bessie
beth,betsy,"betsy,betty,elizabeth"
bethena,beth,"beth,thaney"
beverly,bev,bev
bezaleel,zeely,zeely
biddie,biddy,biddy
bill,fred,"william,billy,robert,willie,fred"
billy,fred,"william,robert,fred"
blanche,bea,bea
bob,robert,"rob,robert"
bobby,bob,"rob,bob"
boetius,bo,bo
bradford,brad,"ford,brad"
brady,brody,brody
brenda,brandy,brandy
brian,bryan,"bryan,bryant"
bridget,biddy,"bridie,biddy,bridgie,biddie"
brittany,britt,britt
broderick,rick,"ricky,brody,brady,rick"
cal,calvin,calvin
caldonia,calliedona,calliedona
caleb,cal,cal
california,callie,callie
calista,kissy,kissy
calpurnia,cally,cally
calvin,cal,"vin,vinny,cal"
cameron,cam,"ron,cam,ronny"
camille,millie,"millie,cammie"
campbell,cam,cam
candace,dacey,"candy,dacey"
carlotta,lottie,lottie
carlton,carl,carl
carmellia,mellia,mellia
carmon,charm,"charm,cammie,carm"
carol,carol,"lynn,carrie,carolann,cassie,caroline,carole,carolyn"
carolann,carol,"carol,carole"
caroline,carol,"lynn,carol,carrie,cassie,carole"
carolyn,carrie,"lynn,carrie,cassie"
carrie,cassie,cassie
carthaette,etty,"etta,etty"
casey,k.c.,k.c.
casper,jasper,jasper
cassandra,sandy,"sandy,cassie,sandra"
cassie,cassandra,cassandra
caswell,cass,cass
catherine,cathy,"kathy,katy,lena,kittie,kit,trina,cathy,kay,cassie"
cathleen,cathy,"kathy,katy,lena,kittie,kit,trina,cathy,kay,cassie"
cecilia,cissy,"cissy,celia"
cedric,ced,"ced,rick,ricky"
celeste,lessie,"lessie,celia"
celinda,linda,"linda,lynn,lindy"
charity,chat,chat
charles,chuck,"charlie,chuck,carl,chick"
charlie,chuck,"charles,chuck"
charlotte,sherry,"char,sherry,lottie,lotta"
chauncey,chan,chan
cher,sher,sher
cheryl,sheryl,sheryl
chesley,chet,chet
chester,chet,chet
chet,chester,chester
chloe,clo,clo
christa,chris,chris
christian,chris,"chris,kit"
christiana,tina,"kris,kristy,ann,tina,christy,chris,crissy"
christina,tina,"kris,kristy,tina,christy,chris,crissy"
christine,tina,"kris,kristy,chrissy,tina,chris,crissy"
christopher,chris,"chris,kit"
christy,crissy,crissy
cicely,cilla,cilla
cinderella,cindy,"arilla,rella,cindy,rilla"
cindy,cinderlla,cinderlla
clair,clare,"clare,clara"
clara,clarissa,clarissa
clare,clara,clara
clarence,clare,"clare,clair"
clarinda,clara,clara
clarissa,clara,"cissy,clara"
claudia,claud,claud
cleatus,cleat,cleat
clement,clem,clem
clementine,clem,"clement,clem"
clifford,cliff,"ford,cliff"
clifton,cliff,"tony,cliff"
cole,colie,colie
columbus,clum,clum
con,conny,conny
conrad,con,"conny,con"
constance,connie,connie
cordelia,delia,"cordy,delia"
corey,coco,"coco,cordy,ree"
corinne,cora,"cora,ora"
cornelia,nelly,"nelly,cornie,nelia,corny,nelle"
cornelius,niel,"conny,niel,corny,con"
cory,coco,"coco,cordy,ree"
courtney,curt,"curt,court"
crystal,chris,"chris,tal,stal,crys"
curt,curtis,curtis
curtis,curt,curt
cy,cyrus,cyrus
cynthia,cindy,"cintha,cindy"
cyrenius,cy,"swene,cy,serene,renius,cene"
cyrus,cy,cy
daisy,margaret,margaret
dal,dahl,dahl
dalton,dahl,dahl
dan,danny,"danny,daniel"
daniel,dan,"dan,danny"
daniela,dani,"dani,danny,dany,danie,ella,ela,nelly,nel,dana"
danielle,dani,"ellie,dani"
danny,daniel,daniel
daphne,daph,"daph,daphie"
darlene,lena,"lena,darry"
dav,david,"david,dave"
dave,david,david
davey,david,david
david,dave,"dave,day,davey"
deanne,ann,"ann,dee"
deb,debra,"deborah,debra"
debbie,deb,"deb,debra,deborah,debby"
debby,deb,deb
debora,debbie,"deb,debbie,debby"
deborah,debbie,"deb,debbie,debby"
debra,debbie,"deb,debbie"
deidre,deedee,deedee
delbert,bert,"bert,del"
delilah,lil,"lil,lila,dell,della"
deliverance,delly,"delly,dilly,della"
dell,della,della
della,adela,"adela,delilah,adelaide"
delores,lola,"lolly,lola,della,dee,dell"
delpha,philadelphia,philadelphia
delphine,delf,"delphi,del,delf"
demaris,mary,"dea,maris,mary"
demerias,mary,"dea,maris,mary"
democrates,mock,mock
denise,dennis,dennis
dennis,denny,denny
dennison,denny,denny
derrick,rick,"ricky,eric,rick"
deuteronomy,duty,duty
diana,didi,"dicey,didi,di"
diane,didi,"dicey,didi,di"
dicey,dicie,dicie
dick,rick,"rick,richard"
dickson,dick,dick
domenic,dom,dom
dominic,dom,dom
don,donald,donald
donald,don,"dony,donnie,don,donny"
donnie,donny,"donald,donny"
donny,donald,donald
dorcus,darkey,darkey
dorinda,dora,"dorothea,dora"
doris,dora,dora
dorothea,dora,"doda,dora"
dorothy,dot,"dortha,dolly,dot,dotty"
dot,dotty,dotty
dotha,dotty,dotty
