SIC_CODE_ID,SIC_CODE,SIC_DESC
111,111,WHEAT
112,112,RICE
115,115,CORN
116,116,SOYBEANS
119,119,"CASH GRAINS, NEC"
131,131,COTTON
132,132,TOBACCO
133,133,SUGARCANE AND SUGAR BEETS
134,134,IRISH POTATOES
139,139,"FIELD CROPS, EXCEPT CASH GRAIN"
161,161,VEGETABLES AND MELONS
171,171,BERRY CROPS
172,172,GRAPES
173,173,TREE NUTS
174,174,CITRUS FRUITS
175,175,DECIDUOUS TREE FRUITS
179,179,"FRUITS AND TREE NUTS, NEC"
181,181,ORNAMENTAL NURSERY PRODUCTS
182,182,FOOD CROPS GROWN UNDER COVER
191,191,"GENERAL FARMS, PRIMARILY CROP"
211,211,BEEF CATTLE FEEDLOTS
212,212,"BEEF CATTLE, EXCEPT FEEDLOTS"
213,213,HOGS
214,214,SHEEP AND GOATS
219,219,"GENERAL LIVESTOCK, NEC"
241,241,DAIRY FARMS
251,251,"BROILER, FRYER, AND ROASTER CHICKENS"
252,252,CHICKEN EGGS
253,253,TURKEYS AND TURKEY EGGS
254,254,POULTRY HATCHERIES
259,259,"POULTRY AND EGGS, NEC"
271,271,FUR-BEARING ANIMALS AND RABBITS
272,272,HORSES AND OTHER EQUINES
273,273,ANIMAL AQUACULTURE
279,279,"ANIMAL SPECIALTIES, NEC"
291,291,"GENERAL FARMS, PRIMARILY ANIMALS"
711,711,SOIL PREPARATION SERVICES
721,721,CROP PLANTING AND PROTECTION
722,722,CROP HARVESTING
723,723,CROP PREPARATION SERVICES FOR MARKET
724,724,COTTON GINNING
741,741,VETERINARY SERVICES FOR LIVESTOCK
742,742,"VETERINARY SERVICES, SPECIALTIES"
751,751,"LIVESTOCK SERVICES, EXCEPT VETERINARY"
752,752,ANIMAL SPECIALTY SERVICES
761,761,FARM LABOR CONTRACTORS
762,762,FARM MANAGEMENT SERVICES
781,781,LANDSCAPE COUNSELING AND PLANNING
782,782,LAWN AND GARDEN SERVICES
783,783,ORNAMENTAL SHRUB AND TREE SERVICES
811,811,TIMBER TRACTS
831,831,FOREST PRODUCTS
851,851,FORESTRY SERVICES
912,912,FINFISH
913,913,SHELLFISH
919,919,MISCELLANEOUS MARINE PRODUCTS
921,921,FISH HATCHERIES AND PRESERVES
971,971,"HUNTING, TRAPPING, GAME PROPAGATION"
1011,1011,IRON ORES
1021,1021,COPPER ORES
1031,1031,LEAD AND ZINC ORES
1041,1041,GOLD ORES
1044,1044,SILVER ORES
1061,1061,"FERROALLOY ORES, EXCEPT VANADIUM"
1081,1081,METAL MINING SERVICES
1094,1094,URANIUM-RADIUM-VANADIUM ORES
1099,1099,"METAL ORES, NEC"
1221,1221,BITUMINOUS COAL AND LIGNITE-SURFACE MINING
1222,1222,BITUMINOUS COAL-UNDERGROUND MINING
1231,1231,ANTHRACITE MINING
1241,1241,COAL MINING SERVICES
1311,1311,CRUDE PETROLEUM AND NATURAL GAS
1321,1321,NATURAL GAS LIQUIDS
1381,1381,DRILLING OIL AND GAS WELLS
1382,1382,OIL AND GAS EXPLORATION SERVICES
1389,1389,"OIL AND GAS FIELD SERVICES, NEC"
1411,1411,DIMENSION STONE
1422,1422,CRUSHED AND BROKEN LIMESTONE
1423,1423,CRUSHED AND BROKEN GRANITE
1429,1429,"CRUSHED AND BROKEN STONE, NEC"
1442,1442,CONSTRUCTION SAND AND GRAVEL
1446,1446,INDUSTRIAL SAND
1455,1455,KAOLIN AND BALL CLAY
1459,1459,"CLAY AND RELATED MINERALS, NEC"
1474,1474,"POTASH, SODA, AND BORATE MINERALS"
1475,1475,PHOSPHATE ROCK
1479,1479,CHEMICAL AND FERTILIZER MINING
1481,1481,NONMETALLIC MINERAL SERVICES
1499,1499,MISCELLANEOUS NONMETALLIC MINING
1521,1521,SINGLE-FAMILY HOUSING CONSTRUCTION
1522,1522,"RESIDENTIAL CONSTRUCTION, NEC"
1531,1531,OPERATIVE BUILDERS
1541,1541,INDUSTRIAL BUILDINGS AND WAREHOUSES
