SourceID,AccountName,Type,SourceID_Parent Account,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Fax,Website,PhotoUrl,Industry,AnnualRevenue,NumberOfEmployees,Ownership,Description,Rating,Site,Sic,NaicsCode,DunsNumber,DandbCompanyId,AccountNumber,CleanStatus,IsPersonAccount,YearStarted
001GA000053KnXzYAK,GLAXOSMITHKLINE,Customer - Direct,,980 Great West Road,,England,TW8 9GS,United Kingdom,,,,,,02079460958,,http://www.gsk.com,/services/images/photo/001GA000053KnXzYAK,Biotechnology,1000000,1234,,,Hot,,,,,,192837,Pending,FALSE,
0017F00000N8zXYQAZ,SAINT GOBAIN,Customer - Channel,,12 Place de l'Iris,Courbevoie,IDF,92400,France,12 Place de l'Iris,Courbevoie,IDF,92400,France,01 88 54 00 00,+331 88 54 00 00,http://www.saint-gobain.com,/services/images/photo/0017F00000N8zXYQAZ,Manufacturing,95000,170174,Public,,,,3221,327213,,,CC213425,Pending,FALSE,1665
0017F00000N8zXZQAZ,"ABC SUPPLY CO., INC.",Customer - Channel,,1 ABC Parkway,Beloit,WI,53511,United States,1 ABC Parkway,Beloit,WI,53511,United States,(858) 452-1203,(785) 241-6204,http://www.abcsupply.com/,/services/images/photo/0017F00000N8zXZQAZ,Construction,9300,,Public,,,,5531,,,,A48596,Pending,FALSE,
0017F00000N8zXaQAJ,HYATT HOTELS CORP.,Customer - Direct,,150 North Riverside Plaza,Chicago,IL,60606,United States,150 North Riverside Plaza,Chicago,IL,60606,United States,(312) 596-1033,(312) 596-1511,http://www.hyatt.com/,/services/images/photo/0017F00000N8zXaQAJ,Hospitality,500000000,189000,Public,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",Warm,,7011,721110,,,CD439877,Pending,FALSE,1957
0017F00000N8zXgQAJ,Total S.A.,Customer - Channel,,Tour Coupole - 2 place Jean Millier,Paris la Défense cedex,,92078,FR,Tour Coupole - 2 place Jean Millier,Paris la Défense cedex,,92078,FR,(650) 867-3411,(650) 867-9895,www.total.com,/services/images/photo/0017F00000N8zXgQAJ,Energy,280000000,105476,Public,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,Cold,,5171,424710,,,CC978213,Pending,FALSE,1924
0017F00000N8zXeQAJ,"United Oil & Gas, UK",Customer - Direct,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,UK,,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,,,,+44 191 4956203,+44 191 4956620,http://www.uos.com,/services/images/photo/0017F00000N8zXeQAJ,Energy,,24000,Public,,,,1031,,,,CD355119-A,Pending,FALSE,
0017F00000N8zXfQAJ,"United Oil & Gas, Singapore",Customer - Direct,,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",Singapore,Singapore,,,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,(650) 450-8810,(650) 450-8820,http://www.united-oil.com/,/services/images/photo/0017F00000N8zXfQAJ,Energy,,3000,Private,,,,131101,33313,,,CD355120-B,Pending,FALSE,1992
0017F00000N8zXWQAZ,BOSE CORP.,Customer - Direct,,100 The Mountain Road,Framingham,MA,01701,United States,100 The Mountain Road,Framingham,MA,01701,United States,(512) 757-6022,(512) 757-9000,http://www.bose.com,/services/images/photo/0017F00000N8zXWQAZ,Electronics,32000000,6000,Public,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",Hot,,365101,334310,,,CD451796,Pending,FALSE,1965
0017F00000N8zXXQAZ,Burlington Textiles Corp of America,Customer - Direct,,525 S. Lexington Ave,White Plains,NY,10605,US,,,,,,(336) 222-7015,(336) 222-8000,burlington.com,/services/images/photo/0017F00000N8zXXQAZ,Apparel,350000000,9000,Public,,Warm,,5651,458110,,,CD656092,Pending,FALSE,1923
001GA00004uRzxNYAS,Tata Steel,Customer - Direct,,24 Homi Mody Street,Mumbai,MH,400001,IN,,,,,,9455102030,,tatasteel.com,/services/images/photo/001GA00004uRzxNYAS,Manufacturing,,,Public,,Hot,,,,,,,Pending,FALSE,
