SourceID,PublisherID_Account,SourceID_Account,Campaign,Name,Type,LeadSource,StageName,Probability,ForecastCategory,CloseDate,Fiscal,FiscalQuarter,FiscalYear,Amount,ExpectedRevenue,TotalOpportunityQuantity,NextStep,Description,IsClosed,IsWon
0067F0000076F31QAE,SFDC,0017F00000N8zXZQAZ,,Application Integration,New Customer,Purchased List,Needs Analysis,20,Pipeline,21-10-2017,2017 4,4,2017,15000,3000,,,,FALSE,FALSE
0067F0000076F32QAE,SFDC,0017F00000N8zXbQAJ,,United Oil Office Portable Generators,Existing Customer - Upgrade,,Negotiation/Review,90,Pipeline,08-10-2017,2015 1,1,2015,125000,112500,,,,FALSE,FALSE
0067F0000076F33QAE,SFDC,0017F00000N8zXcQAJ,7017F000000Cb0TQAS,Harley Davidson Customer 360 Project,New Customer,Trade Show,Closed Won,100,Closed,03-09-2017,2017 3,3,2017,220000,220000,,,,TRUE,TRUE
0067F0000076F34QAE,SFDC,0017F00000N8zXgQAJ,7017F000000Cb0WQAS,Total Digital Transformation Project,New Customer,Partner,Closed Won,100,Closed,11-10-2017,2017 4,4,2017,150000,150000,,,,TRUE,TRUE
0067F0000076F36QAE,SFDC,0017F00000N8zXbQAJ,,United Oil Refinery Generators,Existing Customer - Upgrade,,Proposal/Price Quote,75,Pipeline,22-11-2017,2015 2,2,2015,270000,202500,,,,FALSE,FALSE
0067F0000076F3AQAU,SFDC,0017F00000N8zXdQAJ,,University of AZ Portable Generators,New Customer,Public Relations,Closed Won,100,Closed,07-09-2017,2015 1,1,2015,50000,50000,,,,TRUE,TRUE
0067F0000076F37QAE,SFDC,0017F00000N8zXbQAJ,,United Oil SLA,Existing Customer - Upgrade,Partner,Closed Won,100,Closed,29-11-2017,2015 2,2,2015,120000,120000,,,,TRUE,TRUE
0067F0000076F38QAE,SFDC,0017F00000N8zXaQAJ,,Hyatt - Additional Licenses,Existing Customer - Upgrade,Employee Referral,Value Proposition,50,Pipeline,07-12-2017,2017 4,4,2017,250000,125000,,,,FALSE,FALSE
0067F0000076F39QAE,SFDC,0017F00000N8zXWQAZ,,Customer Analytics Project Licenses,New Customer,Word of mouth,Closed Won,100,Closed,07-12-2017,2017 4,4,2017,275000,275000,,,,TRUE,TRUE
0067F0000076F3BQAU,SFDC,0017F00000N8zXYQAZ,,Saint Gobain - Inventory Management Hub Requirement,,Phone Inquiry,Prospecting,10,Pipeline,16-10-2017,2017 4,4,2017,100000,10000,,,,FALSE,FALSE
0067F0000076F3CQAU,SFDC,0017F00000N8zXcQAJ,7017F000000Cb0UQAS,Additional Licenses,Existing Customer - Upgrade,External Referral,Value Proposition,50,Pipeline,01-09-2017,2017 3,3,2017,80000,40000,,,,FALSE,FALSE
0067F0000076F3DQAU,SFDC,0017F00000N8zXgQAJ,,Total Consulting Services,,,Id. Decision Makers,60,Pipeline,01-12-2017,2017 4,4,2017,60000,36000,,,,FALSE,FALSE
0067F0000076F3EQAU,SFDC,0017F00000N8zXgQAJ,7017F000000Cb0UQAS,Total Environment Upgrade,Existing Customer - Upgrade,Partner,Closed Won,100,Closed,04-12-2017,2017 4,4,2017,30000,30000,,,,TRUE,TRUE
0067F0000076F3FQAU,SFDC,0017F00000N8zXbQAJ,7017F000000Cb0WQAS,United Oil Installations,Existing Customer - Upgrade,,Negotiation/Review,90,Pipeline,04-10-2017,2017 4,4,2017,270000,243000,,,,FALSE,FALSE
0067F0000076F3GQAU,SFDC,0017F00000N8zXWQAZ,,Consulting Services,Existing Customer - Upgrade,Word of mouth,Closed Won,100,Closed,28-09-2017,2017 3,3,2017,50000,50000,,,,TRUE,TRUE
0067F0000076F3HQAU,SFDC,0017F00000N8zXWQAZ,,Edge SLA,Existing Customer - Upgrade,Word of mouth,Closed Won,100,Closed,24-08-2017,2015 1,1,2015,60000,60000,,,,TRUE,TRUE
0067F0000076F3IQAU,SFDC,0017F00000N8zXbQAJ,,United Oil Installations,Existing Customer - Upgrade,Partner,Closed Won,100,Closed,03-10-2017,2015 1,1,2015,270000,270000,,,,TRUE,TRUE
0067F0000076F3JQAU,SFDC,0017F00000N8zXaQAJ,,Application Integration Project,Existing Customer - Upgrade,External Referral,Closed Won,100,Closed,20-11-2017,2017 4,4,2017,350000,350000,,,,TRUE,TRUE
0067F0000076F3KQAU,SFDC,0017F00000N8zXbQAJ,,United Oil Refinery Generators,New Customer,Partner,Closed Won,100,Closed,15-11-2017,2015 2,2,2015,915000,915000,,,,TRUE,TRUE
0067F0000076F3LQAU,SFDC,0017F00000N8zXdQAJ,,University of AZ Installations,Existing Customer - Upgrade,Employee Referral,Proposal/Price Quote,75,Pipeline,04-09-2017,2015 1,1,2015,100000,75000,,,,FALSE,FALSE
0067F0000076F3MQAU,SFDC,0017F00000N8zXcQAJ,7017F000000Cb0UQAS,Harley Davidson Consulting Services,Existing Customer - Upgrade,External Referral,Perception Analysis,70,Pipeline,02-09-2017,2017 3,3,2017,120000,84000,,,,FALSE,FALSE
0067F0000076F3QQAU,SFDC,0017F00000N8zXbQAJ,,United Oil Emergency Generators,Existing Customer - Upgrade,External Referral,Closed Won,100,Closed,27-09-2017,2015 1,1,2015,440000,440000,,,,TRUE,TRUE
0067F0000076F3NQAU,SFDC,0017F00000N8zXdQAJ,,University of AZ SLA,Existing Customer - Upgrade,Public Relations,Closed Won,100,Closed,11-09-2017,2015 1,1,2015,90000,90000,,,,TRUE,TRUE
0067F0000076F3OQAU,SFDC,0017F00000N8zXXQAZ,,Data Migration Project,New Customer,Web,Closed Won,100,Closed,13-10-2017,2017 4,4,2017,235000,235000,,,,TRUE,TRUE
0067F0000076F3PQAU,SFDC,0017F00000N8zXbQAJ,,United Oil Installations,Existing Customer - Upgrade,External Referral,Closed Won,100,Closed,15-10-2017,2015 1,1,2015,235000,235000,,,,TRUE,TRUE
0067F0000076F3RQAU,SFDC,0017F00000N8zXaQAJ,,Hyatt - Additional Consulting,Existing Customer - Upgrade,External Referral,Closed Won,100,Closed,31-08-2017,2017 3,3,2017,90000,90000,,,,TRUE,TRUE
0067F0000076F3SQAU,SFDC,0017F00000N8zXbQAJ,,United Oil Standby Generators,Existing Customer - Upgrade,External Referral,Closed Won,100,Closed,30-11-2017,2015 2,2,2015,120000,120000,,,,TRUE,TRUE
