"EntityID","CustomerID","EntityName","RegistrationNumber","IncorporationDate","CountryOfIncorporation","TaxID","Industry","LegalForm","IsListed","SourceSystem"
"ENT0001","CUST0002","Acme Corp","REG1001","15-03-2000","USA","TAX2001","Manufacturing","LLC","FALSE","ERP"
"ENT0041","CUST0002","Akme Korp","US-REG1001","10-04-2001","USA","US-TAX2001","Technology","Inc","TRUE","WEB"
"ENT0002","CUST0005","Globex Inc","REG1002","22-07-2005","UK","TAX2002","Finance","PLC","TRUE","CRM"
"ENT0042","CUST0005","Globx Ink","GB-REG1002","15-08-2006","UK","GB-TAX2002","Logistics","LLC","FALSE","ERP"
"ENT0003","CUST0007","Initech Ltd","REG1003","30-11-2010","Canada","TAX2003","Technology","Inc","FALSE","WEB"
"ENT0043","CUST0007","Initec Ldt","CA-REG1003","01-12-2011","Canada","CA-TAX2003","Manufacturing","PLC","TRUE","CRM"
"ENT0004","CUST0010","Stark Industries","REG1004","10-05-1998","USA","TAX2004","Engineering","LLC","TRUE","ERP"
"ENT0044","CUST0010","Sturk Industrees","US-REG1004","20-06-1999","USA","US-TAX2004","Food","Inc","FALSE","WEB"
"ENT0005","CUST0012","Wayne Enterprises","REG1005","18-09-2002","UK","TAX2005","Real Estate","PLC","FALSE","CRM"
"ENT0045","CUST0012","Wain Enterprizes","GB-REG1005","22-10-2003","UK","GB-TAX2005","Research","LLC","TRUE","ERP"
"ENT0006","CUST0015","Oscorp","REG1006","25-01-2008","Canada","TAX2006","Biotech","Inc","TRUE","WEB"
"ENT0046","CUST0015","Oskorp","CA-REG1006","14-02-2009","Canada","CA-TAX2006","Consulting","PLC","FALSE","CRM"
"ENT0007","CUST0017","LexCorp","REG1007","14-06-2012","Australia","TAX2007","Energy","LLC","FALSE","ERP"
"ENT0047","CUST0017","LeksKorp","AU-REG1007","19-07-2013","Australia","AU-TAX2007","Paper","Inc","TRUE","WEB"
"ENT0008","CUST0020","Wonka Industries","REG1008","03-12-2001","USA","TAX2008","Food","PLC","TRUE","CRM"
"ENT0048","CUST0020","Wanka Industrees","US-REG1008","10-01-2002","USA","US-TAX2008","Entertainment","LLC","FALSE","ERP"
"ENT0009","CUST0022","Tyrell Corp","REG1009","28-02-2000","UK","TAX2009","Robotics","Inc","FALSE","WEB"
"ENT0049","CUST0022","Tirel Korp","GB-REG1009","28-02-2000","UK","GB-TAX2009","Finance","PLC","TRUE","CRM"
"ENT0010","CUST0025","Gringotts Bank","REG1010","15-03-2001","Canada","TAX2010","Banking","LLC","TRUE","ERP"
"ENT0050","CUST0025","Gringots Banq","CA-REG1010","15-03-2001","Canada","CA-TAX2010","Technology","Inc","FALSE","WEB"
"ENT0011","CUST0027","Black Mesa","REG1011","20-04-2002","Australia","TAX2011","Research","PLC","FALSE","CRM"
"ENT0051","CUST0027","Blak Mesa","AU-REG1011","20-04-2002","Australia","AU-TAX2011","Manufacturing","LLC","TRUE","ERP"
"ENT0012","CUST0030","Blue Sun Corp","REG1012","25-05-2003","USA","TAX2012","Logistics","Inc","TRUE","WEB"
"ENT0052","CUST0030","Blew Sun Korp","US-REG1012","25-05-2003","USA","US-TAX2012","Engineering","PLC","FALSE","CRM"
"ENT0013","CUST0032","Massive Dynamic","REG1013","30-06-2004","UK","TAX2013","Technology","LLC","FALSE","ERP"
"ENT0053","CUST0032","Masiv Dinamic","GB-REG1013","30-06-2004","UK","GB-TAX2013","Real Estate","Inc","TRUE","WEB"
"ENT0014","CUST0035","Veidt Industries","REG1014","15-07-2005","Canada","TAX2014","Manufacturing","PLC","TRUE","CRM"
"ENT0054","CUST0035","Veit Industrees","CA-REG1014","15-07-2005","Canada","CA-TAX2014","Biotech","LLC","FALSE","ERP"
"ENT0015","CUST0037","Paper Co","REG1015","20-08-2006","Australia","TAX2015","Paper","Inc","FALSE","WEB"
"ENT0055","CUST0037","Papper Ko","AU-REG1015","20-08-2006","Australia","AU-TAX2015","Energy","PLC","TRUE","CRM"
"ENT0016","CUST0040","Prestige Worldwide","REG1016","25-09-2007","USA","TAX2016","Consulting","LLC","TRUE","ERP"
"ENT0056","CUST0040","Prestij Wurldwide","US-REG1016","25-09-2007","USA","US-TAX2016","Food","Inc","FALSE","WEB"
"ENT0017","CUST0042","Bluth Company","REG1017","30-10-2008","UK","TAX2017","Construction","PLC","FALSE","CRM"
"ENT0057","CUST0042","Blut Kompany","GB-REG1017","30-10-2008","UK","GB-TAX2017","Research","LLC","TRUE","ERP"
"ENT0018","CUST0045","Good Burger","REG1018","15-11-2009","Canada","TAX2018","Food","Inc","TRUE","WEB"
"ENT0058","CUST0045","Gud Burgar",,"15-11-2009","Canada","CA-TAX2018","Logistics","PLC","FALSE","CRM"
"ENT0019","CUST0047","Monsters Inc","REG1019","20-12-2010","Australia","TAX2019","Entertainment","LLC","FALSE","ERP"
"ENT0059","CUST0047","Monstirs Ink","AU-REG1019","20-12-2010","Australia","AU-TAX2019","Robotics","Inc","TRUE","WEB"
"ENT0020","CUST0050","Oceanic Airlines","REG1020","25-01-2011","USA","TAX2020","Airlines","PLC","TRUE","CRM"
"ENT0060","CUST0050","Ocenic Airlains","US-REG1020","25-01-2011","USA","US-TAX2020","Banking","LLC","FALSE","ERP"
"ENT0021","CUST0052","Acme Widgets","REG1021","28-02-2012","UK","TAX2021","Manufacturing","Inc","FALSE","WEB"
"ENT0061","CUST0052","Akme Widgeets","GB-REG1021","28-02-2012","UK","GB-TAX2021","Paper","PLC","TRUE","CRM"
"ENT0022","CUST0055","Globex Foods","REG1022","15-03-2013","Canada","TAX2022","Food","LLC","TRUE","ERP"
"ENT0062","CUST0055","Globx Fuds","CA-REG1022","15-03-2013","Canada","CA-TAX2022","Consulting","Inc","FALSE","WEB"
"ENT0023","CUST0057","Initech Services","REG1023","20-04-2014","Australia","TAX2023","Technology","PLC","FALSE","CRM"
"ENT0063","CUST0057","Initec Servises","AU-REG1023","20-04-2014","Australia","AU-TAX2023","Construction","LLC","TRUE","ERP"
"ENT0024","CUST0060","Stark Solutions","REG1024","25-05-2015","USA","TAX2024","Consulting","Inc","TRUE","WEB"
"ENT0064","CUST0060","Sturk Solushuns","US-REG1024","25-05-2015","USA","US-TAX2024","Food","PLC","FALSE","CRM"
"ENT0025","CUST0062","Wayne Tech","REG1025","30-06-2016","UK","TAX2025","Technology","LLC","FALSE","ERP"
"ENT0065","CUST0062","Wain Tek","GB-REG1025","30-06-2016","UK","GB-TAX2025","Manufacturing","Inc","TRUE","WEB"
"ENT0026","CUST0065","Oscorp Labs","REG1026","15-07-2017","Canada","TAX2026","Biotech","PLC","TRUE","CRM"
"ENT0066","CUST0065","Oskorp Labz","CA-REG1026","15-07-2017","Canada","CA-TAX2026","Technology","LLC","FALSE","ERP"
"ENT0027","CUST0067","LexTech","REG1027","20-08-2018","Australia","TAX2027","Energy","Inc","FALSE","WEB"
"ENT0067","CUST0067","LeksTek","AU-REG1027","20-08-2018","Australia","AU-TAX2027","Research","PLC","TRUE","CRM"
"ENT0028","CUST0070","Wonka Foods","REG1028","25-09-2019","USA","TAX2028","Food","LLC","TRUE","ERP"
"ENT0068","CUST0070","Wanka Fuds","US-REG1028","25-09-2019","USA","US-TAX2028","Logistics","Inc","FALSE","WEB"
"ENT0029","CUST0072","Tyrell Genetics","REG1029","30-10-2020","UK","TAX2029","Robotics","PLC","FALSE","CRM"
"ENT0069","CUST0072","Tirel Jenetiks","GB-REG1029","30-10-2020","UK","GB-TAX2029","Entertainment","LLC","TRUE","ERP"
"ENT0030","CUST0075","Gringotts Vaults","REG1030","15-11-2021","Canada","TAX2030","Banking","Inc","TRUE","WEB"
"ENT0070","CUST0075","Gringots Volts","CA-REG1030","15-11-2021","Canada","CA-TAX2030","Robotics","PLC","FALSE","CRM"
"ENT0031","CUST0077","Black Mesa Labs","REG1031","20-12-2022","Australia","TAX2031","Research","LLC","FALSE","ERP"
