"RiskProfileID","FDN_Customer","RiskLevel","AssessmentDate","AssessedBy","Score","IsSanctioned","SanctionReason","ReviewFrequency","NextReviewDate"
"RISK0001","CUST0001","Low","10-01-2024","Analyst1","12.5","FALSE","","Annual","10-01-2025"
"RISK0002","CUST0002","Medium","11-01-2024","Analyst2","45.0","FALSE","","Annual","11-01-2025"
"RISK0003","CUST0003","High","12-01-2024","Analyst3","78.2","TRUE","Sanctioned by OFAC","Quarterly","12-04-2024"
"RISK0004","CUST0004","Low","13-01-2024","Analyst1","10.0","FALSE","","Annual","13-01-2025"
"RISK0005","CUST0005","Medium","14-01-2024","Analyst2","50.0","FALSE","","Annual","14-01-2025"
"RISK0006","CUST0006","High","15-01-2024","Analyst3","80.0","TRUE","Sanctioned by EU","Quarterly","15-04-2024"
"RISK0007","CUST0007","Low","16-01-2024","Analyst1","15.0","FALSE","","Annual","16-01-2025"
"RISK0008","CUST0008","Medium","17-01-2024","Analyst2","55.0","FALSE","","Annual","17-01-2025"
"RISK0009","CUST0009","High","18-01-2024","Analyst3","85.0","TRUE","Sanctioned by UN","Quarterly","18-04-2024"
"RISK0010","CUST0010","Low","19-01-2024","Analyst1","18.0","FALSE","","Annual","19-01-2025"
"RISK0011","CUST0011","Medium","20-01-2024","Analyst2","40.0","FALSE","","Annual","20-01-2025"
"RISK0012","CUST0012","High","21-01-2024","Analyst3","75.0","TRUE","Sanctioned by OFAC","Quarterly","21-04-2024"
"RISK0013","CUST0013","Low","22-01-2024","Analyst1","11.0","FALSE","","Annual","22-01-2025"
"RISK0014","CUST0014","Medium","23-01-2024","Analyst2","48.0","FALSE","","Annual","23-01-2025"
"RISK0015","CUST0015","High","24-01-2024","Analyst3","82.0","TRUE","Sanctioned by EU","Quarterly","24-04-2024"
"RISK0016","CUST0016","Low","25-01-2024","Analyst1","16.0","FALSE","","Annual","25-01-2025"
"RISK0017","CUST0017","Medium","26-01-2024","Analyst2","53.0","FALSE","","Annual","26-01-2025"
"RISK0018","CUST0018","High","27-01-2024","Analyst3","88.0","TRUE","Sanctioned by UN","Quarterly","27-04-2024"
"RISK0019","CUST0019","Low","28-01-2024","Analyst1","19.0","FALSE","","Annual","28-01-2025"
"RISK0020","CUST0020","Medium","29-01-2024","Analyst2","42.0","FALSE","","Annual","29-01-2025"
"RISK0021","CUST0021","High","30-01-2024","Analyst3","79.0","TRUE","Sanctioned by OFAC","Quarterly","30-04-2024"
"RISK0022","CUST0022","Low","31-01-2024","Analyst1","13.0","FALSE","","Annual","31-01-2025"
"RISK0023","CUST0023","Medium","01-02-2024","Analyst2","47.0","FALSE","","Annual","01-02-2025"
"RISK0024","CUST0024","High","02-02-2024","Analyst3","81.0","TRUE","Sanctioned by EU","Quarterly","02-04-2024"
"RISK0025","CUST0025","Low","03-02-2024","Analyst1","17.0","FALSE","","Annual","03-02-2025"
"RISK0026","CUST0026","Medium","04-02-2024","Analyst2","54.0","FALSE","","Annual","04-02-2025"
"RISK0027","CUST0027","High","05-02-2024","Analyst3","89.0","TRUE","Sanctioned by UN","Quarterly","05-04-2024"
"RISK0028","CUST0028","Low","06-02-2024","Analyst1","20.0","FALSE","","Annual","06-02-2025"
"RISK0029","CUST0029","Medium","07-02-2024","Analyst2","44.0","FALSE","","Annual","07-02-2025"
"RISK0030","CUST0030","High","08-02-2024","Analyst3","77.0","TRUE","Sanctioned by OFAC","Quarterly","08-04-2024"
"RISK0031","CUST0031","Low","09-02-2024","Analyst1","14.0","FALSE","","Annual","09-02-2025"
"RISK0032","CUST0032","Medium","10-02-2024","Analyst2","49.0","FALSE","","Annual","10-02-2025"
"RISK0033","CUST0033","High","11-02-2024","Analyst3","83.0","TRUE","Sanctioned by EU","Quarterly","11-04-2024"
"RISK0034","CUST0034","Low","12-02-2024","Analyst1","21.0","FALSE","","Annual","12-02-2025"
"RISK0035","CUST0035","Medium","13-02-2024","Analyst2","56.0","FALSE","","Annual","13-02-2025"
"RISK0036","CUST0036","High","14-02-2024","Analyst3","90.0","TRUE","Sanctioned by UN","Quarterly","14-04-2024"
"RISK0037","CUST0037","Low","15-02-2024","Analyst1","22.0","FALSE","","Annual","15-02-2025"
"RISK0038","CUST0038","Medium","16-02-2024","Analyst2","57.0","FALSE","","Annual","16-02-2025"
"RISK0039","CUST0039","High","17-02-2024","Analyst3","91.0","TRUE","Sanctioned by OFAC","Quarterly","17-04-2024"
"RISK0040","CUST0040","Low","18-02-2024","Analyst1","23.0","FALSE","","Annual","18-02-2025"
"RISK0041","CUST0041","Medium","19-02-2024","Analyst2","58.0","FALSE","","Annual","19-02-2025"
"RISK0042","CUST0042","High","20-02-2024","Analyst3","92.0","TRUE","Sanctioned by EU","Quarterly","20-04-2024"
"RISK0043","CUST0043","Low","21-02-2024","Analyst1","24.0","FALSE","","Annual","21-02-2025"
"RISK0044","CUST0044","Medium","22-02-2024","Analyst2","59.0","FALSE","","Annual","22-02-2025"
"RISK0045","CUST0045","High","23-02-2024","Analyst3","93.0","TRUE","Sanctioned by UN","Quarterly","23-04-2024"
"RISK0046","CUST0046","Low","24-02-2024","Analyst1","25.0","FALSE","","Annual","24-02-2025"
"RISK0047","CUST0047","Medium","25-02-2024","Analyst2","60.0","FALSE","","Annual","25-02-2025"
"RISK0048","CUST0048","High","26-02-2024","Analyst3","94.0","TRUE","Sanctioned by OFAC","Quarterly","26-04-2024"
"RISK0049","CUST0049","Low","27-02-2024","Analyst1","26.0","FALSE","","Annual","27-02-2025"
"RISK0050","CUST0050","Medium","28-02-2024","Analyst2","61.0","FALSE","","Annual","28-02-2025"
"RISK0051","CUST0051","High","29-02-2024","Analyst3","95.0","TRUE","Sanctioned by EU","Quarterly","29-04-2024"
"RISK0052","CUST0052","Low","01-03-2024","Analyst1","27.0","FALSE","","Annual","01-03-2025"
"RISK0053","CUST0053","Medium","02-03-2024","Analyst2","62.0","FALSE","","Annual","02-03-2025"
"RISK0054","CUST0054","High","03-03-2024","Analyst3","96.0","TRUE","Sanctioned by UN","Quarterly","03-04-2024"
"RISK0055","CUST0055","Low","04-03-2024","Analyst1","28.0","FALSE","","Annual","04-03-2025"
"RISK0056","CUST0056","Medium","05-03-2024","Analyst2","63.0","FALSE","","Annual","05-03-2025"
"RISK0057","CUST0057","High","06-03-2024","Analyst3","97.0","TRUE","Sanctioned by OFAC","Quarterly","06-04-2024"
"RISK0058","CUST0058","Low","07-03-2024","Analyst1","29.0","FALSE","","Annual","07-03-2025"
"RISK0059","CUST0059","Medium","08-03-2024","Analyst2","64.0","FALSE","","Annual","08-03-2025"
"RISK0060","CUST0060","High","09-03-2024","Analyst3","98.0","TRUE","Sanctioned by EU","Quarterly","09-04-2024"
"RISK0061","CUST0061","Low","10-03-2024","Analyst1","30.0","FALSE","","Annual","10-03-2025"
"RISK0062","CUST0062","Medium","11-03-2024","Analyst2","65.0","FALSE","","Annual","11-03-2025"
"RISK0063","CUST0063","High","12-03-2024","Analyst3","99.0","TRUE","Sanctioned by UN","Quarterly","12-04-2024"
"RISK0064","CUST0064","Low","13-03-2024","Analyst1","31.0","FALSE","","Annual","13-03-2025"
"RISK0065","CUST0065","Medium","14-03-2024","Analyst2","66.0","FALSE","","Annual","14-03-2025"
"RISK0066","CUST0066","High","15-03-2024","Analyst3","100.0","TRUE","Sanctioned by OFAC","Quarterly","15-04-2024"
"RISK0067","CUST0067","Low","16-03-2024","Analyst1","32.0","FALSE","","Annual","16-03-2025"
"RISK0068","CUST0068","Medium","17-03-2024","Analyst2","67.0","FALSE","","Annual","17-03-2025"
"RISK0069","CUST0069","High","18-03-2024","Analyst3","101.0","TRUE","Sanctioned by EU","Quarterly","18-04-2024"
"RISK0070","CUST0070","Low","19-03-2024","Analyst1","33.0","FALSE","","Annual","19-03-2025"
"RISK0071","CUST0071","Medium","20-03-2024","Analyst2","68.0","FALSE","","Annual","20-03-2025"
"RISK0072","CUST0072","High","21-03-2024","Analyst3","102.0","TRUE","Sanctioned by UN","Quarterly","21-04-2024"
"RISK0073","CUST0073","Low","22-03-2024","Analyst1","34.0","FALSE","","Annual","22-03-2025"
"RISK0074","CUST0074","Medium","23-03-2024","Analyst2","69.0","FALSE","","Annual","23-03-2025"
"RISK0075","CUST0075","High","24-03-2024","Analyst3","103.0","TRUE","Sanctioned by OFAC","Quarterly","24-04-2024"
"RISK0076","CUST0076","Low","25-03-2024","Analyst1","35.0","FALSE","","Annual","25-03-2025"
"RISK0077","CUST0077","Medium","26-03-2024","Analyst2","70.0","FALSE","","Annual","26-03-2025"
"RISK0078","CUST0078","High","27-03-2024","Analyst3","104.0","TRUE","Sanctioned by EU","Quarterly","27-04-2024"
"RISK0079","CUST0079","Low","28-03-2024","Analyst1","36.0","FALSE","","Annual","28-03-2025"
"RISK0080","CUST0080","Medium","29-03-2024","Analyst2","71.0","FALSE","","Annual","29-03-2025"
"RISK0081","CUST0081","High","30-03-2024","Analyst3","105.0","TRUE","Sanctioned by UN","Quarterly","30-04-2024"
"RISK0082","CUST0082","Low","31-03-2024","Analyst1","37.0","FALSE","","Annual","31-03-2025"
"RISK0083","CUST0083","Medium","01-04-2024","Analyst2","72.0","FALSE","","Annual","01-04-2025"
"RISK0084","CUST0084","High","02-04-2024","Analyst3","106.0","TRUE","Sanctioned by OFAC","Quarterly","02-04-2024"
"RISK0085","CUST0085","Low","03-04-2024","Analyst1","38.0","FALSE","","Annual","03-04-2025"
"RISK0086","CUST0086","Medium","04-04-2024","Analyst2","73.0","FALSE","","Annual","04-04-2025"
"RISK0087","CUST0087","High","05-04-2024","Analyst3","107.0","TRUE","Sanctioned by EU","Quarterly","05-04-2024"
"RISK0088","CUST0088","Low","06-04-2024","Analyst1","39.0","FALSE","","Annual","06-04-2025"
"RISK0089","CUST0089","Medium","07-04-2024","Analyst2","74.0","FALSE","","Annual","07-04-2025"
