"KYCCheckID","FDN_Customer","CheckType","CheckDate","Result","PerformedBy","Notes","IsAutomated","IsPassed","NextCheckDate"
"KYCCHK0001","CUST0001","Identity Verification","10-01-2024","Passed","AutoKYC","","TRUE","TRUE","10-01-2025"
"KYCCHK0002","CUST0002","Sanctions Screening","11-01-2024","Passed","AutoKYC","","TRUE","TRUE","11-01-2025"
"KYCCHK0003","CUST0003","PEP Check","12-01-2024","Passed","AutoKYC","","TRUE","TRUE","12-01-2025"
"KYCCHK0004","CUST0004","Identity Verification","13-01-2024","Passed","AutoKYC","","TRUE","TRUE","13-01-2025"
"KYCCHK0005","CUST0005","Sanctions Screening","14-01-2024","Passed","AutoKYC","","TRUE","TRUE","14-01-2025"
"KYCCHK0006","CUST0006","PEP Check","15-01-2024","Passed","AutoKYC","","TRUE","TRUE","15-01-2025"
"KYCCHK0007","CUST0007","Identity Verification","16-01-2024","Passed","AutoKYC","","TRUE","TRUE","16-01-2025"
"KYCCHK0008","CUST0008","Sanctions Screening","17-01-2024","Passed","AutoKYC","","TRUE","TRUE","17-01-2025"
"KYCCHK0009","CUST0009","PEP Check","18-01-2024","Passed","AutoKYC","","TRUE","TRUE","18-01-2025"
"KYCCHK0010","CUST0010","Identity Verification","19-01-2024","Passed","AutoKYC","","TRUE","TRUE","19-01-2025"
"KYCCHK0011","CUST0011","Sanctions Screening","20-01-2024","Passed","AutoKYC","","TRUE","TRUE","20-01-2025"
"KYCCHK0012","CUST0012","PEP Check","21-01-2024","Passed","AutoKYC","","TRUE","TRUE","21-01-2025"
"KYCCHK0013","CUST0013","Identity Verification","22-01-2024","Passed","AutoKYC","","TRUE","TRUE","22-01-2025"
"KYCCHK0014","CUST0014","Sanctions Screening","23-01-2024","Passed","AutoKYC","","TRUE","TRUE","23-01-2025"
"KYCCHK0015","CUST0015","PEP Check","24-01-2024","Passed","AutoKYC","","TRUE","TRUE","24-01-2025"
"KYCCHK0016","CUST0016","Identity Verification","25-01-2024","Passed","AutoKYC","","TRUE","TRUE","25-01-2025"
"KYCCHK0017","CUST0017","Sanctions Screening","26-01-2024","Passed","AutoKYC","","TRUE","TRUE","26-01-2025"
"KYCCHK0018","CUST0018","PEP Check","27-01-2024","Passed","AutoKYC","","TRUE","TRUE","27-01-2025"
"KYCCHK0019","CUST0019","Identity Verification","28-01-2024","Passed","AutoKYC","","TRUE","TRUE","28-01-2025"
"KYCCHK0020","CUST0020","Sanctions Screening","29-01-2024","Passed","AutoKYC","","TRUE","TRUE","29-01-2025"
"KYCCHK0021","CUST0021","PEP Check","30-01-2024","Passed","AutoKYC","","TRUE","TRUE","30-01-2025"
"KYCCHK0022","CUST0022","Identity Verification","31-01-2024","Passed","AutoKYC","","TRUE","TRUE","31-01-2025"
"KYCCHK0023","CUST0023","Sanctions Screening","01-02-2024","Passed","AutoKYC","","TRUE","TRUE","01-02-2025"
"KYCCHK0024","CUST0024","PEP Check","02-02-2024","Passed","AutoKYC","","TRUE","TRUE","02-02-2025"
"KYCCHK0025","CUST0025","Identity Verification","03-02-2024","Passed","AutoKYC","","TRUE","TRUE","03-02-2025"
"KYCCHK0026","CUST0026","Sanctions Screening","04-02-2024","Passed","AutoKYC","","TRUE","TRUE","04-02-2025"
"KYCCHK0027","CUST0027","PEP Check","05-02-2024","Passed","AutoKYC","","TRUE","TRUE","05-02-2025"
