"RelationshipID","FDN_FromCustomer","FDN_ToCustomer","RelationshipType","StartDate","EndDate","IsActive","Notes"
"REL0001","CUST0001","CUST0061","Director","01-01-2020","","TRUE",""
"REL0002","CUST0002","CUST0062","Shareholder","15-05-2019","","TRUE",""
"REL0003","CUST0003","CUST0063","UBO","10-03-2018","","TRUE",""
"REL0004","CUST0004","CUST0064","Director","20-07-2021","","TRUE",""
"REL0005","CUST0005","CUST0065","Shareholder","11-02-2022","","TRUE",""
"REL0006","CUST0006","CUST0066","UBO","30-09-2020","","TRUE",""
"REL0007","CUST0007","CUST0067","Director","05-12-2017","","TRUE",""
"REL0008","CUST0008","CUST0068","Shareholder","18-06-2016","","TRUE",""
"REL0009","CUST0009","CUST0069","UBO","23-11-2015","","TRUE",""
"REL0010","CUST0010","CUST0070","Director","14-04-2019","","TRUE",""
"REL0011","CUST0011","CUST0071","Shareholder","29-08-2020","","TRUE",""
"REL0012","CUST0012","CUST0072","UBO","17-01-2021","","TRUE",""
"REL0013","CUST0013","CUST0073","Director","09-10-2018","","TRUE",""
"REL0014","CUST0014","CUST0074","Shareholder","22-03-2017","","TRUE",""
"REL0015","CUST0015","CUST0075","UBO","13-08-2016","","TRUE",""
"REL0016","CUST0016","CUST0076","Director","27-02-2015","","TRUE",""
"REL0017","CUST0017","CUST0077","Shareholder","16-07-2014","","TRUE",""
"REL0018","CUST0018","CUST0078","UBO","01-12-2013","","TRUE",""
"REL0019","CUST0019","CUST0079","Director","19-05-2012","","TRUE",""
"REL0020","CUST0020","CUST0080","Shareholder","04-10-2011","","TRUE",""
"REL0021","CUST0021","CUST0081","UBO","28-03-2010","","TRUE",""
"REL0022","CUST0022","CUST0082","Director","15-08-2009","","TRUE",""
"REL0023","CUST0023","CUST0083","Shareholder","30-01-2008","","TRUE",""
"REL0024","CUST0024","CUST0084","UBO","21-06-2007","","TRUE",""
"REL0025","CUST0025","CUST0085","Director","12-11-2006","","TRUE",""
"REL0026","CUST0026","CUST0086","Shareholder","27-04-2005","","TRUE",""
"REL0027","CUST0027","CUST0087","UBO","13-09-2004","","TRUE",""
"REL0028","CUST0028","CUST0088","Director","06-02-2003","","TRUE",""
"REL0029","CUST0029","CUST0089","Shareholder","25-07-2002","","TRUE",""
"REL0030","CUST0030","CUST0090","UBO","10-12-2001","","TRUE",""
"REL0031","CUST0031","CUST0091","Director","03-05-2000","","TRUE",""
"REL0032","CUST0032","CUST0092","Shareholder","18-10-1999","","TRUE",""
"REL0033","CUST0033","CUST0093","UBO","09-03-1998","","TRUE",""
"REL0034","CUST0034","CUST0094","Director","24-08-1997","","TRUE",""
"REL0035","CUST0035","CUST0095","Shareholder","15-01-1996","","TRUE",""
"REL0036","CUST0036","CUST0096","UBO","06-06-1995","","TRUE",""
"REL0037","CUST0037","CUST0097","Director","21-11-1994","","TRUE",""
"REL0038","CUST0038","CUST0098","Shareholder","14-04-1993","","TRUE",""
"REL0039","CUST0039","CUST0099","UBO","29-09-1992","","TRUE",""
"REL0040","CUST0040","CUST0100","Director","12-02-1991","","TRUE",""
"REL0041","CUST0001","CUST0061","Shareholder","01-03-2021","","TRUE",""
"REL0042","CUST0003","CUST0061","UBO","10-05-2022","","TRUE",""
"REL0043","CUST0002","CUST0062","Director","15-08-2020","","TRUE",""
