"BankingContractID","ContractName","StartDate","EndDate","Status","Amount","Currency","FDN_Customer","FDN_Product","Notes"
"BCON0001","Personal Checking","15-01-2020","15-01-2025","Active","10000.0","USD","CUST0001",,""
"BCON0002","Personal Savings","10-06-2021","10-06-2026","Active","5000.0","USD","CUST0001",,""
"BCON0003","Business Account","10-03-2021","10-03-2026","Active","50000.0","USD","CUST0002",,""
"BCON0004","Corporate Loan","20-05-2022","20-05-2027","Active","200000.0","USD","CUST0002",,""
"BCON0005","Personal Checking","01-07-2019","01-07-2024","Closed","15000.0","CAD","CUST0003",,""
"BCON0006","Personal Savings","12-09-2020","12-09-2025","Active","3000.0","GBP","CUST0003",,""
"BCON0007","Business Account","25-11-2021","25-11-2026","Active","25000.0","AUD","CUST0004",,""
"BCON0008","Corporate Loan","18-02-2022","18-02-2027","Active","120000.0","CAD","CUST0004",,""
"BCON0009","Personal Checking","30-04-2018","30-04-2023","Closed","4000.0","USD","CUST0005",,""
"BCON0010","Personal Savings","14-06-2020","14-06-2025","Active","1800.0","GBP","CUST0005",,""
"BCON0011","Business Account","22-08-2021","22-08-2026","Active","11000.0","USD","CUST0006",,""
"BCON0012","Corporate Loan","05-10-2019","05-10-2024","Closed","35000.0","CAD","CUST0006",,""
"BCON0013","Personal Checking","17-12-2020","17-12-2025","Active","2200.0","GBP","CUST0007",,""
"BCON0014","Personal Savings","29-03-2022","29-03-2027","Active","13000.0","AUD","CUST0007",,""
"BCON0015","Business Account","11-05-2018","11-05-2023","Closed","45000.0","USD","CUST0008",,""
"BCON0016","Corporate Loan","23-07-2021","23-07-2026","Active","21000.0","CAD","CUST0008",,""
"BCON0017","Personal Checking","15-09-2019","15-09-2024","Closed","14000.0","GBP","CUST0009",,""
"BCON0018","Personal Savings","28-11-2020","28-11-2025","Active","3200.0","AUD","CUST0009",,""
"BCON0019","Business Account","10-02-2021","10-02-2026","Active","23000.0","CAD","CUST0010",,""
"BCON0020","Corporate Loan","23-04-2022","23-04-2027","Active","125000.0","AUD","CUST0010",,""
"BCON0021","Personal Checking","06-06-2018","06-06-2023","Closed","47000.0","USD","CUST0011",,""
"BCON0022","Personal Savings","19-08-2020","19-08-2025","Active","1950.0","USD","CUST0011",,""
"BCON0023","Business Account","02-10-2021","02-10-2026","Active","11500.0","GBP","CUST0012",,""
"BCON0024","Corporate Loan","15-12-2019","15-12-2024","Closed","36000.0","GBP","CUST0012",,""
"BCON0025","Personal Checking","27-02-2020","27-02-2025","Active","2250.0","CAD","CUST0013",,""
"BCON0026","Personal Savings","12-05-2022","12-05-2027","Active","13500.0","CAD","CUST0013",,""
"BCON0027","Business Account","25-07-2018","25-07-2023","Closed","48000.0","AUD","CUST0014",,""
"BCON0028","Corporate Loan","07-09-2020","07-09-2025","Active","21500.0","USD","CUST0014",,""
"BCON0029","Personal Checking","20-11-2021","20-11-2026","Active","14500.0","GBP","CUST0015",,""
"BCON0030","Personal Savings","03-01-2019","03-01-2024","Closed","37000.0","GBP","CUST0015",,""
"BCON0031","Business Account","16-03-2020","16-03-2025","Active","24000.0","USD","CUST0016",,""
"BCON0032","Corporate Loan","29-06-2022","29-06-2027","Active","155000.0","CAD","CUST0016",,""
"BCON0033","Personal Checking","11-08-2018","11-08-2023","Closed","49000.0","GBP","CUST0017",,""
"BCON0034","Personal Savings","24-10-2020","24-10-2025","Active","20500.0","AUD","CUST0017",,""
"BCON0035","Business Account","06-01-2021","06-01-2026","Active","16500.0","USD","CUST0018",,""
"BCON0036","Corporate Loan","19-03-2019","19-03-2024","Closed","38000.0","CAD","CUST0018",,""
"BCON0037","Personal Checking","01-05-2020","01-05-2025","Active","2500.0","GBP","CUST0019",,""
"BCON0038","Personal Savings","14-08-2022","14-08-2027","Active","17500.0","AUD","CUST0019",,""
"BCON0039","Business Account","27-09-2018","27-09-2023","Closed","50000.0","USD","CUST0020",,""
"BCON0040","Corporate Loan","10-12-2020","10-12-2025","Active","22000.0","GBP","CUST0020",,""
"BCON0041","Personal Checking","23-02-2021","23-02-2026","Active","18500.0","USD","CUST0021",,""
"BCON0042","Personal Savings","06-05-2019","06-05-2024","Closed","39000.0","CAD","CUST0021",,""
"BCON0043","Business Account","19-07-2020","19-07-2025","Active","25500.0","GBP","CUST0022",,""
"BCON0044","Corporate Loan","01-09-2022","01-09-2027","Active","195000.0","AUD","CUST0022",,""
"BCON0045","Personal Checking","14-10-2018","14-10-2023","Closed","51000.0","USD","CUST0023",,""
"BCON0046","Personal Savings","27-01-2020","27-01-2025","Active","23000.0","CAD","CUST0023",,""
"BCON0047","Business Account","12-03-2021","12-03-2026","Active","20500.0","GBP","CUST0024",,""
"BCON0048","Corporate Loan","25-06-2019","25-06-2024","Closed","40000.0","GBP","CUST0024",,""
"BCON0049","Personal Checking","08-08-2020","08-08-2025","Active","26000.0","USD","CUST0025",,""
"BCON0050","Personal Savings","21-10-2022","21-10-2027","Active","21500.0","USD","CUST0025",,""
"BCON0051","Business Account","03-11-2018","03-11-2023","Closed","52000.0","CAD","CUST0026",,""
"BCON0052","Corporate Loan","16-02-2020","16-02-2025","Active","23500.0","GBP","CUST0026",,""
"BCON0053","Personal Checking","29-04-2021","29-04-2026","Active","22500.0","AUD","CUST0027",,""
"BCON0054","Personal Savings","12-07-2019","12-07-2024","Closed","41000.0","USD","CUST0027",,""
"BCON0055","Business Account","25-09-2020","25-09-2025","Active","27000.0","GBP","CUST0028",,""
"BCON0056","Corporate Loan","06-11-2022","06-11-2027","Active","235000.0","CAD","CUST0028",,""
"BCON0057","Personal Checking","19-12-2018","19-12-2023","Closed","53000.0","GBP","CUST0029",,""
"BCON0058","Personal Savings","04-03-2020","04-03-2025","Active","24500.0","AUD","CUST0029",,""
"BCON0059","Business Account","17-05-2021","17-05-2026","Active","24500.0","USD","CUST0030",,""
"BCON0060","Corporate Loan","30-08-2019","30-08-2024","Closed","42000.0","CAD","CUST0030",,""
"BCON0061","Personal Checking","12-06-2020","12-06-2025","Active","28000.0","GBP","CUST0031",,""
"BCON0062","Personal Savings","23-12-2022","23-12-2027","Active","25500.0","AUD","CUST0031",,""
"BCON0063","Business Account","15-01-2018","15-01-2023","Closed","54000.0","USD","CUST0032",,""
"BCON0064","Corporate Loan","28-08-2020","28-08-2025","Active","25000.0","GBP","CUST0032",,""
"BCON0065","Personal Checking","10-06-2021","10-06-2026","Active","26500.0","USD","CUST0033",,""
"BCON0066","Personal Savings","23-09-2019","23-09-2024","Closed","43000.0","CAD","CUST0033",,""
"BCON0067","Business Account","05-11-2020","05-11-2025","Active","29000.0","GBP","CUST0034",,""
"BCON0068","Corporate Loan","02-01-2023","02-01-2028","Active","275000.0","AUD","CUST0034",,""
"BCON0069","Personal Checking","18-02-2018","18-02-2023","Closed","55000.0","USD","CUST0035",,""
"BCON0070","Personal Savings","13-04-2020","13-04-2025","Active","26000.0","GBP","CUST0035",,""
"BCON0071","Business Account","27-07-2021","27-07-2026","Active","28500.0","USD","CUST0036",,""
"BCON0072","Corporate Loan","10-10-2019","10-10-2024","Closed","44000.0","CAD","CUST0036",,""
"BCON0073","Personal Checking","22-12-2020","22-12-2025","Active","30000.0","GBP","CUST0037",,""
"BCON0074","Personal Savings","14-02-2023","14-02-2028","Active","29500.0","AUD","CUST0037",,""
"BCON0075","Business Account","29-03-2018","29-03-2023","Closed","56000.0","USD","CUST0038",,""
"BCON0076","Corporate Loan","16-05-2020","16-05-2025","Active","27000.0","CAD","CUST0038",,""
"BCON0077","Personal Checking","31-08-2021","31-08-2026","Active","30500.0","GBP","CUST0039",,""
"BCON0078","Personal Savings","13-11-2019","13-11-2024","Closed","45000.0","GBP","CUST0039",,""
"BCON0079","Business Account","01-09-2020","01-09-2025","Active","31000.0","USD","CUST0040",,""
"BCON0080","Corporate Loan","06-03-2022","06-03-2027","Active","315000.0","USD","CUST0040",,""
"BCON0081","Personal Checking","14-04-2018","14-04-2023","Closed","57000.0","CAD","CUST0041",,""
"BCON0082","Personal Savings","27-06-2020","27-06-2025","Active","27500.0","GBP","CUST0041",,""
"BCON0083","Business Account","19-09-2021","19-09-2026","Active","32500.0","AUD","CUST0042",,""
"BCON0084","Corporate Loan","02-12-2019","02-12-2024","Closed","46000.0","USD","CUST0042",,""
"BCON0085","Personal Checking","14-08-2020","14-08-2025","Active","32000.0","GBP","CUST0043",,""
"BCON0086","Personal Savings","25-04-2022","25-04-2027","Active","33500.0","CAD","CUST0043",,""
"BCON0087","Business Account","08-05-2018","08-05-2023","Closed","58000.0","GBP","CUST0044",,""
"BCON0088","Corporate Loan","21-11-2020","21-11-2025","Active","28500.0","AUD","CUST0044",,""
"BCON0089","Personal Checking","04-12-2021","04-12-2026","Active","34500.0","USD","CUST0045",,""
"BCON0090","Personal Savings","17-02-2019","17-02-2024","Closed","47000.0","CAD","CUST0045",,""
"BCON0091","Business Account","31-03-2020","31-03-2025","Active","33000.0","GBP","CUST0046",,""
"BCON0092","Corporate Loan","18-05-2022","18-05-2027","Active","355000.0","AUD","CUST0046",,""
"BCON0093","Personal Checking","23-06-2018","23-06-2023","Closed","59000.0","USD","CUST0047",,""
"BCON0094","Personal Savings","16-09-2020","16-09-2025","Active","29500.0","GBP","CUST0047",,""
"BCON0095","Business Account","30-01-2021","30-01-2026","Active","36500.0","USD","CUST0048",,""
"BCON0096","Corporate Loan","14-04-2019","14-04-2024","Closed","48000.0","CAD","CUST0048",,""
"BCON0097","Personal Checking","01-07-2020","01-07-2025","Active","34000.0","GBP","CUST0049",,""
"BCON0098","Personal Savings","13-06-2022","13-06-2027","Active","37500.0","AUD","CUST0049",,""
"BCON0099","Business Account","26-08-2018","26-08-2023","Closed","60000.0","USD","CUST0050",,""
"BCON0100","Corporate Loan","09-10-2020","09-10-2025","Active","30500.0","GBP","CUST0050",,""
"BCON0101","Credit Card","15-03-2021","15-03-2026","Active","12000.0","USD","CUST0001",,""
