ContractRoleID,FDN_Contract,FDN_Customer,Role,StartDate,EndDate,IsActive,Notes
BROLE0001,BCON0001,CUST0001,Account Holder,15-01-2020,15-01-2025,TRUE,
BROLE0002,BCON0001,CUST0002,Joint Holder,15-01-2020,15-01-2025,TRUE,
BROLE0003,BCON0001,CUST0003,Power of Attorney,15-01-2020,15-01-2025,TRUE,
BROLE0004,BCON0002,CUST0001,Account Holder,10/6/2021,10/6/2026,TRUE,
BROLE0005,BCON0002,CUST0004,Joint Holder,10/6/2021,10/6/2026,TRUE,
BROLE0006,BCON0002,CUST0005,Power of Attorney,10/6/2021,10/6/2026,TRUE,
BROLE0007,BCON0003,CUST0002,Account Holder,10/3/2021,10/3/2026,TRUE,
BROLE0008,BCON0003,CUST0006,Joint Holder,10/3/2021,10/3/2026,TRUE,
BROLE0009,BCON0003,CUST0007,Power of Attorney,10/3/2021,10/3/2026,TRUE,
BROLE0010,BCON0004,CUST0002,Account Holder,20-05-2022,20-05-2027,TRUE,
BROLE0011,BCON0004,CUST0008,Joint Holder,20-05-2022,20-05-2027,TRUE,
BROLE0012,BCON0004,CUST0009,Power of Attorney,20-05-2022,20-05-2027,TRUE,
BROLE0013,BCON0005,CUST0003,Account Holder,1/7/2019,1/7/2024,TRUE,
BROLE0014,BCON0005,CUST0010,Joint Holder,1/7/2019,1/7/2024,TRUE,
BROLE0015,BCON0005,CUST0011,Power of Attorney,1/7/2019,1/7/2024,TRUE,
BROLE0016,BCON0006,CUST0003,Account Holder,12/9/2020,12/9/2025,TRUE,
BROLE0017,BCON0006,CUST0012,Joint Holder,12/9/2020,12/9/2025,TRUE,
BROLE0018,BCON0006,CUST0013,Power of Attorney,12/9/2020,12/9/2025,TRUE,
BROLE0019,BCON0007,CUST0004,Account Holder,25-11-2021,25-11-2026,TRUE,
BROLE0020,BCON0007,CUST0014,Joint Holder,25-11-2021,25-11-2026,TRUE,
BROLE0021,BCON0007,CUST0015,Power of Attorney,25-11-2021,25-11-2026,TRUE,
BROLE0022,BCON0008,CUST0004,Account Holder,18-02-2022,18-02-2027,TRUE,
BROLE0023,BCON0008,CUST0016,Joint Holder,18-02-2022,18-02-2027,TRUE,
BROLE0024,BCON0008,CUST0017,Power of Attorney,18-02-2022,18-02-2027,TRUE,
BROLE0025,BCON0009,CUST0005,Account Holder,30-04-2018,30-04-2023,TRUE,
BROLE0026,BCON0009,CUST0018,Joint Holder,30-04-2018,30-04-2023,TRUE,
BROLE0027,BCON0009,CUST0019,Power of Attorney,30-04-2018,30-04-2023,TRUE,
BROLE0028,BCON0010,CUST0005,Account Holder,14-06-2020,14-06-2025,TRUE,
BROLE0029,BCON0010,CUST0020,Joint Holder,14-06-2020,14-06-2025,TRUE,
BROLE0030,BCON0010,CUST0021,Power of Attorney,14-06-2020,14-06-2025,TRUE,
BROLE0031,BCON0011,CUST0006,Account Holder,22-08-2021,22-08-2026,TRUE,
BROLE0032,BCON0011,CUST0022,Joint Holder,22-08-2021,22-08-2026,TRUE,
BROLE0033,BCON0011,CUST0023,Power of Attorney,22-08-2021,22-08-2026,TRUE,
BROLE0034,BCON0012,CUST0006,Account Holder,5/10/2019,5/10/2024,TRUE,
BROLE0035,BCON0012,CUST0024,Joint Holder,5/10/2019,5/10/2024,TRUE,
BROLE0036,BCON0012,CUST0025,Power of Attorney,5/10/2019,5/10/2024,TRUE,
BROLE0037,BCON0013,CUST0007,Account Holder,17-12-2020,17-12-2025,TRUE,
BROLE0038,BCON0013,CUST0026,Joint Holder,17-12-2020,17-12-2025,TRUE,
BROLE0039,BCON0013,CUST0027,Power of Attorney,17-12-2020,17-12-2025,TRUE,
BROLE0040,BCON0014,CUST0007,Account Holder,29-03-2022,29-03-2027,TRUE,
BROLE0041,BCON0014,CUST0028,Joint Holder,29-03-2022,29-03-2027,TRUE,
BROLE0042,BCON0014,CUST0029,Power of Attorney,29-03-2022,29-03-2027,TRUE,
BROLE0043,BCON0015,CUST0008,Account Holder,11/5/2018,11/5/2023,TRUE,
BROLE0044,BCON0015,CUST0030,Joint Holder,11/5/2018,11/5/2023,TRUE,
BROLE0045,BCON0015,CUST0031,Power of Attorney,11/5/2018,11/5/2023,TRUE,
BROLE0046,BCON0016,CUST0008,Account Holder,23-07-2021,23-07-2026,TRUE,
BROLE0047,BCON0016,CUST0032,Joint Holder,23-07-2021,23-07-2026,TRUE,
BROLE0048,BCON0016,CUST0033,Power of Attorney,23-07-2021,23-07-2026,TRUE,
BROLE0049,BCON0017,CUST0009,Account Holder,15-09-2019,15-09-2024,TRUE,
BROLE0050,BCON0017,CUST0034,Joint Holder,15-09-2019,15-09-2024,TRUE,
BROLE0051,BCON0017,CUST0035,Power of Attorney,15-09-2019,15-09-2024,TRUE,
BROLE0052,BCON0018,CUST0009,Account Holder,28-11-2020,28-11-2025,TRUE,
BROLE0053,BCON0018,CUST0036,Joint Holder,28-11-2020,28-11-2025,TRUE,
BROLE0054,BCON0018,CUST0037,Power of Attorney,28-11-2020,28-11-2025,TRUE,
BROLE0055,BCON0019,CUST0010,Account Holder,10/2/2021,10/2/2026,TRUE,
BROLE0056,BCON0019,CUST0038,Joint Holder,10/2/2021,10/2/2026,TRUE,
BROLE0057,BCON0019,CUST0039,Power of Attorney,10/2/2021,10/2/2026,TRUE,
BROLE0058,BCON0020,CUST0010,Account Holder,23-04-2022,23-04-2027,TRUE,
BROLE0059,BCON0020,CUST0040,Joint Holder,23-04-2022,23-04-2027,TRUE,
BROLE0060,BCON0020,CUST0041,Power of Attorney,23-04-2022,23-04-2027,TRUE,
BROLE0061,BCON0021,CUST0011,Account Holder,6/6/2018,6/6/2023,TRUE,
BROLE0062,BCON0021,CUST0042,Joint Holder,6/6/2018,6/6/2023,TRUE,
BROLE0063,BCON0021,CUST0043,Beneficiary,6/6/2018,6/6/2023,TRUE,
BROLE0064,BCON0022,CUST0011,Account Holder,19-08-2020,19-08-2025,TRUE,
BROLE0065,BCON0022,CUST0044,Joint Holder,19-08-2020,19-08-2025,TRUE,
BROLE0066,BCON0022,CUST0045,Power of Attorney,19-08-2020,19-08-2025,TRUE,
BROLE0067,BCON0023,CUST0012,Account Holder,2/10/2021,2/10/2026,TRUE,
BROLE0068,BCON0023,CUST0046,Joint Holder,2/10/2021,2/10/2026,TRUE,
BROLE0069,BCON0023,CUST0047,Beneficiary,2/10/2021,2/10/2026,TRUE,
BROLE0070,BCON0024,CUST0012,Account Holder,15-12-2019,15-12-2024,TRUE,
BROLE0071,BCON0024,CUST0048,Joint Holder,15-12-2019,15-12-2024,TRUE,
BROLE0072,BCON0024,CUST0049,Power of Attorney,15-12-2019,15-12-2024,TRUE,
BROLE0073,BCON0025,CUST0013,Account Holder,27-02-2020,27-02-2025,TRUE,
BROLE0074,BCON0025,CUST0050,Joint Holder,27-02-2020,27-02-2025,TRUE,
BROLE0075,BCON0025,CUST0051,Beneficiary,27-02-2020,27-02-2025,TRUE,
BROLE0076,BCON0026,CUST0013,Account Holder,12/5/2022,12/5/2027,TRUE,
BROLE0077,BCON0026,CUST0052,Joint Holder,12/5/2022,12/5/2027,TRUE,
BROLE0078,BCON0026,CUST0053,Power of Attorney,12/5/2022,12/5/2027,TRUE,
BROLE0079,BCON0027,CUST0014,Account Holder,25-07-2018,25-07-2023,TRUE,
BROLE0080,BCON0027,CUST0054,Joint Holder,25-07-2018,25-07-2023,TRUE,
BROLE0081,BCON0027,CUST0055,Beneficiary,25-07-2018,25-07-2023,TRUE,
BROLE0082,BCON0028,CUST0014,Account Holder,7/9/2020,7/9/2025,TRUE,
BROLE0083,BCON0028,CUST0056,Joint Holder,7/9/2020,7/9/2025,TRUE,
BROLE0084,BCON0028,CUST0057,Power of Attorney,7/9/2020,7/9/2025,TRUE,
BROLE0085,BCON0029,CUST0015,Account Holder,20-11-2021,20-11-2026,TRUE,
BROLE0086,BCON0029,CUST0058,Joint Holder,20-11-2021,20-11-2026,TRUE,
BROLE0087,BCON0029,CUST0059,Beneficiary,20-11-2021,20-11-2026,TRUE,
BROLE0088,BCON0030,CUST0015,Account Holder,3/1/2019,3/1/2024,TRUE,
BROLE0089,BCON0030,CUST0060,Joint Holder,3/1/2019,3/1/2024,TRUE,
BROLE0090,BCON0030,CUST0061,Power of Attorney,3/1/2019,3/1/2024,TRUE,
BROLE0091,BCON0031,CUST0016,Account Holder,16-03-2020,16-03-2025,TRUE,
BROLE0092,BCON0031,CUST0062,Joint Holder,16-03-2020,16-03-2025,TRUE,
BROLE0093,BCON0031,CUST0063,Beneficiary,16-03-2020,16-03-2025,TRUE,
BROLE0094,BCON0032,CUST0016,Account Holder,29-06-2022,29-06-2027,TRUE,
BROLE0095,BCON0032,CUST0064,Joint Holder,29-06-2022,29-06-2027,TRUE,
BROLE0096,BCON0032,CUST0065,Power of Attorney,29-06-2022,29-06-2027,TRUE,
BROLE0097,BCON0033,CUST0017,Account Holder,11/8/2018,11/8/2023,TRUE,
BROLE0098,BCON0033,CUST0066,Joint Holder,11/8/2018,11/8/2023,TRUE,
BROLE0099,BCON0033,CUST0067,Beneficiary,11/8/2018,11/8/2023,TRUE,
BROLE0100,BCON0034,CUST0017,Account Holder,24-10-2020,24-10-2025,TRUE,
BROLE0101,BCON0034,CUST0068,Joint Holder,24-10-2020,24-10-2025,TRUE,
BROLE0102,BCON0034,CUST0069,Power of Attorney,24-10-2020,24-10-2025,TRUE,
BROLE0103,BCON0035,CUST0018,Account Holder,6/1/2021,6/1/2026,TRUE,
BROLE0104,BCON0035,CUST0070,Joint Holder,6/1/2021,6/1/2026,TRUE,
BROLE0105,BCON0035,CUST0071,Beneficiary,6/1/2021,6/1/2026,TRUE,
BROLE0106,BCON0036,CUST0018,Account Holder,19-03-2019,19-03-2024,TRUE,
BROLE0107,BCON0036,CUST0072,Joint Holder,19-03-2019,19-03-2024,TRUE,
BROLE0108,BCON0036,CUST0073,Power of Attorney,19-03-2019,19-03-2024,TRUE,
BROLE0109,BCON0037,CUST0019,Account Holder,1/5/2020,1/5/2025,TRUE,
BROLE0110,BCON0037,CUST0074,Joint Holder,1/5/2020,1/5/2025,TRUE,
BROLE0111,BCON0037,CUST0075,Beneficiary,1/5/2020,1/5/2025,TRUE,
BROLE0112,BCON0038,CUST0019,Account Holder,14-08-2022,14-08-2027,TRUE,
BROLE0113,BCON0038,CUST0076,Joint Holder,14-08-2022,14-08-2027,TRUE,
BROLE0114,BCON0038,CUST0077,Power of Attorney,14-08-2022,14-08-2027,TRUE,
BROLE0115,BCON0039,CUST0020,Account Holder,27-09-2018,27-09-2023,TRUE,
BROLE0116,BCON0039,CUST0078,Joint Holder,27-09-2018,27-09-2023,TRUE,
BROLE0117,BCON0039,CUST0079,Beneficiary,27-09-2018,27-09-2023,TRUE,
BROLE0118,BCON0040,CUST0020,Account Holder,10/12/2020,10/12/2025,TRUE,
