Publisher ID,Source ID,Hospital Name,Hospital Name Normalized,Hospital CCN,Hospital ID,Street,City,State,Zip,Country
ENC,1001,Ochsner Clinic Foundation,OCHSNER CLINIC FOUNDATION,190036,880,10425 W NORTH AVE,MILWAUKEE,WI,532262416,US
ENC,1002,Christiana Care Health Services Inc,CHRISTIANA CARE HEALTH SERVICES,80001,636,351 PASEO NUEVO FL 2,SANTA BARBARA,CA,931013382,US
ENC,1003,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,390111,237,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
ENC,1004,University Of Kansas Hospital Authority,UNIVERSITY OF KANSAS HOSPITAL AUTHORITY,170040,633,410 N MAIN ST,RUSSELL,KS,676652759,US
ENC,1005,Scott & White Memorial Hospital,SCOTT AND WHITE MEMORIAL HOSPITAL,450054,917,116 S STERLING ST STE 205,MORGANTON,NC,286553445,US
ENC,1006,SENTARA HOSPITALS,SENTARA HOSPITALS,490057,687,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
ENC,1007,Regents Of The University Of Michigan,REGENTS OF THE UNIVERSITY OF MICHIGAN,230046,528,6 PARKLANE BLVD STE 525,DEARBORN,MI,481264210,US
ENC,1008,Metrohealth System,METROHEALTH SYSTEM,360059,395,800 SCENIC DR,MODESTO,CA,953506131,US
ENC,1009,Rector & Visitors Of The University Of Virginia,RECTOR AND VISITORS OF THE UNIVERSITY OF VIRGINIA,490009,692,PO BOX 776,SOUTH BOSTON,VA,245920776,US
ENC,1010,THE GENERAL HOSPITAL CORPORATION,THE GENERAL HOSPITAL,220071,23,80 COTTONTAIL LN STE 330,SOMERSET,NJ,88731100,US
ENC,1011,University Of Kentucky,UNIVERSITY OF KENTUCKY,180067,795,PO BOX 41,MC DOWELL,KY,416470041,US
ENC,1012,"Steward St. Elizabeth'S Medical Center Of Boston, Inc.",STEWARD ST ELIZABETHS MEDICAL CENTER OF BOSTON,220036,311,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
ENC,1013,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,390111,237,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
ENC,1014,Ochsner Clinic Foundation,OCHSNER CLINIC FOUNDATION,190036,880,10425 W NORTH AVE,MILWAUKEE,WI,532262416,US
ENC,1015,SENTARA HOSPITALS,SENTARA HOSPITALS,490057,687,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
ENC,1016,"Main Line Hospitals, Inc.",MAIN LINE HOSPITALS,390195,228,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
ENC,1017,The General Hospital Corporation,THE GENERAL HOSPITAL,220071,23,80 COTTONTAIL LN STE 330,SOMERSET,NJ,88731100,US
ENC,1018,Alegent Health Bergan Mercy Health System,ALEGENT HEALTH BERGAN MERCY HEALTH SYSTEM,280060,627,7500 MERCY RD,OMAHA,NE,681242319,US
ENC,1019,Borgess Medical Center,BORGESS MEDICAL CENTER,230117,494,PO BOX 1058,GROVE CITY,PA,161275058,US
ENC,1020,FAIRVIEW HEALTH SERVICES,FAIRVIEW HEALTH SERVICES,240080,562,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
ENC,1021,"Mount Sinai Medical Center Of Florida, Inc",MOUNT SINAI MEDICAL CENTER OF FLORIDA,100034,746,1285 FLAMINGO DR,LANTANA,FL,334621507,US
ENC,1022,#N/A," N A",#N/A,#N/A,1917 FRANKLIN RD SW,ROANOKE,VA,240141103,US
ENC,1023,University Of Kentucky,UNIVERSITY OF KENTUCKY,180067,795,PO BOX 41,MC DOWELL,KY,416470041,US
