id,order_number,short_description,long_description,formatted_icd10_code,FDN_parenticd10
R05,,Cough,Cough,R05,
A66,,Yaws,Yaws,A66,
A22,,Anthrax,Anthrax,A22,
A26,,Erysipeloid,Erysipeloid,A26,
B46,,Zygomycosis,Zygomycosis,B46,
L55,,Sunburn,Sunburn,L55,
K26,,Duodenal ulcer,Duodenal ulcer,K26,
L660,,Pseudopelade,Pseudopelade,L66.0,L66
E2601,,Conn's syndrome,Conn's syndrome,E26.01,E260
E7204,,Cystinosis,Cystinosis,E72.04,E720
F200,,Paranoid schizophrenia,Paranoid schizophrenia,F20.0,F20
F40241,,Acrophobia,Acrophobia,F40.241,F4024
G310,,Frontotemporal dementia,Frontotemporal dementia,G31.0,G31
G911,,Obstructive hydrocephalus,Obstructive hydrocephalus,G91.1,G91
H112,,Conjunctival scars,Conjunctival scars,H11.2,H11
H15,,Disorders of sclera,Disorders of sclera,H15,
H3311,,Cyst of ora serrata,Cyst of ora serrata,H33.11,H331
H521,,Myopia,Myopia,H52.1,H52
H60,,Otitis externa,Otitis externa,H60,
H931,,Tinnitus,Tinnitus,H93.1,H93
I4469,,Other fascicular block,Other fascicular block,I44.69,I446
L22,,Diaper dermatitis,Diaper dermatitis,L22,
L431,,Bullous lichen planus,Bullous lichen planus,L43.1,L43
M109,,"Gout, unspecified","Gout, unspecified",M10.9,M10
M2576,,"Osteophyte, knee","Osteophyte, knee",M25.76,M257
M10,,Gout,Gout,M10,
M125,,Traumatic arthropathy,Traumatic arthropathy,M12.5,M12
M240,,Loose body in joint,Loose body in joint,M24.0,M24
M250,,Hemarthrosis,Hemarthrosis,M25.0,M25
M27,,Other diseases of jaws,Other diseases of jaws,M27,
M674,,Ganglion,Ganglion,M67.4,M67
M6282,,Rhabdomyolysis,Rhabdomyolysis,M62.82,M628
M6531,,Trigger thumb,Trigger thumb,M65.31,M653
M7963,,Pain in forearm,Pain in forearm,M79.63,M796
M83,,Adult osteomalacia,Adult osteomalacia,M83,
N134,,Hydroureter,Hydroureter,N13.4,N13
M932,,Osteochondritis dissecans,Osteochondritis dissecans,M93.2,M93
M943,,Chondrolysis,Chondrolysis,M94.3,M94
N00,,Acute nephritic syndrome,Acute nephritic syndrome,N00,
N2883,,Nephroptosis,Nephroptosis,N28.83,N288
Q112,,Microphthalmos,Microphthalmos,Q11.2,Q11
Q6582,,Congenital coxa vara,Congenital coxa vara,Q65.82,Q658
Q716,,Lobster-claw hand,Lobster-claw hand,Q71.6,Q71
R060,,Dyspnea,Dyspnea,R06.0,R06
