id,description,raw_icd9_code,is_industry_std,fdn_parenticd9
001-009,INTESTINAL INFECTIOUS DISEASES,001-009,,001-139
001-139,INFECTIOUS AND PARASITIC DISEASES,001-139,,
010-018,TUBERCULOSIS,010-018,false,001-139
020-027,ZOONOTIC BACTERIAL DISEASES,020-027,,001-139
030-041,OTHER BACTERIAL DISEASES,030-041,,001-139
050-059,VIRAL DISEASES ACCOMPANIED BY EXANTHEM,050-059,,001-139
070-079,OTHER DISEASES DUE TO VIRUSES AND CHLAMYDIAE,070-079,,001-139
090-099,SYPHILIS AND OTHER VENEREAL DISEASES,090-099,,001-139
1,Cholera,1,,001-009
1.1,Due to Vibrio cholerae el tor,1.1,,1
1.9,"Cholera, unspecified",1.9,,1
10,Primary tuberculous infection,10,,010-018
10.1,Tuberculous pleurisy in primary progressive tuberculosis,10.1,,10
10.8,Other primary progressive tuberculosis,10.8,,10
10.9,"Primary tuberculous infection, unspecified",10.9,,10
100,Leptospirosis,100,,100-104
100-104,OTHER SPIROCHETAL DISEASES,100-104,,001-139
100.8,Other specified leptospiral infections,100.8,,100
100.81,Leptospiral meningitis (aseptic),100.81,,100.8
100.89,Other,100.89,,100.8
100.9,"Leptospirosis, unspecified",100.9,,100
101,Vincent's angina,101,,100-104
102,Yaws,102,,100-104
102.1,Multiple papillomata and wet crab yaws,102.1,,102
102.2,Other early skin lesions,102.2,,102
102.3,Hyperkeratosis,102.3,,102
102.4,Gummata and ulcers,102.4,,102
102.5,Gangosa,102.5,,102
102.6,Bone and joint lesions,102.6,,102
102.7,Other manifestations,102.7,,102
102.8,Latent yaws,102.8,,102
102.9,"Yaws, unspecified",102.9,,102
103,Pinta,103,,100-104
103.1,Intermediate lesions,103.1,,103
103.2,Late lesions,103.2,,103
103.3,Mixed lesions,103.3,,103
103.9,"Pinta, unspecified",103.9,,103
104,Other spirochetal infection,104,,100-104
104.8,Other specified spirochetal infections,104.8,,104
104.9,"Spirochetal infection, unspecified",104.9,,104
11,Pulmonary tuberculosis,11,,010-018
11.1,"Tuberculosis of lung, nodular",11.1,,11
11.2,Tuberculosis of lung with cavitation,11.2,,11
11.3,Tuberculosis of bronchus,11.3,,11
11.4,Tuberculous fibrosis of lung,11.4,,11
11.5,Tuberculous bronchiectasis,11.5,,11
11.6,Tuberculous pneumonia [any form],11.6,,11
11.7,Tuberculous pneumothorax,11.7,,11
11.8,Other specified pulmonary tuberculosis,11.8,,11
11.9,"Pulmonary tuberculosis, unspecified",11.9,,11
110,Dermatophytosis,110,,110-118
110-118,MYCOSES,110-118,,001-139
110.1,Of nail,110.1,,110
110.2,Of hand,110.2,,110
110.3,Of groin and perianal area,110.3,,110
110.4,Of foot,110.4,,110
110.5,Of the body,110.5,,110
110.6,Deep seated dermatophytosis,110.6,,110
110.8,Of other specified sites,110.8,,110
110.9,Of unspecified site,110.9,,110
111,"Dermatomycosis, other and unspecified",111,,110-118
111.1,Tinea nigra,111.1,,111
111.2,Tinea blanca,111.2,,111
111.3,Black piedra,111.3,,111
111.8,Other specified dermatomycoses,111.8,,111
111.9,"Dermatomycosis, unspecified",111.9,,111
112,Candidiasis,112,,110-118
112.1,Of vulva and vagina,112.1,,112
112.2,Of other urogenital sites,112.2,,112
112.3,Of skin and nails,112.3,,112
112.4,Of lung,112.4,,112
112.5,Disseminated,112.5,,112
112.8,Of other specified sites,112.8,,112
112.81,Candidal endocarditis,112.81,,112.8
112.82,Candidal otitis externa,112.82,,112.8
112.83,Candidal meningitis,112.83,,112.8
112.84,Candidal esophagitis,112.84,,112.8
112.85,Candidal enteritis,112.85,,112.8
112.89,Other,112.89,,112.8
112.9,Of unspecified site,112.9,,112
114,Coccidioidomycosis,114,,110-118
114.1,Primary extrapulmonary coccidioidomycosis,114.1,,114
114.2,Coccidioidal meningitis,114.2,,114
114.3,Other forms of progressive coccidioidomycosis,114.3,,114
114.4,Chronic pulmonary coccidioidomycosis,114.4,,114
114.5,"Pulmonary coccidioidomycosis, unspecified",114.5,,114
114.9,"Coccidioidomycosis, unspecified",114.9,,114
115,Histoplasmosis,115,,110-118
115.1,Infection by Histoplasma duboisii,115.1,,115
115.9,"Histoplasmosis, unspecified",115.9,,115
116,Blastomycotic infection,116,,110-118
116.1,Paracoccidioidomycosis,116.1,,116
116.2,Lobomycosis,116.2,,116
117,Other mycoses,117,,110-118
117.1,Sporotrichosis,117.1,,117
117.2,Chromoblastomycosis,117.2,,117
117.3,Aspergillosis,117.3,,117
117.4,Mycotic mycetomas,117.4,,117
117.5,Cryptococcosis,117.5,,117
117.6,Allescheriosis [Petriellidosis],117.6,,117
117.7,Zygomycosis [Phycomycosis or Mucormycosis],117.7,,117
117.8,Infection by dematiacious fungi [Phaehyphomycosis],117.8,,117
117.9,Other and unspecified mycoses,117.9,,117
118,Opportunistic mycoses,118,,110-118
12,Other respiratory tuberculosis,12,,010-018
12.1,Tuberculosis of intrathoracic lymph nodes,12.1,,12
12.2,Isolated tracheal or bronchial tuberculosis,12.2,,12
12.3,Tuberculous laryngitis,12.3,,12
12.8,Other specified respiratory tuberculosis,12.8,,12
120,Schistosomiasis [bilharziasis],120,,120-129
120-129,HELMINTHIASES,120-129,,001-139
120.1,Schistosoma mansoni,120.1,,120
120.2,Schistosoma japonicum,120.2,,120
120.3,Cutaneous,120.3,,120
120.8,Other specified schistosomiasis,120.8,,120
120.9,"Schistosomiasis, unspecified",120.9,,120
121,Other trematode infections,121,,120-129
121.1,Clonorchiasis,121.1,,121
121.2,Paragonimiasis,121.2,,121
121.3,Fascioliasis,121.3,,121
121.4,Fasciolopsiasis,121.4,,121
121.5,Metagonimiasis,121.5,,121
121.6,Heterophyiasis,121.6,,121
121.8,Other specified trematode infections,121.8,,121
121.9,"Trematode infection, unspecified",121.9,,121
122,Echinococcosis,122,,120-129
122.1,Echinococcus granulosus infection of lung,122.1,,122
122.2,Echinococcus granulosus infection of thyroid,122.2,,122
122.3,"Echinococcus granulosus infection, other",122.3,,122
122.4,"Echinococcus granulosus infection, unspecified",122.4,,122
122.5,Echinococcus multilocularis infection of liver,122.5,,122
122.6,"Echinococcus multilocularis infection, other",122.6,,122
122.7,"Echinococcus multilocularis infection, unspecified",122.7,,122
122.8,"Echinococcosis, unspecified, of liver",122.8,,122
122.9,"Echinococcosis, other and unspecified",122.9,,122
123,Other cestode infection,123,,120-129
123.1,Cysticercosis,123.1,,123
123.2,Taenia saginata infection,123.2,,123
123.3,"Taeniasis, unspecified",123.3,,123
123.4,"Diphyllobothriasis, intestinal",123.4,,123
123.5,Sparganosis [larval diphyllobothriasis],123.5,,123
123.6,Hymenolepiasis,123.6,,123
123.8,Other specified cestode infection,123.8,,123
123.9,"Cestode infection, unspecified",123.9,,123
124,Trichinosis,124,,120-129
125,Filarial infection and dracontiasis,125,,120-129
125.1,Malayan filariasis,125.1,,125
125.2,Loiasis,125.2,,125
125.3,Onchocerciasis,125.3,,125
125.4,Dipetalonemiasis,125.4,,125
125.5,Mansonella ozzardi infection,125.5,,125
125.6,Other specified filariasis,125.6,,125
125.7,Dracontiasis,125.7,,125
125.9,Unspecified filariasis,125.9,,125
126,Ancylostomiasis and necatoriasis,126,,120-129
126.1,Necator americanus,126.1,,126
126.2,Ancylostoma braziliense,126.2,,126
126.3,Ancylostoma ceylanicum,126.3,,126
126.8,Other specified Ancylostoma,126.8,,126
126.9,"Ancylostomiasis and necatoriasis, unspecified",126.9,,126
127,Other intestinal helminthiases,127,,120-129
127.1,Anisakiasis,127.1,,127
127.2,Strongyloidiasis,127.2,,127
127.3,Trichuriasis,127.3,,127
127.4,Enterobiasis,127.4,,127
127.5,Capillariasis,127.5,,127
127.6,Trichostrongyliasis,127.6,,127
127.7,Other specified intestinal helminthiasis,127.7,,127
127.8,Mixed intestinal helminthiasis,127.8,,127
127.9,"Intestinal helminthiasis, unspecified",127.9,,127
128,Other and unspecified helminthiases,128,,120-129
128.1,Gnathostomiasis,128.1,,128
128.8,Other specified helminthiasis,128.8,,128
128.9,"Helminth infection, unspecified",128.9,,128
129,"Intestinal parasitism, unspecified",129,,120-129
13,Tuberculosis of meninges and central nervous system,13,,010-018
13.1,Tuberculoma of meninges,13.1,,13
13.2,Tuberculoma of brain,13.2,,13
13.3,Tuberculous abscess of brain,13.3,,13
13.4,Tuberculoma of spinal cord,13.4,,13
13.5,Tuberculous abscess of spinal cord,13.5,,13
13.6,Tuberculous encephalitis or myelitis,13.6,,13
13.8,Other specified tuberculosis of central nervous system,13.8,,13
13.9,Unspecified tuberculosis of central nervous system,13.9,,13
130,Toxoplasmosis,130,,130-136
130-136,OTHER INFECTIOUS AND PARASITIC DISEASES,130-136,,001-139
130.1,Conjunctivitis due to toxoplasmosis,130.1,,130
130.2,Chorioretinitis due to toxoplasmosis,130.2,,130
130.3,Myocarditis due to toxoplasmosis,130.3,,130
130.4,Pneumonitis due to toxoplasmosis,130.4,,130
130.5,Hepatitis due to toxoplasmosis,130.5,,130
130.7,Toxoplasmosis of other specified sites,130.7,,130
130.8,Multisystemic disseminated toxoplasmosis,130.8,,130
130.9,"Toxoplasmosis, unspecified",130.9,,130
131,Trichomoniasis,131,,130-136
131.01,Trichomonal vulvovaginitis,131.01,,131
131.02,Trichomonal urethritis,131.02,,131
131.03,Trichomonal prostatitis,131.03,,131
131.09,Other,131.09,,131
131.8,Other specified sites,131.8,,131
131.9,"Trichomoniasis, unspecified",131.9,,131
132,Pediculosis and phthirus infestation,132,,130-136
132.1,Pediculus corporis [body louse],132.1,,132
132.2,Phthirus pubis [pubic louse],132.2,,132
132.3,Mixed infestation,132.3,,132
132.9,"Pediculosis, unspecified",132.9,,132
133,Acariasis,133,,130-136
133.8,Other acariasis,133.8,,133
133.9,"Acariasis, unspecified",133.9,,133
134,Other infestation,134,,130-136
134.1,Other arthropod infestation,134.1,,134
134.2,Hirudiniasis,134.2,,134
134.8,Other specified infestations,134.8,,134
134.9,"Infestation, unspecified",134.9,,134
135,Sarcoidosis,135,,130-136
136,Other and unspecified infectious and parasitic diseases,136,,130-136
136.1,Beh\u00e7et's syndrome,136.1,,136
136.2,Specific infections by free-living amebae,136.2,,136
136.21,Specific infection due to acanthamoeba,136.21,,136.2
136.29,Other specific infections by free-living amebae,136.29,,136.2
136.3,Pneumocystosis,136.3,,136
136.4,Psorospermiasis,136.4,,136
136.5,Sarcosporidiosis,136.5,,136
136.8,Other specified infectious and parasitic diseases,136.8,,136
136.9,Unspecified infectious and parasitic diseases,136.9,,136
137,Late effects of tuberculosis,137,,137-139
