icd_mapping_id,description,fdn_icd10,fdn_icd9
1701-C411,Mandible,C411,170.1
V420-Z940,Kidney,Z940,V42.0
0011-A001,Due to Vibrio cholerae el tor,A001,1.1
0019-A009,"Cholera, unspecified",A009,1.9
0021-A011,Paratyphoid fever A,A011,2.1
0022-A012,Paratyphoid fever B,A012,2.2
0023-A013,Paratyphoid fever C,A013,2.3
0029-A014,"Paratyphoid fever, unspecified",A014,2.9
0031-A021,Salmonella septicemia,A021,3.1
00321-G01,Salmonella meningitis,G01,3.21
00329-A022,Other,A022,3.29
0038-A028,Other specified salmonella infections,A028,3.8
0039-A029,"Salmonella infection, unspecified",A029,3.9
0041-A031,Shigella flexneri,A031,4.1
0042-A032,Shigella boydii,A032,4.2
0043-A033,Shigella sonnei,A033,4.3
0048-A038,Other specified shigella infections,A038,4.8
0049-A039,"Shigellosis, unspecified",A039,4.9
0051-A051,Botulism food poisoning,A051,5.1
0052-A052,Food poisoning due to Clostridium perfringens [C. welchii],A052,5.2
0053-A058,Food poisoning due to other Clostridia,A058,5.3
0054-A053,Food poisoning due to Vibrio parahaemolyticus,A053,5.4
00581-A058,Food poisoning due to Vibrio vulnificus,A058,5.81
00589-A058,Other bacterial food poisoning,A058,5.89
0059-A059,"Food poisoning, unspecified",A059,5.9
0061-A061,Chronic intestinal amebiasis without mention of abscess,A061,6.1
0062-A062,Amebic nondysenteric colitis,A062,6.2
0063-A064,Amebic liver abscess,A064,6.3
0064-A065,Amebic lung abscess,A065,6.4
0065-A066,Amebic brain abscess,A066,6.5
0066-A067,Amebic skin ulceration,A067,6.6
0068-A068,Amebic infection of other sites,A068,6.8
0069-A069,"Amebiasis, unspecified",A069,6.9
0071-A071,Giardiasis,A071,7.1
0072-A073,Coccidiosis,A073,7.2
0073-A078,Intestinal trichomoniasis,A078,7.3
0074-A072,Cryptosporidiosis,A072,7.4
0078-A078,Other specified protozoal intestinal diseases,A078,7.8
0079-A079,Unspecified protozoal intestinal disease,A079,7.9
00801-A040,Enteropathogenic E. coli,A040,8.01
00802-A041,Enterotoxigenic E. coli,A041,8.02
00803-A042,Enteroinvasive E. coli,A042,8.03
00804-A043,Enterohemorrhagic E. coli,A043,8.04
00809-A044,Other intestinal E. coli infections,A044,8.09
0081-A020,Arizona group of paracolon bacilli,A020,8.1
0082-A048,Aerobacter aerogenes,A048,8.2
0083-A048,Proteus (mirabilis) (morganii),A048,8.3
00841-A048,Staphylococcus,A048,8.41
00842-A048,Pseudomonas,A048,8.42
00843-A045,Campylobacter,A045,8.43
00844-A046,Yersinia enterocolitica,A046,8.44
00845-A047,Clostridium difficile,A047,8.45
00846-A048,Other anaerobes,A048,8.46
00847-A048,Other gram-negative bacteria,A048,8.47
00849-A048,Other,A048,8.49
0085-A049,"Bacterial enteritis, unspecified",A049,8.5
00861-A080,Rotavirus,A080,8.61
00862-A082,Adenovirus,A082,8.62
00863-A081,Norwalk virus,A081,8.63
00864-A081,Other small round viruses [SRV's],A081,8.64
00865-A083,Calcivirus,A083,8.65
00866-A083,Astrovirus,A083,8.66
00867-A083,Enterovirus NEC,A083,8.67
00869-A083,Other viral enteritis,A083,8.69
0091-A09,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",A09,9.1
0092-A09,Infectious diarrhea,A09,9.2
0093-A09,Diarrhea of presumed infectious origin,A09,9.3
0201-A201,Cellulocutaneous,A201,20.1
0202-A207,Septicemic,A207,20.2
0203-A202,Primary pneumonic,A202,20.3
0204-A202,Secondary pneumonic,A202,20.4
0205-A202,"Pneumonic, unspecified",A202,20.5
0208-A208,Other specified types of plague,A208,20.8
0209-A209,"Plague, unspecified",A209,20.9
0211-A213,Enteric tularemia,A213,21.1
0212-A212,Pulmonary tularemia,A212,21.2
0213-A211,Oculoglandular tularemia,A211,21.3
0218-A218,Other specified tularemia,A218,21.8
0219-A219,Unspecified tularemia,A219,21.9
0221-A221,Pulmonary anthrax,A221,22.1
0222-A222,Gastrointestinal anthrax,A222,22.2
0223-A227,Anthrax septicemia,A227,22.3
0228-A228,Other specified manifestations of anthrax,A228,22.8
0229-A229,"Anthrax, unspecified",A229,22.9
0231-A231,Brucella abortus,A231,23.1
0232-A232,Brucella suis,A232,23.2
0233-A233,Brucella canis,A233,23.3
0238-A238,Other brucellosis,A238,23.8
0239-A239,"Brucellosis, unspecified",A239,23.9
024-A240,Glanders,A240,24
0261-A251,Streptobacillary fever,A251,26.1
0269-A259,Unspecified rat-bite fever,A259,26.9
0271-A269,Erysipelothrix infection,A269,27.1
0272-A280,Pasteurellosis,A280,27.2
0278-A288,Other specified zoonotic bacterial diseases,A288,27.8
0279-A289,Unspecified zoonotic bacterial disease,A289,27.9
0301-A301,Tuberculoid [type T],A301,30.1
0302-A300,Indeterminate [group I],A300,30.2
0303-A303,Borderline [group B],A303,30.3
0308-A308,Other specified leprosy,A308,30.8
0309-A309,"Leprosy, unspecified",A309,30.9
0311-A311,Cutaneous,A311,31.1
0318-A318,Other specified mycobacterial diseases,A318,31.8
0319-A319,Unspecified diseases due to mycobacteria,A319,31.9
0321-A361,Nasopharyngeal diphtheria,A361,32.1
0322-A361,Anterior nasal diphtheria,A361,32.2
0323-A362,Laryngeal diphtheria,A362,32.3
03285-A363,Cutaneous diphtheria,A363,32.85
03289-A368,Other,A368,32.89
0329-A369,"Diphtheria, unspecified",A369,32.9
0331-A371,Bordetella parapertussis [B. parapertussis],A371,33.1
0338-A378,Whooping cough due to other specified organism,A378,33.8
0339-A379,"Whooping cough, unspecified organism",A379,33.9
0341-A38,Scarlet fever,A38,34.1
035-A46,Erysipelas,A46,35
0362-A394,Meningococcemia,A394,36.2
