ID,Name,Role
10,Behavioral Health & Social Service Providers,INDIVIDUAL
11,Chiropractic Providers,INDIVIDUAL
12,Dental Providers,INDIVIDUAL
13,Dietary & Nutritional Service Providers,INDIVIDUAL
14,Emergency Medical Service Providers,INDIVIDUAL
15,Eye and Vision Services Providers,INDIVIDUAL
16,Nursing Service Providers,INDIVIDUAL
17,Other Service Providers,INDIVIDUAL
18,Pharmacy Service Providers,INDIVIDUAL
19,Group,INDIVIDUAL
20,Allopathic & Osteopathic Physicians,INDIVIDUAL
21,Podiatric Medicine & Surgery Service Providers,INDIVIDUAL
22,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",INDIVIDUAL
23,"Speech, Language and Hearing Service Providers",INDIVIDUAL
24,"Technologists, Technicians & Other Technical Service Providers",INDIVIDUAL
25,Agencies,NON_INDIVIDUAL
26,Ambulatory Health Care Facilities,NON_INDIVIDUAL
27,Hospital Units,NON_INDIVIDUAL
28,Hospitals,NON_INDIVIDUAL
29,Laboratories,NON_INDIVIDUAL
30,Managed Care Organizations,NON_INDIVIDUAL
31,Nursing & Custodial Care Facilities,NON_INDIVIDUAL
32,Residential Treatment Facilities,NON_INDIVIDUAL
33,Suppliers,NON_INDIVIDUAL
34,Transportation Services,NON_INDIVIDUAL
36,Physician Assistants & Advanced Practice Nursing Providers,INDIVIDUAL
37,Nursing Service Related Providers,INDIVIDUAL
38,Respite Care Facility,NON_INDIVIDUAL
39,"Student, Health Care",INDIVIDUAL
