Publisher ID,Source ID,Trade Name,Product Name,Generic Name,NDC Code,Indication,Price,Therapeautic Area   (Foreign ID),Definition,Image,url,Sponsor   (Foreign ID),Form   (Foreign ID),Administration   (Foreign ID)
IMP,28704,8-HOUR BAYER,8-HOUR BAYER,ASPIRIN,3279,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/8-HOUR,,https://8-HOUR BAYER.com,1739,1103,10071
IMP,28705,8-MOP,8-MOP,METHOXSALEN,2965,N/A,$ unknown,Dermatology,https://en.wikipedia.org/wiki/8-MOP,,https://8-MOP.com,1427,1155,10071
IMP,28706,A-HYDROCORT,A-HYDROCORT,HYDROCORTISONE SODIUM SUCCINATE,2654,N/A,$ unknown,Disease,https://en.wikipedia.org/wiki/A-HYDROCORT,,https://A-HYDROCORT.com,1091,1150,10066
IMP,28707,A-METHAPRED,A-METHAPRED,METHYLPREDNISOLONE SODIUM SUCCINATE,2654,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/A-METHAPRED,,https://A-METHAPRED.com,1091,1188,10066
IMP,28708,A.P.L.,A.P.L.,"GONADOTROPIN, CHORIONIC",2946,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/A.P.L.,,https://A.P.L..com,1383,1137,10066
IMP,28709,A/T/S,A/T/S,ERYTHROMYCIN,3010,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/A/T/S,,https://A/T/S.com,1518,1213,10005
IMP,28710,ABACAVIR SULFATE,ABACAVIR SULFATE,ABACAVIR SULFATE,2629,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ABACAVIR,,https://ABACAVIR SULFATE.com,1099,1107,10071
IMP,28711,ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,2883,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ABACAVIR,,https://ABACAVIR SULFATE; LAMIVUDINE.com,1353,1164,10071
IMP,28712,ABELCET,ABELCET,AMPHOTERICIN B,2768,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ABELCET,,https://ABELCET.com,1252,1230,10066
IMP,28713,ABILIFY,ABILIFY,ARIPIPRAZOLE,2976,N/A,$ unknown,Neurology,https://en.wikipedia.org/wiki/ABILIFY,,https://ABILIFY.com,1413,1203,10080
IMP,28714,ABLAVAR,ABLAVAR,GADOFOSVESET TRISODIUM,2522,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ABLAVAR,,https://ABLAVAR.com,1030,1108,10058
IMP,28715,ABRAXANE,ABRAXANE,PACLITAXEL,3448,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ABRAXANE,,https://ABRAXANE.com,1886,1125,10058
IMP,28716,ABREVA,ABREVA,DOCOSANOL,2495,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ABREVA,,https://ABREVA.com,1015,1178,10005
IMP,28717,ABSORICA,ABSORICA,ISOTRETINOIN,3295,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ABSORICA,,https://ABSORICA.com,1757,1210,10071
IMP,28718,ABSTRAL,ABSTRAL,FENTANYL CITRATE,3503,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ABSTRAL,,https://ABSTRAL.com,1973,1146,10004
IMP,28719,ACANYA,ACANYA,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,2844,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ACANYA,,https://ACANYA.com,1337,1127,10005
IMP,28720,ACCOLATE,ACCOLATE,ZAFIRLUKAST,3378,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ACCOLATE,,https://ACCOLATE.com,1848,1160,10071
IMP,28721,ACCRETROPIN,ACCRETROPIN,SOMATROPIN,3542,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ACCRETROPIN,,https://ACCRETROPIN.com,1979,1147,10066
IMP,28722,ACCUNEB,ACCUNEB,ALBUTEROL SULFATE,2750,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ACCUNEB,,https://ACCUNEB.com,1258,1186,10054
IMP,28723,ACCUPRIL,ACCUPRIL,QUINAPRIL HYDROCHLORIDE,2991,N/A,$ unknown,Pain Management,https://en.wikipedia.org/wiki/ACCUPRIL,,https://ACCUPRIL.com,1461,1175,10071
