Strength,Products (Source ID),Products (Publisher ID)
5GM/100ML,28704,IMP
40GM/100ML,28704,IMP
68%,28705,IMP
80%,28705,IMP
3.50%,28705,IMP
6GM/VIAL,28706,IMP
3.75GM/VIAL,28706,IMP
3GM/VIAL,28706,IMP
50%,28707,IMP
41%,28707,IMP
0.23%,28707,IMP
0.25MG/ML,28708,IMP
4MG/ML,28708,IMP
37.5MG/ML,28708,IMP
0.5MG/ML,28708,IMP
0.25GM/ML,28709,IMP
0.5GM/ML,28709,IMP
0.7MG,28710,IMP
35MG,28710,IMP
275MG,28710,IMP
250MG/PACKET,28711,IMP
30MG/PACKET,28711,IMP
2.4GM/PACKET,28712,IMP
2.5GM/PACKET,28712,IMP
3GM/PACKET,28712,IMP
4GM/PACKET,28712,IMP
250MG/PACKET,28713,IMP
500MG/PACKET,28713,IMP
100MG/PACKET,28713,IMP
0.5GM/ML,28714,IMP
0.25GM/ML,28714,IMP
20GM/PACKET,28715,IMP
10GM/PACKET,28715,IMP
5GM/PACKET,28715,IMP
800MG/100ML,28716,IMP
640MG/100ML,28716,IMP
100MG/100ML,28716,IMP
1.2GM,28717,IMP
1GM,28717,IMP
3.75GM,28717,IMP
25MG/5ML,28718,IMP
20MG/5ML,28718,IMP
4MG/5ML,28718,IMP
70MG,28719,IMP
600MG,28719,IMP
0.35MG,28719,IMP
75MG,28719,IMP
1.34MG,28719,IMP
12.5MG/5ML,28720,IMP
5MG/5ML,28720,IMP
2MG/5ML,28720,IMP
2MG,28721,IMP
21MG,28721,IMP
1MG/5ML,28722,IMP
250MG/5ML,28722,IMP
187MG/5ML,28722,IMP
20GM/PACKET,28723,IMP
3GM/PACKET,28723,IMP
2.4GM/PACKET,28723,IMP
10GM/PACKET,28723,IMP
3.75GM/PACKET,28723,IMP
125MG/VIAL,28724,IMP
25MG/VIAL,28724,IMP
0.04MG/VIAL,28724,IMP
30GM/100ML,28725,IMP
15GM/100ML,28725,IMP
1.49GM/100ML,28725,IMP
3.75GM,28726,IMP
1.2GM,28726,IMP
1.05GM,28726,IMP
1GM,28726,IMP
1.90%,28727,IMP
33.32%,28727,IMP
0.03%,28727,IMP
0.90%,28727,IMP
1.49GM/100ML,28728,IMP
70GM/100ML,28728,IMP
2.4GM/100ML,28728,IMP
0.4MG,28729,IMP
0.075MG,28729,IMP
10MG,28729,IMP
0.0553MG,28729,IMP
12MG,28729,IMP
4MG/5ML,28730,IMP
1MG/5ML,28730,IMP
40MG/5ML,28730,IMP
600MG/5ML,28730,IMP
105MG/5ML,28730,IMP
0.5GM/ML,28731,IMP
0.25GM/ML,28731,IMP
7.5MG/5ML,28732,IMP
250MG/5ML,28732,IMP
667MG/5ML,28732,IMP
51%,28733,IMP
0.40%,28733,IMP
41%,28733,IMP
0.13%,28733,IMP
60GM/100ML,28734,IMP
2GM/100ML,28734,IMP
50GM/100ML,28735,IMP
40GM/100ML,28735,IMP
1.05GM,28736,IMP
1.2GM,28736,IMP
3.75GM,28736,IMP
20GM/PACKET,28737,IMP
3GM/PACKET,28737,IMP
3.75GM/PACKET,28737,IMP
2.5GM/VIAL,28738,IMP
20GM/VIAL,28738,IMP
1GM/VIAL,28738,IMP
2GM/VIAL,28738,IMP
6.75GM/VIAL,28738,IMP
17.20%,28739,IMP
85%,28739,IMP
0.20%,28739,IMP
10.30%,28739,IMP
0.35MG,28740,IMP
375MG,28740,IMP
800MG,28740,IMP
2.68MG,28740,IMP
105MG,28740,IMP
30MG/100ML,28741,IMP
20MG/100ML,28741,IMP
3.75GM/PACKET,28742,IMP
5GM/PACKET,28742,IMP
10GM/PACKET,28742,IMP
0.6MG/ML,28743,IMP
0.01MG/ML,28743,IMP
5MG/ML,28743,IMP
0.8MG/ML,28743,IMP
30MG/ML,28744,IMP
35MG/ML,28744,IMP
55%,28745,IMP
20%,28745,IMP
41%,28745,IMP
10MG/100ML,28746,IMP
200MG/100ML,28746,IMP
6GM/VIAL,28747,IMP
40GM/VIAL,28747,IMP
4GM/PACKET,28748,IMP
2.4GM/PACKET,28748,IMP
10GM/PACKET,28748,IMP
250MG/PACKET,28749,IMP
100MG/PACKET,28749,IMP
1.87GM/100ML,28750,IMP
40GM/100ML,28750,IMP
76%,28751,IMP
98.30%,28751,IMP
43%,28751,IMP
68%,28751,IMP
20%,28751,IMP
0.5GM/ML,28752,IMP
0.25GM/ML,28752,IMP
200MG/5ML,28753,IMP
20MG/5ML,28753,IMP
2.5GM/VIAL,28754,IMP
4GM/VIAL,28754,IMP
3.75GM/VIAL,28754,IMP
5GM/VIAL,28754,IMP
6GM/VIAL,28754,IMP
6.75GM/VIAL,28755,IMP
1GM/VIAL,28755,IMP
6GM/VIAL,28755,IMP
5GM/VIAL,28755,IMP
40%,28756,IMP
54.30%,28756,IMP
5%,28756,IMP
7.50%,28756,IMP
1GM,28757,IMP
1.05GM,28757,IMP
3.75GM,28757,IMP
1.2GM,28757,IMP
8MG,28758,IMP
320MG,28758,IMP
0.4MG,28758,IMP
0.9MG,28758,IMP
8.8MG/VIAL,28759,IMP
45MG/VIAL,28759,IMP
6MG,28760,IMP
0.375MG,28760,IMP
23MG,28760,IMP
420MG,28760,IMP
425MG,28760,IMP
0.50%,28761,IMP
62%,28761,IMP
54.30%,28761,IMP
4%,28761,IMP
35MG/ML,28762,IMP
4MG/ML,28762,IMP
800MG/PACKET,28763,IMP
500MG/PACKET,28763,IMP
100MG/PACKET,28763,IMP
167MG/PACKET,28763,IMP
375MG/PACKET,28763,IMP
0.60%,28764,IMP
15.10%,28764,IMP
1.20%,28764,IMP
0.25GM/ML,28765,IMP
0.5GM/ML,28765,IMP
10GM/100ML,28766,IMP
1.87GM/100ML,28766,IMP
1.5GM/100ML,28766,IMP
0.04%,28767,IMP
24%,28767,IMP
30.20%,28767,IMP
68%,28767,IMP
15.10%,28767,IMP
160MG/100ML,28768,IMP
40MG/100ML,28768,IMP
4GM/PACKET,28769,IMP
2.4GM/PACKET,28769,IMP
10GM/PACKET,28769,IMP
5MG/ML,28770,IMP
3MG/ML,28770,IMP
80MG/ML,28770,IMP
0.02MG/ML,28770,IMP
160MG/ML,28771,IMP
0.8MG/ML,28771,IMP
15MG/ML,28771,IMP
0.4MG/ML,28771,IMP
65MG/ML,28771,IMP
0.185MG/ML,28772,IMP
0.4MG/ML,28772,IMP
0.2MG/ML,28772,IMP
0.1MG/ML,28772,IMP
5MG/VIAL,28773,IMP
2MG/VIAL,28773,IMP
10GM/100ML,28774,IMP
2.5GM/100ML,28774,IMP
2GM/VIAL,28775,IMP
3.75GM/VIAL,28775,IMP
550MG,28776,IMP
348MG,28776,IMP
250MG,28776,IMP
18MG,28776,IMP
250MG/5ML,28777,IMP
30MG/5ML,28777,IMP
5GM/PACKET,28778,IMP
10GM/PACKET,28778,IMP
3GM/PACKET,28779,IMP
10GM/PACKET,28779,IMP
20GM/PACKET,28779,IMP
5GM/PACKET,28779,IMP
4GM/PACKET,28779,IMP
100MG/100ML,28780,IMP
10MG/100ML,28780,IMP
20MG/100ML,28780,IMP
160MG/100ML,28780,IMP
200MG/100ML,28780,IMP
3.75GM,28781,IMP
1GM,28781,IMP
1.2GM,28781,IMP
1.05GM,28781,IMP
2.5MG/5ML,28782,IMP
4MG/5ML,28782,IMP
300MG/5ML,28782,IMP
16MG/5ML,28782,IMP
1.87GM/100ML,28783,IMP
38.5GM/100ML,28783,IMP
50GM/100ML,28783,IMP
20GM/100ML,28783,IMP
500MG/5ML,28784,IMP
600MG/5ML,28784,IMP
20MG/5ML,28784,IMP
6.25MG/5ML,28784,IMP
1.05GM,28785,IMP
1.2GM,28785,IMP
3.75GM,28785,IMP
1GM,28785,IMP
30MG/PACKET,28786,IMP
250MG/PACKET,28786,IMP
100MG/PACKET,28786,IMP
500MG/PACKET,28786,IMP
167MG/PACKET,28786,IMP
50MG/VIAL,28787,IMP
0.6MG/VIAL,28787,IMP
1.4MG/VIAL,28787,IMP
26%,28788,IMP
0.40%,28788,IMP
1.5MG,28789,IMP
320MG,28789,IMP
0.4MG,28789,IMP
105MG,28789,IMP
20MG,28789,IMP
1GM/VIAL,28790,IMP
40GM/VIAL,28790,IMP
6GM/VIAL,28790,IMP
13.5GM/VIAL,28790,IMP
5GM/VIAL,28790,IMP
10GM/PACKET,28791,IMP
2.4GM/PACKET,28791,IMP
3GM/PACKET,28791,IMP
3.75GM/PACKET,28791,IMP
4GM/PACKET,28791,IMP
600MG/PACKET,28792,IMP
800MG/PACKET,28792,IMP
167MG/PACKET,28792,IMP
250MG/PACKET,28792,IMP
500MG/PACKET,28792,IMP
746MG/100ML,28793,IMP
745MG/100ML,28793,IMP
20MG/100ML,28793,IMP
320MG/100ML,28793,IMP
250MG/100ML,28794,IMP
450MG/100ML,28794,IMP
375MG/PACKET,28795,IMP
15MG/PACKET,28795,IMP
600MG/PACKET,28795,IMP
100MG/PACKET,28795,IMP
500MG/PACKET,28795,IMP
333.5MG,28796,IMP
220MG,28796,IMP
800MG,28796,IMP
667MG,28796,IMP
850MG,28797,IMP
650MG,28797,IMP
80MG,28797,IMP
54MG,28797,IMP
403MG,28797,IMP
0.5GM/ML,28798,IMP
0.25GM/ML,28798,IMP
0.5GM/ML,28799,IMP
0.25GM/ML,28799,IMP
0.12MG/ML,28800,IMP
0.6MG/ML,28800,IMP
0.1MG/ML,28800,IMP
3MG/ML,28800,IMP
0.5MG/ML,28800,IMP
0.25GM/ML,28801,IMP
0.5GM/ML,28801,IMP
0.5GM/ML,28802,IMP
0.25GM/ML,28802,IMP
10MG/VIAL,28803,IMP
1600MG/VIAL,28803,IMP
45MG/VIAL,28803,IMP
0.5MG/VIAL,28803,IMP
0.6MG/VIAL,28803,IMP
746MG/100ML,28804,IMP
20MG/100ML,28804,IMP
1.2GM,28805,IMP
3.75GM,28805,IMP
1.05GM,28805,IMP
1GM,28805,IMP
4GM/PACKET,28806,IMP
10GM/PACKET,28806,IMP
3.75GM/PACKET,28806,IMP
5GM/PACKET,28806,IMP
0.5GM/ML,28807,IMP
0.25GM/ML,28807,IMP
403MG,28808,IMP
8MG,28808,IMP
0.4MG,28808,IMP
180MG,28808,IMP
1.2GM,28809,IMP
1.05GM,28809,IMP
801MG,28810,IMP
2.25MG,28810,IMP
70MG,28810,IMP
200MG/100ML,28811,IMP
320MG/100ML,28811,IMP
900MG/100ML,28811,IMP
160MG/100ML,28811,IMP
80MG/100ML,28811,IMP
0.25GM/ML,28812,IMP
0.5GM/ML,28812,IMP
375MG/PACKET,28813,IMP
100MG/PACKET,28813,IMP
30MG/PACKET,28813,IMP
15MG/PACKET,28813,IMP
500MG/PACKET,28813,IMP
6.25MG/5ML,28814,IMP
1.25MG/5ML,28814,IMP
1MG/ML,28815,IMP
37.5MG/ML,28815,IMP
3.75GM/VIAL,28816,IMP
1GM/VIAL,28816,IMP
