id,description,raw_icd9_code,is_industry_std,fdn_parenticd9
001-009,INTESTINAL INFECTIOUS DISEASES,001-009,,001-139
001-139,INFECTIOUS AND PARASITIC DISEASES,001-139,,
020-027,ZOONOTIC BACTERIAL DISEASES,020-027,,001-139
030-041,OTHER BACTERIAL DISEASES,030-041,,001-139
050-059,VIRAL DISEASES ACCOMPANIED BY EXANTHEM,050-059,,001-139
070-079,OTHER DISEASES DUE TO VIRUSES AND CHLAMYDIAE,070-079,,001-139
090-099,SYPHILIS AND OTHER VENEREAL DISEASES,090-099,,001-139
1,Cholera,1,,001-009
1.9,"Cholera, unspecified",1.9,,1
100,Leptospirosis,100,,100-104
100-104,OTHER SPIROCHETAL DISEASES,100-104,,001-139
100.9,"Leptospirosis, unspecified",100.9,,100
102,Yaws,102,,100-104
102.1,Multiple papillomata and wet crab yaws,102.1,,102
110-118,MYCOSES,110-118,,001-139
111,"Dermatomycosis, other and unspecified",111,,110-118
111.9,"Dermatomycosis, unspecified",111.9,,111
114,Coccidioidomycosis,114,,110-118
114.5,"Pulmonary coccidioidomycosis, unspecified",114.5,,114
117,Other mycoses,117,,110-118
117.4,Mycotic mycetomas,117.4,,117
117.7,Zygomycosis [Phycomycosis or Mucormycosis],117.7,,117
120,Schistosomiasis [bilharziasis],120,,120-129
120-129,HELMINTHIASES,120-129,,001-139
120.8,Other specified schistosomiasis,120.8,,120
121,Other trematode infections,121,,120-129
121.4,Fasciolopsiasis,121.4,,121
121.5,Metagonimiasis,121.5,,121
121.8,Other specified trematode infections,121.8,,121
123,Other cestode infection,123,,120-129
123.5,Sparganosis [larval diphyllobothriasis],123.5,,123
123.9,"Cestode infection, unspecified",123.9,,123
127,Other intestinal helminthiases,127,,120-129
127.7,Other specified intestinal helminthiasis,127.7,,127
128,Other and unspecified helminthiases,128,,120-129
128.8,Other specified helminthiasis,128.8,,128
130-136,OTHER INFECTIOUS AND PARASITIC DISEASES,130-136,,001-139
132,Pediculosis and phthirus infestation,132,,130-136
132.9,"Pediculosis, unspecified",132.9,,132
136,Other and unspecified infectious and parasitic diseases,136,,130-136
136.3,Pneumocystosis,136.3,,136
136.9,Unspecified infectious and parasitic diseases,136.9,,136
137-139,LATE EFFECTS OF INFECTIOUS AND PARASITIC DISEASES,137-139,,001-139
138,Late effects of acute poliomyelitis,138,,137-139
139,Late effects of other infectious and parasitic diseases,139,,137-139
139.8,Late effects of other and unspecified infectious and parasitic diseases,139.8,,139
140,Malignant neoplasm of lip,140,,140-149
140-149,"MALIGNANT NEOPLASM OF LIP, ORAL CAVITY, AND PHARYNX",140-149,,140-239
140-239,NEOPLASMS changed by Robiun,140-239,,
140.4,"Lower lip, inner aspect",140.4,,140
140.6,Commissure of lip,140.6,,140
140.8,Other sites of lip,140.8,,140
141,Malignant neoplasm of tongue,141,,140-149
141.3,Ventral surface of tongue,141.3,,141
142,Malignant neoplasm of major salivary glands,142,,140-149
142.2,Sublingual gland,142.2,,142
142.9,"Salivary gland, unspecified",142.9,,142
143,Malignant neoplasm of gum,143,,140-149
143.9,"Gum, unspecified",143.9,,143
145,Malignant neoplasm of other and unspecified parts of mouth,145,,140-149
145.8,Other specified parts of mouth,145.8,,145
146,Malignant neoplasm of oropharynx,146,,140-149
146.5,Junctional region,146.5,,146
149,"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx",149,,140-149
149.8,Other,149.8,,149
149.9,Ill-defined,149.9,,149
150-159,MALIGNANT NEOPLASM OF DIGESTIVE ORGANS AND PERITONEUM,150-159,,140-239
154,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",154,,150-159
154.2,Anal canal,154.2,,154
156,Malignant neoplasm of gallbladder and extrahepatic bile ducts,156,,150-159
156.9,"Biliary tract, part unspecified",156.9,,156
157,Malignant neoplasm of pancreas,157,,150-159
157.3,Pancreatic duct,157.3,,157
160-165,MALIGNANT NEOPLASM OF RESPIRATORY AND INTRATHORACIC ORGANS,160-165,,140-239
161,Malignant neoplasm of larynx,161,,160-165
161.1,Supraglottis,161.1,,161
170,Malignant neoplasm of bone and articular cartilage,170,,170-176
170-176,"MALIGNANT NEOPLASM OF BONE, CONNECTIVE TISSUE, SKIN, AND BREAST",170-176,,140-239
170.5,Short bones of upper limb,170.5,,170
171,Malignant neoplasm of connective and other soft tissue,171,,170-176
171.4,Thorax,171.4,,171
172,Malignant melanoma of skin,172,,170-176
172.6,"Upper limb, including shoulder",172.6,,172
179-189,MALIGNANT NEOPLASM OF GENITOURINARY ORGANS,179-189,,140-239
180,Malignant neoplasm of cervix uteri,180,,179-189
180.9,"Cervix uteri, unspecified",180.9,,180
184,Malignant neoplasm of other and unspecified female genital organs,184,,179-189
184.3,Clitoris,184.3,,184
184.9,"Female genital organ, site unspecified",184.9,,184
187,Malignant neoplasm of penis and other male genital organs,187,,179-189
187.3,Body of penis,187.3,,187
187.6,Spermatic cord,187.6,,187
188,Malignant neoplasm of bladder,188,,179-189
188.2,Lateral wall of urinary bladder,188.2,,188
190,Malignant neoplasm of eye,190,,190-199
190-199,MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED SITES,190-199,,140-239
190.7,Lacrimal duct,190.7,,190
190.9,"Eye, part unspecified",190.9,,190
191,Malignant neoplasm of brain,191,,190-199
191.8,Other parts of brain,191.8,,191
192,Malignant neoplasm of other and unspecified parts of nervous system,192,,190-199
192.3,Spinal meninges,192.3,,192
195,Malignant neoplasm of other and ill-defined sites,195,,190-199
195.3,Pelvis,195.3,,195
196,Secondary and unspecified malignant neoplasm of lymph nodes,196,,190-199
196.8,Lymph nodes of multiple sites,196.8,,196
198,Secondary malignant neoplasm of other specified sites,198,,190-199
198.1,Other urinary organs,198.1,,198
198.3,Brain and spinal cord,198.3,,198
198.6,Ovary,198.6,,198
2,Typhoid and paratyphoid fevers,2,,001-009
2.1,Paratyphoid fever A,2.1,,2
21,Tularemia,21,,020-027
21.3,Oculoglandular tularemia,21.3,,21
210,"Benign neoplasm of lip, oral cavity, and pharynx",210,,210-229
210-229,BENIGN NEOPLASMS,210-229,,140-239
210.2,Major salivary glands,210.2,,210
212,Benign neoplasm of respiratory and intrathoracic organs,212,,210-229
212.7,Heart,212.7,,212
213,Benign neoplasm of bone and articular cartilage,213,,210-229
213.4,Scapula and long bones of upper limb,213.4,,213
214,Lipoma,214,,210-229
214.4,Spermatic cord,214.4,,214
215,Other benign neoplasm of connective and other soft tissue,215,,210-229
215.2,"Upper limb, including shoulder",215.2,,215
215.9,Site unspecified,215.9,,215
216,Benign neoplasm of skin,216,,210-229
216.3,Skin of other and unspecified parts of face,216.3,,216
22,Anthrax,22,,020-027
22.1,Pulmonary anthrax,22.1,,22
220,Benign neoplasm of ovary,220,,210-229
221,Benign neoplasm of other female genital organs,221,,210-229
221.1,Vagina,221.1,,221
221.9,"Female genital organ, site unspecified",221.9,,221
225,Benign neoplasm of brain and other parts of nervous system,225,,210-229
225.3,Spinal cord,225.3,,225
227,Benign neoplasm of other endocrine glands and related structures,227,,210-229
227.3,Pituitary gland and craniopharyngeal duct (pouch),227.3,,227
227.4,Pineal gland,227.4,,227
227.6,Aortic body and other paraganglia,227.6,,227
230-234,CARCINOMA IN SITU,230-234,,140-239
233,Carcinoma in situ of breast and genitourinary system,233,,230-234
233.4,Prostate,233.4,,233
235-238,NEOPLASMS OF UNCERTAIN BEHAVIOR,235-238,,140-239
236,Neoplasm of uncertain behavior of genitourinary organs,236,,235-238
236.5,Prostate,236.5,,236
240-246,DISORDERS OF THYROID GLAND,240-246,,240-279
240-279,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES, AND IMMUNITY DISORDERS",240-279,,
241,Nontoxic nodular goiter,241,,240-246
241.9,Unspecified nontoxic nodular goiter,241.9,,241
244,Acquired hypothyroidism,244,,240-246
244.1,Other postablative hypothyroidism,244.1,,244
245,Thyroiditis,245,,240-246
245.4,Iatrogenic thyroiditis,245.4,,245
249-259,DISEASES OF OTHER ENDOCRINE GLANDS,249-259,,240-279
251,Other disorders of pancreatic internal secretion,251,,249-259
251.5,Abnormality of secretion of gastrin,251.5,,251
251.9,Unspecified disorder of pancreatic internal secretion,251.9,,251
253,Disorders of the pituitary gland and its hypothalamic control,253,,249-259
253.4,Other anterior pituitary disorders,253.4,,253
256,Ovarian dysfunction,256,,249-259
256.4,Polycystic ovaries,256.4,,256
256.8,Other ovarian dysfunction,256.8,,256
259,Other endocrine disorders,259,,249-259
259.3,"Ectopic hormone secretion, not elsewhere classified",259.3,,259
259.8,Other specified endocrine disorders,259.8,,259
260-269,NUTRITIONAL DEFICIENCIES,260-269,,240-279
264,Vitamin A deficiency,264,,260-269
264.7,Other ocular manifestations of vitamin A deficiency,264.7,,264
27,Other zoonotic bacterial diseases,27,,020-027
27.8,Other specified zoonotic bacterial diseases,27.8,,27
270-279,OTHER METABOLIC AND IMMUNITY DISORDERS,270-279,,240-279
272,Disorders of lipoid metabolism,272,,270-279
272.3,Hyperchylomicronemia,272.3,,272
274,Gout,274,,270-279
274.1,Gouty nephropathy,274.1,,274
274.19,Other,274.19,,274.1
275,Disorders of mineral metabolism,275,,270-279
275.3,Disorders of phosphorus metabolism,275.3,,275
277,Other and unspecified disorders of metabolism,277,,270-279
277.6,Other deficiencies of circulating enzymes,277.6,,277
290-299,PSYCHOSES,290-299,,290-319
290-319,MENTAL DISORDERS,290-319,,
298,Other nonorganic psychoses,298,,290-299
298.9,Unspecified psychosis,298.9,,298
300,"Anxiety, dissociative and somatoform disorders",300,,300-316
300-316,"NEUROTIC DISORDERS, PERSONALITY DISORDERS, AND OTHER NONPSYCHOTIC MENTAL DISORDERS",300-316,,290-319
300.2,Phobic disorders,300.2,,300
300.21,Agoraphobia with panic disorder,300.21,,300.2
302,Sexual and gender identity disorders,302,,300-316
302.7,Psychosexual dysfunction,302.7,,302
302.72,With inhibited sexual excitement,302.72,,302.7
306,Physiological malfunction arising from mental factors,306,,300-316
306.5,Genitourinary,306.5,,306
306.51,Psychogenic vaginismus,306.51,,306.5
306.6,Endocrine,306.6,,306
307,"Special symptoms or syndromes, not elsewhere classified",307,,300-316
307.2,Tics,307.2,,307
307.21,Transient tic disorder,307.21,,307.2
307.7,Encopresis,307.7,,307
307.9,"Other and unspecified special symptoms or syndromes, not elsewhere classified",307.9,,307
308,Acute reaction to stress,308,,300-316
308.3,Other acute reactions to stress,308.3,,308
309,Adjustment reaction,309,,300-316
309.2,With predominant disturbance of other emotions,309.2,,309
309.29,Other,309.29,,309.2
309.8,Other specified adjustment reactions,309.8,,309
