icd_mapping_id,description,fdn_icd10,fdn_icd9
V733-Z115,Rubella,Z115,V73.3
220-D27,Benign neoplasm of ovary,D27,220
0552-B053,Postmeasles otitis media,B053,55.2
42293-I408,Toxic myocarditis,I408,422.93
37581-H046,Granuloma of lacrimal passages,H046,375.81
3698-H546,"Unqualified visual loss, one eye",H546,369.8
27419-M1039,Other,M1039,274.19
1983-C793,Brain and spinal cord,C793,198.3
9624-T388,Anterior pituitary hormones,T388,962.4
1726-C436,"Upper limb, including shoulder",C436,172.6
V1062-Z856,Myeloid leukemia,Z856,V10.62
73344-M8707,Talus,M8707,733.44
0729-B269,Mumps without mention of complication,B269,72.9
07043-B172,Hepatitis E with hepatic coma,B172,70.43
1876-C631,Spermatic cord,C631,187.6
36902-H540,Better eye: near-total impairment; lesser eye: not further specified,H540,369.02
37213-H104,Vernal conjunctivitis,H104,372.13
8671-S3720,"Bladder and urethra, with open wound into cavity",S3720,867.1
V193-Z835,Other ear disorders,Z835,V19.3
061-A90,Dengue,A90,61
9802-T512,Isopropyl alcohol,T512,980.2
36322-H308,Harada's disease,H308,363.22
9621-T387,Androgens and anabolic congeners,T387,962.1
7323-M923,Juvenile osteochondrosis of upper extremity,M923,732.3
36918-H541,Better eye: moderate impairment; lesser eye: profound impairment,H541,369.18
7821-R21,Rash and other nonspecific skin eruption,R21,782.1
V1045-Z854,"Male genital organ, unspecified",Z854,V10.45
3869-H819,Unspecified vertiginous syndromes and labyrinthine disorders,H819,386.9
00847-A048,Other gram-negative bacteria,A048,8.47
30981-F431,Posttraumatic stress disorder,F431,309.81
73392-M9429,Chondromalacia,M9429,733.92
5551-K501,Large intestine,K501,555.1
38658-H832,Other forms and combinations,H832,386.58
30721-F950,Transient tic disorder,F950,307.21
36815-H538,Other visual distortions and entoptic phenomena,H538,368.15
541-K37,"Appendicitis, unqualified",K37,541
1981-C791,Other urinary organs,C791,198.1
1849-C579,"Female genital organ, site unspecified",C579,184.9
6242-N908,Hypertrophy of clitoris,N908,624.2
1907-C695,Lacrimal duct,C695,190.7
59382-N288,Ureteral fistula,N288,593.82
5645-K591,Functional diarrhea,K591,564.5
V220-Z340,Supervision of normal first pregnancy,Z340,V22.0
38011-H603,Acute infection of pinna,H603,380.11
0911-A511,Primary anal syphilis,A511,91.1
7903-R780,Excessive blood level of alcohol,R780,790.3
9519-S049,Injury to unspecified cranial nerve,S049,951.9
2441-E890,Other postablative hypothyroidism,E890,244.1
6228-N888,Other specified noninflammatory disorders of cervix,N888,622.8
1542-C211,Anal canal,C211,154.2
9694-T424,Benzodiazepine-based tranquilizers,T424,969.4
4272-I479,"Paroxysmal tachycardia, unspecified",I479,427.2
V602-Z598,Inadequate material resources,Z598,V60.2
V491-Z878,Mechanical problems with limbs,Z878,V49.1
59655-N318,Detrusor sphincter dyssynergia,N318,596.55
99677-T848,Due to internal joint prosthesis,T848,996.77
36217-H350,Other intraretinal microvascular abnormalities,H350,362.17
1408-C008,Other sites of lip,C008,140.8
09489-A521,Other,A521,94.89
37121-H182,Idiopathic corneal edema,H182,371.21
42299-I408,Other,I408,422.99
1569-C249,"Biliary tract, part unspecified",C249,156.9
37221-H105,Angular blepharoconjunctivitis,H105,372.21
1968-C778,Lymph nodes of multiple sites,C778,196.8
6243-N906,Hypertrophy of labia,N906,624.3
3868-H838,Other disorders of labyrinth,H838,386.8
7861-R061,Stridor,R061,786.1
V692-Z725,High-risk sexual behavior,Z725,V69.2
6013-N413,Prostatocystitis,N413,601.3
3139-F939,Unspecified emotional disturbance of childhood or adolescence,F939,313.9
61172-N63,Lump or mass in breast,N63,611.72
5845-N170,With lesion of tubular necrosis,N170,584.5
36602-H260,Posterior subcapsular polar cataract,H260,366.02
38104-H651,Acute allergic serous otitis media,H651,381.04
V825-Z138,Chemical poisoning and other contamination,Z138,V82.5
1439-C039,"Gum, unspecified",C039,143.9
V416-R13,Problems with swallowing and mastication,R13,V41.6
V682-Z048,Request for expert evidence,Z048,V68.2
33522-G122,Progressive bulbar palsy,G122,335.22
9471-T271,"Larynx, trachea, and lung",T271,947.1
37569-H046,Other,H046,375.69
31501-F810,Alexia,F810,315.01
7931-R91,Lung field,R91,793.1
6237-N842,Polyp of vagina,N842,623.7
38302-H700,Acute mastoiditis with other complications,H700,383.02
V7388-Z118,Other specified chlamydial diseases,Z118,V73.88
9754-T483,Antitussives,T483,975.4
36912-H541,Better eye: severe impairment; lesser eye: total impairment,H541,369.12
51881-J969,Acute respiratory failure,J969,518.81
1145-B382,"Pulmonary coccidioidomycosis, unspecified",B382,114.5
37144-H184,Other calcerous degenerations of cornea,H184,371.44
0738-A70,With unspecified complication,A70,73.8
5232-K060,Gingival recession,K060,523.2
7081-L501,Idiopathic urticaria,L501,708.1
3814-H659,"Nonsuppurative otitis media, not specified as acute or chronic",H659,381.4
1329-B852,"Pediculosis, unspecified",B852,132.9
36619-H258,Other and combined forms of senile cataract,H258,366.19
98989-T658,Other,T658,989.89
4785-J383,Other diseases of vocal cords,J383,478.5
36653-H264,"After-cataract, obscuring vision",H264,366.53
84519-S936,Other,S936,845.19
6968-L408,Other,L408,696.8
V761-Z123,Breast,Z123,V76.1
7892-R161,Splenomegaly,R161,789.2
2776-E880,Other deficiencies of circulating enzymes,E880,277.6
38014-H602,Malignant otitis externa,H602,380.14
37635-H052,Pulsating exophthalmos,H052,376.35
9803-T513,Fusel oil,T513,980.3
9541-S345,Other sympathetic,S345,954.1
37953-H55,Visual deprivation nystagmus,H55,379.53
V0262-Z225,Hepatitis C carrier,Z225,V02.62
7393-M999,Lumbar region,M999,739.3
V019-Z209,Unspecified communicable disease,Z209,V01.9
7049-L739,Unspecified disease of hair and hair follicles,L739,704.9
5968-N328,Other specified disorders of bladder,N328,596.8
36907-H540,Better eye: profound impairment; lesser eye: near-total impairment,H540,369.07
2723-E783,Hyperchylomicronemia,E783,272.3
87332-S0122,Nasal cavity,S0122,873.32
83903-S1313,Third cervical vertebra,S1313,839.03
1809-C539,"Cervix uteri, unspecified",C539,180.9
09835-N72,"Gonococcal cervicitis, chronic",N72,98.35
2163-D223,Skin of other and unspecified parts of face,D223,216.3
30272-F520,With inhibited sexual excitement,F520,302.72
V593-Z523,Bone marrow,Z523,V59.3
30989-F432,Other,F432,309.89
7335-M8539,Osteitis condensans,M8539,733.5
V143-Z883,Other anti-infective agent,Z883,V14.3
1277-B818,Other specified intestinal helminthiasis,B818,127.7
6338-O008,Other ectopic pregnancy,O008,633.8
6259-N949,Unspecified symptom associated with female genital organs,N949,625.9
V139-Z878,Unspecified disease,Z878,V13.9
80225-S0265,Angle of jaw,S0265,802.25
9243-S902,Toe,S902,924.3
37753-H474,Associated with vascular disorders,H474,377.53
9712-T449,Sympathomimetics [adrenergics],T449,971.2
0278-A288,Other specified zoonotic bacterial diseases,A288,27.8
2253-D334,Spinal cord,D334,225.3
95206-S1411,C 5 -C 7 level with complete lesion of spinal cord,S1411,952.06
38102-H651,Acute mucoid otitis media,H651,381.02
V744-Z112,Bacterial conjunctivitis,Z112,V74.4
5539-K469,Hernia of unspecified site,K469,553.9
2211-D281,Vagina,D281,221.1
42741-I490,Ventricular fibrillation,I490,427.41
7672-P134,Fracture of clavicle,P134,767.2
3083-F438,Other acute reactions to stress,F438,308.3
7863-R042,Hemoptysis,R042,786.3
0062-A062,Amebic nondysenteric colitis,A062,6.2
37958-H55,Deficiencies of smooth pursuit movements,H55,379.58
8603-S271,Hemothorax with open wound into thorax,S271,860.3
3522-G521,Other disorders of glossopharyngeal [9th] nerve,G521,352.2
8716-S055,Penetration of eyeball with (nonmagnetic) foreign body,S055,871.6
2127-D151,Heart,D151,212.7
V559-Z439,Unspecified artificial opening,Z439,V55.9
438-I698,Late effects of cerebrovascular disease,I698,438
V7285-Z018,Other specified examination,Z018,V72.85
V414-R478,Problems with voice production,R478,V41.4
36331-H310,Solar retinopathy,H310,363.31
6183-N813,"Uterovaginal prolapse, complete",N813,618.3
3129-F919,Unspecified disturbance of conduct,F919,312.9
9553-S442,Radial nerve,S442,955.3
9273-S670,Finger(s),S670,927.3
0021-A011,Paratyphoid fever A,A011,2.1
V166-Z806,Leukemia,Z806,V16.6
5185-J951,Pulmonary insufficiency following trauma and surgery,J951,518.5
82133-S7243,Supracondylar fracture of femur,S7243,821.33
0471-A870,ECHO virus,A870,47.1
2219-D289,"Female genital organ, site unspecified",D289,221.9
5989-N359,"Urethral stricture, unspecified",N359,598.9
4564-I861,Scrotal varices,I861,456.4
37443-H025,Abnormal innervation syndrome,H025,374.43
1208-B658,Other specified schistosomiasis,B658,120.8
37483-H028,Elephantiasis of eyelid,H028,374.83
9899-T659,"Unspecified substance, chiefly nonmedicinal as to source",T659,989.9
1714-C493,Thorax,C493,171.4
82031-V2919,Intertrochanteric section,V2919,820.31
1404-C004,"Lower lip, inner aspect",C004,140.4
938-T189,"Foreign body in digestive system, unspecified",T189,938
2454-E064,Iatrogenic thyroiditis,E064,245.4
2534-E230,Other anterior pituitary disorders,E230,253.4
80671-S343,With complete cauda equina lesion,S343,806.71
9671-T426,Chloral hydrate group,T426,967.1
32081-G008,Anaerobic meningitis,G008,320.81
38021-H604,Cholesteatoma of external ear,H604,380.21
9222-S301,Abdominal wall,S301,922.2
V273-Z373,"Twins, one liveborn and one stillborn",Z373,V27.3
7351-M203,Hallux varus (acquired),M203,735.1
36633-H262,Cataract with neovascularization,H262,366.33
9552-S640,Ulnar nerve,S640,955.2
36371-H314,Serous choroidal detachment,H314,363.71
4721-J312,Chronic pharyngitis,J312,472.1
7042-L679,Abnormalities of the hair,L679,704.2
6178-N808,Endometriosis of other specified sites,N808,617.8
7718-P398,Other infections specific to the perinatal period,P398,771.8
8912-S810,With tendon involvement,S810,891.2
7845-R478,Other speech disturbance,R478,784.5
2365-D400,Prostate,D400,236.5
3766-H055,Retained (old) foreign body following penetrating wound of orbit,H055,376.6
37024-H161,Photokeratitis,H161,370.24
1288-B838,Other specified helminthiasis,B838,128.8
55201-K413,"Unilateral or unspecified, recurrent",K413,552.01
0521-B012,Varicella (hemorrhagic) pneumonitis,B012,52.1
V1022-Z852,"Nasal cavities, middle ear, and accessory sinuses",Z852,V10.22
9723-T442,Ganglion-blocking agents,T442,972.3
37155-H185,Macular corneal dystrophy,H185,371.55
V1029-Z852,Other,Z852,V10.29
36917-H541,Better eye: moderate impairment; lesser eye: near-total impairment,H541,369.17
00863-A081,Norwalk virus,A081,8.63
1429-C089,"Salivary gland, unspecified",C089,142.9
V624-Z605,Social maladjustment,Z605,V62.4
1218-B668,Other specified trematode infections,B668,121.8
37143-H184,Band-shaped keratopathy,H184,371.43
1363-B59,Pneumocystosis,B59,136.3
0723-B263,Mumps pancreatitis,B263,72.3
5274-K114,Fistula,K114,527.4
1422-C081,Sublingual gland,C081,142.2
8749-S1180,"Other and unspecified parts, complicated",S1180,874.9
37411-H021,Senile ectropion,H021,374.11
3878-H808,Other otosclerosis,H808,387.8
82021-S7211,Intertrochanteric section,S7211,820.21
3679-H527,Unspecified disorder of refraction and accommodation,H527,367.9
2593-E342,"Ectopic hormone secretion, not elsewhere classified",E342,259.3
9946-T753,Motion sickness,T753,994.6
99666-T845,Due to internal joint prosthesis,T845,996.66
80612-S1413,C 1 -C 4 level with anterior cord syndrome,S1413,806.12
37522-H042,Epiphora due to insufficient drainage,H042,375.22
80614-S1413,C 1 -C 4 level with other specified spinal cord injury,S1413,806.14
72141-M4714,Thoracic region,M4714,721.41
36112-H331,Bullous retinoschisis,H331,361.12
1882-C672,Lateral wall of urinary bladder,C672,188.2
1909-C699,"Eye, part unspecified",C699,190.9
7611-P011,Premature rupture of membranes,P011,761.1
5829-N039,Chronic glomerulonephritis with unspecified pathological lesion in kidney,N039,582.9
7354-M204,Other hammer toe (acquired),M204,735.4
7243-M543,Sciatia,M543,724.3
7993-R53,"Debility, unspecified",R53,799.3
1119-B369,"Dermatomycosis, unspecified",B369,111.9
V801-Z135,Glaucoma,Z135,V80.1
1923-C701,Spinal meninges,C701,192.3
1235-B701,Sparganosis [larval diphyllobothriasis],B701,123.5
7094-L923,Foreign body granuloma of skin and subcutaneous tissue,L923,709.4
55302-K412,Bilateral (not specified as recurrent),K412,553.02
2159-D219,Site unspecified,D219,215.9
37702-H471,Papilledema associated with decreased ocular pressure,H471,377.02
36211-H350,Hypertensive retinopathy,H350,362.11
36111-H331,Flat retinoschisis,H331,361.11
95201-S1411,C 1 -C 4 level with complete lesion of spinal cord,S1411,952.01
7816-R291,Meningismus,R291,781.6
2753-E833,Disorders of phosphorus metabolism,E833,275.3
3579-G629,Unspecified,G629,357.9
7934-R933,Gastrointestinal tract,R933,793.4
37722-H473,Crater-like holes of optic disc,H473,377.22
1499-C069,Ill-defined,C069,149.9
79419-R941,Other,R941,794.19
9676-T426,"Mixed sedatives, not elsewhere classified",T426,967.6
1918-C718,Other parts of brain,C718,191.8
1009-A279,"Leptospirosis, unspecified",A279,100.9
9565-S748,Other specified nerve(s) of pelvic girdle and lower limb,S748,956.5
03689-A398,Other,A398,36.89
1873-C602,Body of penis,C602,187.3
37313-H000,Abscess of eyelid,H000,373.13
3239-G049,"Unspecified cause of encephalitis, myelitis, and encephalomyelitis",G049,323.9
7201-M4609,Spinal enthesopathy,M4609,720.1
82022-S722,Subtrochanteric section,S722,820.22
81313-S5221,Monteggia's fracture,S5221,813.13
36752-H525,Total or complete internal ophthalmoplegia,H525,367.52
7079-L984,Chronic ulcer of unspecified site,L984,707.9
1215-B668,Metagonimiasis,B668,121.5
3201-G001,Pneumococcal meningitis,G001,320.1
6233-N896,Tight hymenal ring,N896,623.3
0049-A039,"Shigellosis, unspecified",A039,4.9
6869-L089,Unspecified local infection of skin and subcutaneous tissue,L089,686.9
38022-H605,Other acute otitis externa,H605,380.22
7871-R12,Heartburn,R12,787.1
4011-I10,Benign,I10,401.1
734-M214,Flat foot,M214,734
9741-T502,Purine derivative diuretics,T502,974.1
82101-S723,Shaft,S723,821.01
3066-E349,Endocrine,E349,306.6
36105-H330,"Recent detachment, total or subtotal",H330,361.05
4351-G450,Vertebral artery syndrome,G450,435.1
36861-H536,Congenital night blindness,H536,368.61
1214-B665,Fasciolopsiasis,B665,121.4
99701-G978,Central nervous system complication,G978,997.01
9595-S699,Finger,S699,959.5
1239-B719,"Cestode infection, unspecified",B719,123.9
47822-J390,Parapharyngeal abscess,J390,478.22
1177-B469,Zygomycosis [Phycomycosis or Mucormycosis],B469,117.7
0998-A638,Other specified venereal diseases,A638,99.8
V024-Z222,Diphtheria,Z222,V02.4
80842-S3281,Ischium,S3281,808.42
86343-S3653,Descending [left] colon,S3653,863.43
9302-T158,Foreign body in lacrimal punctum,T158,930.2
3077-F981,Encopresis,F981,307.7
1174-B470,Mycotic mycetomas,B470,117.4
8719-S056,Unspecified open wound of eyeball,S056,871.9
1573-C253,Pancreatic duct,C253,157.3
36014-H162,Ophthalmia nodosa,H162,360.14
138-B91,Late effects of acute poliomyelitis,B91,138
V131-Z875,Trophoblastic disease,Z875,V13.1
1369-B89,Unspecified infectious and parasitic diseases,B89,136.9
37272-H113,Conjunctival hemorrhage,H113,372.72
7109-M359,Unspecified diffuse connective tissue disease,M359,710.9
2334-D075,Prostate,D075,233.4
9931-T701,"Barotrauma, sinus",T701,993.1
37631-H052,Constant exophthalmos,H052,376.31
99696-T871,"Lower extremity, other and unspecified",T871,996.96
