Code,Name,Street,City,State,Zip,TypeOfPayments,URL
VitalyLife,VitalyLife,,,,,Medicaid,
ACME Insurance,ACME Insurance,"1690 S Congress Ave ",Delray Beach,FL,33445,Medicaid,https://acmeinsuranceagency.com/
Aetna,Aetna,151 Farmington Avenue,Hartford,CT,06156,Reimbursement,aetna.com
AllState,AllState,3100 Sanders Road,Nortbrook,IL,,Reimbursement,allstate.com
AmeriHealth,AmeriHealth,100 Stevens Drive,Philadelphia,PA,,Medicaid,amerihealth.com
Assurant,Assurant,"55 Broadway, Suite 2901",New York,NY,10006,Reimbursement,assurant.com
BCBS,BCBS,200 E. Randolph,Chicago,IL,60601,Medicaid,bcbs.com
Cigna,Cigna,900 Cottage Grove Road,Bloomfield,CT,,FFS,cigna.com
Humana,Humana,500 West Main Street,Louisville,KY,,FFS,humana.com
Humana,Humana,500 W Main Street,Louisville,KY,,Medicaid,humana.com
Moda Health,Moda Health,601 SW 2nd Ave,Portland,OR,97204,Medicare,modahealth.com
Perfect_Payers,Perfect Payers,920 W Main St,League City,TX,77573,Medicare,
