ID,Name
00000X,'--
A0000X,Adolescent Medicine
A0005X,Ambulatory Family Planning Facility
A0006X,Ambulatory Fertility Facility
A0100X,Aerospace Medicine
A0200X,Allergy
A0201X,Allergy & Immunology
A0400X,Addiction (Substance Use Disorder)
A0401X,Addiction Medicine
A0505X,Adult Medicine
A0600X,Adult Day Care
A0620X,Adult Care Home
A0625X,"Assisted Living, Mental Illness"
A0630X,"Assisted Living, Behavioral Disturbances"
A0650X,Attendant Care Provider
A0700X,Adult Development & Aging
A0800X,Air Transport
A0900X,Amputee
A1903X,Ambulatory Surgical
A2000X,Administrator
A2100X,Acute Care
A2200X,Adult Health
A2300X,Athletic Trainer
A2400X,Assistive Technology Practitioner
A2500X,Assistive Technology Supplier
A2600X,"Art, Medical"
A2700X,Audiology Assistant
A2800X,Assistant Record Technician
A3000X,Augmentative Communication
B0000X,Blood Banking
B0001X,Blood Banking & Transfusion Medicine
B0002X,Bariatric Medicine
B0040X,Behavioral Neurology & Neuropsychiatry
B0100X,Body Imaging
B0102X,Bone Densitometry
B0200X,Cognitive & Behavioral
B0301X,Biomedical Engineering
B0302X,Biomedical Photographer
B0400X,Birthing
B0500X,Biochemist
B0600X,Biostatistician
C0000X,Cardiovascular Disease
C0001X,Clinical Cardiac Electrophysiology
C0002X,Clinic Pharmacy
C0003X,Community/Retail Pharmacy
C0004X,Compounding Pharmacy
C0005X,"Clinical Laboratory Director, Non-physician"
C0006X,Clinical Pathology
C0007X,Surgical Assistant
C0008X,Child Abuse Pediatrics
C0050X,Critical Access Hospital
C0060X,Critical Access
C0200X,Critical Care Medicine
C0205X,Critical Care
C0300X,Clinical Cytogenetic
C0400X,Case Management
C0500X,Cytopathology
C0700X,Clinical
C0800X,Contact Lens
C0801X,Contact Lens Fitter
C0802X,Corneal and Contact Management
C1000X,Chemistry
C1101X,Cardiovascular-Interventional Technology
C1106X,Cardiac-Interventional Technology
C1400X,College Health
C1500X,Community Health
C1501X,Community Health/Public Health
C1600X,Continuing Education/Staff Development
C1800X,Corporate Health
C1900X,Counseling
C2000X,Children
C2100X,Continence Care
C2200X,Clinical Child & Adolescent
C2300X,Chronic Care
C2600X,Cardiopulmonary
C2700X,Cytotechnology
C2901X,Cardiovascular Invasive Specialist
C2903X,Vascular Specialist
C3200X,Customized Equipment
C3301X,"Coding Specialist, Hospital Based"
C3302X,"Coding Specialist, Physician Office Based"
C3401X,Computed Tomography
C3402X,Radiography
C3500X,Cardiac Rehabilitation
D0000X,Dental
D0001X,Dental Public Health
D0003X,Diagnostic Neuroimaging
D0004X,Dentist Anesthesiologist
D0101X,MOHS-Micrographic Surgery
D0400X,Diabetes Educator
D0500X,Darkroom
D0900X,Dermatopathology
D1100X,"Dialysis, Peritoneal"
D1200X,Dialysis Equipment & Supplies
D1600X,Developmental Disabilities
E0001X,Environmental Modification
E0002X,Emergency Care
E0003X,Emergency
E0004X,Emergency Medical Services
E0005X,Undersea and Hyperbaric Medicine
E0101X,"Endocrinology, Diabetes & Metabolism"
E0102X,Reproductive Endocrinology
E0200X,Endodontics
E0500X,EEG
E0600X,Electroneurodiagnostic
E0700X,End-Stage Renal Disease (ESRD) Treatment
E0800X,Endoscopy
E0900X,Enterostomal Therapy
E1000X,Educational
E1100X,Exercise & Sports
E1200X,Ergonomics
E1300X,"Electrophysiology, Clinical"
E1400X,Ethics
F0000X,Family
F0001X,Family Health
F0002X,"Feeding, Eating & Swallowing"
F0040X,Female Pelvic Medicine and Reconstructive Surgery
F0050X,"Family Planning, Non-Surgical"
F0200X,Forensic
F0201X,Forensic Pathology
F0202X,Forensic Psychiatry
F0300X,Flight
F0400X,Federally Qualified Health Center (FQHC)
G0000X,General Practice
G0001X,General Practice
G0100X,Gastroenterology
G0201X,Clinical Genetics (M.D.)
