"ID","Specialty   (Foreign ID)","HCP   (Publisher ID)","HCP   (Source ID)"
"1.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","1"
"1.HEMATOLOGY_ONCOLOGY","HEMATOLOGY_ONCOLOGY","HCO_HCP","1"
"1.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","1"
"10.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","10"
"10.ORTHOPAEDIC_SURGERY","ORTHOPAEDIC_SURGERY","HCO_HCP","10"
"1000.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","692"
"1000.NEUROLOGICAL_SURGERY","NEUROLOGICAL_SURGERY","HCO_HCP","692"
"1001.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","693"
"1001.CARDIOVASCULAR_DISEASE","CARDIOVASCULAR_DISEASE","HCO_HCP","693"
"1001.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","693"
"1002.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","694"
"1002.ORTHOPAEDIC_SURGERY","ORTHOPAEDIC_SURGERY","HCO_HCP","694"
"1003.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","695"
"1003.CLINICAL_CARDIAC_ELECTROPHYSIOLOGY","CLINICAL_CARDIAC_ELECTROPHYSIOLOGY","HCO_HCP","695"
"1003.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","695"
"1004.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","696"
"1004.NEUROLOGY","NEUROLOGY","HCO_HCP","696"
"1004.PSYCHIATRY_NEUROLOGY","PSYCHIATRY_NEUROLOGY","HCO_HCP","696"
"1006.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","698"
"1006.PEDIATRICS","PEDIATRICS","HCO_HCP","698"
"1006.PEDIATRIC_PULMONOLOGY","PEDIATRIC_PULMONOLOGY","HCO_HCP","698"
"101.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","927"
"101.CARDIOVASCULAR_DISEASE","CARDIOVASCULAR_DISEASE","HCO_HCP","927"
"101.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","927"
"1012.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","78"
"1012.CLINICAL_GENETICS_(M.D.)","CLINICAL_GENETICS_(M.D.)","HCO_HCP","78"
"1012.MEDICAL_GENETICS","MEDICAL_GENETICS","HCO_HCP","78"
"1013.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","780"
"1013.THORACIC_SURGERY_(CARDIOTHORACIC_VASCULAR_SURGERY)","THORACIC_SURGERY_(CARDIOTHORACIC_VASCULAR_SURGERY)","HCO_HCP","780"
"1014.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","781"
"1014.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","781"
"1014.PULMONARY_DISEASE","PULMONARY_DISEASE","HCO_HCP","781"
"1015.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","786"
"1015.THORACIC_SURGERY_(CARDIOTHORACIC_VASCULAR_SURGERY)","THORACIC_SURGERY_(CARDIOTHORACIC_VASCULAR_SURGERY)","HCO_HCP","786"
"1016.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","787"
"1016.NEUROLOGY","NEUROLOGY","HCO_HCP","787"
"1016.PSYCHIATRY_NEUROLOGY","PSYCHIATRY_NEUROLOGY","HCO_HCP","787"
"1017.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","789"
"1017.NEUROLOGY","NEUROLOGY","HCO_HCP","789"
"1017.PSYCHIATRY_NEUROLOGY","PSYCHIATRY_NEUROLOGY","HCO_HCP","789"
"1019.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","790"
"1019.CARDIOVASCULAR_DISEASE","CARDIOVASCULAR_DISEASE","HCO_HCP","790"
"1019.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","790"
"102.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","927"
"102.CARDIOVASCULAR_DISEASE","CARDIOVASCULAR_DISEASE","HCO_HCP","927"
"102.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","927"
"1020.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","791"
"1020.HEMATOLOGY_ONCOLOGY","HEMATOLOGY_ONCOLOGY","HCO_HCP","791"
"1020.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","791"
"1021.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","792"
"1021.CARDIOVASCULAR_DISEASE","CARDIOVASCULAR_DISEASE","HCO_HCP","792"
"1021.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","792"
"1022.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","793"
"1022.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","793"
"1022.NEPHROLOGY","NEPHROLOGY","HCO_HCP","793"
"1023.ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","ALLOPATHIC_OSTEOPATHIC_PHYSICIANS","HCO_HCP","794"
"1023.HEMATOLOGY","HEMATOLOGY","HCO_HCP","794"
"1023.INTERNAL_MEDICINE","INTERNAL_MEDICINE","HCO_HCP","794"
