"Publisher ID","Source ID","Trade Name","Product Name","Generic Name","NDC Code","Indication","Price","Therapeautic Area   (Foreign ID)","Definition","Image","url","Sponsor   (Foreign ID)","Form   (Foreign ID)","Administration   (Foreign ID)"
"IMP","28721","ACCRETROPIN","ACCRETROPIN","SOMATROPIN","3542","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACCRETROPIN","","https://ACCRETROPIN.com","1979","1147","10066"
"IMP","28726","ACEBUTOLOL HYDROCHLORIDE","ACEBUTOLOL HYDROCHLORIDE","ACEBUTOLOL HYDROCHLORIDE","3480","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACEBUTOLOL","","https://ACEBUTOLOL HYDROCHLORIDE.com","1942","1181","10071"
"IMP","28730","ACETAMINOPHEN","ACETAMINOPHEN","ACETAMINOPHEN","2765","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACETAMINOPHEN","","https://ACETAMINOPHEN.com","1234","1120","10020"
"IMP","28737","ACETAZOLAMIDE SODIUM","ACETAZOLAMIDE SODIUM","ACETAZOLAMIDE SODIUM","3490","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACETAZOLAMIDE","","https://ACETAZOLAMIDE SODIUM.com","1927","1122","10066"
"IMP","28741","ACETOHEXAMIDE","ACETOHEXAMIDE","ACETOHEXAMIDE","2795","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACETOHEXAMIDE","","https://ACETOHEXAMIDE.com","1265","1168","10071"
"IMP","28747","ACHROMYCIN V","ACHROMYCIN V","TETRACYCLINE HYDROCHLORIDE","3189","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACHROMYCIN","","https://ACHROMYCIN V.com","1651","1171","10071"
"IMP","28748","ACILAC","ACILAC","LACTULOSE","3073","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACILAC","","https://ACILAC.com","1581","1193","10067"
"IMP","28757","ACTIFED","ACTIFED","PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE","2552","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACTIFED","","https://ACTIFED.com","1032","1214","10071"
"IMP","28760","ACTIN-N","ACTIN-N","NITROFURAZONE","3059","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACTIN-N","","https://ACTIN-N.com","1505","1129","10005"
"IMP","28765","ACTONEL","ACTONEL","RISEDRONATE SODIUM","3394","N/A","$ unknown","Pain Management","https://en.wikipedia.org/wiki/ACTONEL","","https://ACTONEL.com","1864","1175","10071"
