Maintenance schedule id," maintenance_schedule",spare_part,quantity_used
1,SCH-001,1,2
2,SCH-001,2,1
3,SCH-002,3,1
4,SCH-003,4,2
5,SCH-003,5,1
6,SCH-003,6,1
7,SCH-004,7,2
8,SCH-005,8,1
9,SCH-005,9,2
10,SCH-006,10,1
11,SCH-007,1,1
12,SCH-007,2,2
13,SCH-008,3,1
14,SCH-009,4,2
15,SCH-010,5,1
16,SCH-010,6,1
17,SCH-011,7,2
18,SCH-012,8,1
19,SCH-012,9,2
20,SCH-013,10,1
21,SCH-014,1,2
22,SCH-014,2,1
23,SCH-015,3,1
24,SCH-015,4,2
25,SCH-016,5,1
26,SCH-017,6,1
27,SCH-017,7,2
28,SCH-018,8,1
29,SCH-019,9,2
30,SCH-019,10,1
31,SCH-020,1,1
32,SCH-021,2,2
33,SCH-021,3,1
34,SCH-022,4,2
35,SCH-023,5,1
36,SCH-023,6,1
37,SCH-024,7,2
38,SCH-025,8,1
39,SCH-025,9,2
40,SCH-026,10,1
41,SCH-027,1,2
42,SCH-027,2,1
43,SCH-028,3,1
44,SCH-028,4,2
45,SCH-029,5,1
46,SCH-030,6,1
47,SCH-030,7,2
48,SCH-031,8,1
49,SCH-032,9,2
50,SCH-032,10,1
51,SCH-033,1,1
52,SCH-034,2,2
53,SCH-034,3,1
54,SCH-035,4,2
55,SCH-036,5,1
56,SCH-036,6,1
57,SCH-037,7,2
58,SCH-038,8,1
59,SCH-038,9,2
60,SCH-039,10,1
61,SCH-040,1,2
62,SCH-040,2,1
63,SCH-041,3,1
64,SCH-041,4,2
65,SCH-042,5,1
66,SCH-043,6,1
67,SCH-043,7,2
68,SCH-044,8,1
69,SCH-045,9,2
70,SCH-045,10,1
71,SCH-046,1,1
72,SCH-047,2,2
73,SCH-047,3,1
74,SCH-048,4,2
75,SCH-049,5,1
76,SCH-049,6,1
77,SCH-050,7,2
78,SCH-051,8,1
79,SCH-051,9,2
80,SCH-052,10,1
81,SCH-053,1,2
82,SCH-053,2,1
83,SCH-054,3,1
84,SCH-054,4,2
85,SCH-055,5,1
86,SCH-056,6,1
87,SCH-056,7,2
88,SCH-057,8,1
89,SCH-058,9,2
90,SCH-058,10,1
91,SCH-059,1,1
92,SCH-060,2,2
93,SCH-060,3,1
94,SCH-061,4,2
95,SCH-062,5,1
96,SCH-062,6,1
97,SCH-063,7,2
98,SCH-064,8,1
99,SCH-064,9,2
100,SCH-065,10,1
101,SCH-066,1,2
102,SCH-066,2,1
103,SCH-067,3,1
104,SCH-067,4,2
105,SCH-068,5,1
106,SCH-069,6,1
107,SCH-069,7,2
108,SCH-070,8,1
109,SCH-071,9,2
110,SCH-071,10,1
111,SCH-072,1,1
112,SCH-073,2,2
113,SCH-073,3,1
114,SCH-074,4,2
115,SCH-075,5,1
116,SCH-075,6,1
