BodyStyleID,BodyStyleCode,BodyStyleName,Description
1,SEDAN,Sedan,"Passenger vehicle with four doors and a separate trunk compartment."
2,COUPE,Coupe,"Passenger vehicle with two doors and a fixed roof body configuration."
3,HATCHBACK,Hatchback,"Passenger vehicle with a rear hatch and integrated cargo area."
4,WAGON,Wagon,"Passenger vehicle with an extended roofline and rear cargo area."
5,CONVERTIBLE,Convertible,"Passenger vehicle with a retractable or removable roof."
6,SUV,Sport Utility Vehicle,"Passenger vehicle with sport utility body style and cargo capacity."
7,PICKUP,Pickup Truck,"Light truck with an open rear cargo bed."
8,VAN,Van,"Vehicle body style designed for passenger, cargo, or commercial transport."
9,MINIVAN,Minivan,"Passenger van with lower profile body design and sliding side doors."
10,MOTORCYCLE,Motorcycle,"Two- or three-wheeled motor vehicle scheduled for coverage."
11,BOX_TRUCK,Box Truck,"Commercial truck with an enclosed cargo box body."
12,TRACTOR,Tractor,"Truck tractor or power unit used to pull trailers."
13,TRAILER,Trailer,"Non-powered vehicle body pulled by another vehicle."
14,BUS,Bus,"Vehicle body designed to transport multiple passengers."
