ChannelCode,ChannelName,ChannelType,CommissionEligibleFlag
DIRECT_ONLINE,Direct Online,DIRECT,FALSE
CALL_CENTER,Call Center,DIRECT,FALSE
CAPTIVE_AGENT,Captive Agent,AGENCY,TRUE
INDEPENDENT_AGENT,Independent Agent,AGENCY,TRUE
BROKER,Broker,BROKER,TRUE
WHOLESALE_BROKER,Wholesale Broker,WHOLESALE,TRUE
BANCASSURANCE,Bancassurance Partner,AFFINITY,TRUE
AFFINITY_GROUP,Affinity Group,AFFINITY,TRUE
EMBEDDED_PARTNER,Embedded Partner,DIGITAL_PARTNER,TRUE
MARKETPLACE,Comparison Marketplace,DIGITAL_MARKETPLACE,TRUE
