PlanCode,PlanName,BillingFrequency,InstallmentCount,AutoPaySupportedFlag,GracePeriodDays
PAY_FULL,Pay in Full,ANNUAL,1,TRUE,0
SEMI_ANNUAL,Two-Pay Semiannual,SEMI_ANNUAL,2,TRUE,10
QUARTERLY,Quarterly Installments,QUARTERLY,4,TRUE,10
MONTHLY_10,Ten-Month Installments,MONTHLY,10,TRUE,10
MONTHLY_12,Twelve-Month Installments,MONTHLY,12,TRUE,10
EFT_MONTHLY,Monthly EFT,MONTHLY,12,TRUE,15
MORTGAGE_ESCROW,Mortgage Escrow Annual,ANNUAL,1,FALSE,0
PAYROLL_DEDUCT,Payroll Deduction,BIWEEKLY,26,TRUE,7
AGENCY_BILL,Agency Bill,STATEMENT,1,FALSE,15
PREMIUM_FINANCE,Premium Finance,FINANCED,12,FALSE,5
