StatusCode,StatusName,StatusCategory,DelinquentIndicator,ActiveFlag
DUE,Due,OPEN,FALSE,TRUE
SCHEDULED,Scheduled,OPEN,FALSE,TRUE
PROCESSING,Processing,IN_PROGRESS,FALSE,TRUE
AUTHORIZED,Authorized,IN_PROGRESS,FALSE,TRUE
PAID,Paid,SETTLED,FALSE,TRUE
PARTIALLY_PAID,Partially Paid,OPEN,FALSE,TRUE
FAILED,Failed,EXCEPTION,FALSE,TRUE
RETURNED,Returned,EXCEPTION,TRUE,TRUE
PAST_DUE,Past Due,DELINQUENT,TRUE,TRUE
DELINQUENT,Delinquent,DELINQUENT,TRUE,TRUE
CHARGEBACK,Chargeback,EXCEPTION,TRUE,TRUE
REFUNDED,Refunded,CLOSED,FALSE,TRUE
CANCELLED,Cancelled,CLOSED,FALSE,TRUE
VOIDED,Voided,CLOSED,FALSE,TRUE
WRITTEN_OFF,Written Off,CLOSED,TRUE,TRUE
