StateProvinceID,StateCode,StateName,CountryCode,Description
1,AL,Alabama,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
2,AK,Alaska,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
3,AZ,Arizona,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
4,AR,Arkansas,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
5,CA,California,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
6,CO,Colorado,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
7,CT,Connecticut,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
8,DE,Delaware,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
9,DC,District of Columbia,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
10,FL,Florida,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
11,GA,Georgia,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
12,HI,Hawaii,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
13,ID,Idaho,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
14,IL,Illinois,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
15,IN,Indiana,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
16,IA,Iowa,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
17,KS,Kansas,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
18,KY,Kentucky,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
19,LA,Louisiana,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
20,ME,Maine,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
21,MD,Maryland,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
22,MA,Massachusetts,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
23,MI,Michigan,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
24,MN,Minnesota,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
25,MS,Mississippi,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
26,MO,Missouri,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
27,MT,Montana,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
28,NE,Nebraska,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
29,NV,Nevada,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
30,NH,New Hampshire,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
31,NJ,New Jersey,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
32,NM,New Mexico,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
33,NY,New York,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
34,NC,North Carolina,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
35,ND,North Dakota,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
36,OH,Ohio,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
37,OK,Oklahoma,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
38,OR,Oregon,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
39,PA,Pennsylvania,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
40,RI,Rhode Island,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
41,SC,South Carolina,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
42,SD,South Dakota,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
43,TN,Tennessee,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
44,TX,Texas,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
45,UT,Utah,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
46,VT,Vermont,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
47,VA,Virginia,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
48,WA,Washington,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
49,WV,West Virginia,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
50,WI,Wisconsin,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
51,WY,Wyoming,US,"U.S. jurisdiction used for rating, taxation, regulatory, and policy reporting."
