InsurancePlanID,PlanCode,PlanName,PlanVersion,EffectiveFrom,EffectiveTo,PlanStatus,FilingReference,FID_InsuranceType,Description
PL001,AUTO-COMM-LIAB-STD,Commercial Auto Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-COMM-LIAB-STD,IT001,"Standard plan for Commercial Auto Liability with core limits, standard deductibles, and default underwriting rules."
PL002,AUTO-COMM-LIAB-ENH,Commercial Auto Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-COMM-LIAB-ENH,IT001,"Enhanced plan for Commercial Auto Liability with higher limits, expanded options, and broader underwriting flexibility."
PL003,AUTO-COMM-PD-STD,Commercial Auto Physical Damage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-COMM-PD-STD,IT002,"Standard plan for Commercial Auto Physical Damage with core limits, standard deductibles, and default underwriting rules."
PL004,AUTO-COMM-PD-ENH,Commercial Auto Physical Damage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-COMM-PD-ENH,IT002,"Enhanced plan for Commercial Auto Physical Damage with higher limits, expanded options, and broader underwriting flexibility."
PL005,AUTO-FLEET-LIAB-STD,Fleet Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-FLEET-LIAB-STD,IT003,"Standard plan for Fleet Liability with core limits, standard deductibles, and default underwriting rules."
PL006,AUTO-FLEET-LIAB-ENH,Fleet Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-FLEET-LIAB-ENH,IT003,"Enhanced plan for Fleet Liability with higher limits, expanded options, and broader underwriting flexibility."
PL007,AUTO-FLEET-PD-STD,Fleet Physical Damage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-FLEET-PD-STD,IT004,"Standard plan for Fleet Physical Damage with core limits, standard deductibles, and default underwriting rules."
PL008,AUTO-FLEET-PD-ENH,Fleet Physical Damage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-FLEET-PD-ENH,IT004,"Enhanced plan for Fleet Physical Damage with higher limits, expanded options, and broader underwriting flexibility."
PL009,AUTO-HNO-LIAB-STD,Hired and Non-Owned Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-HNO-LIAB-STD,IT005,"Standard plan for Hired and Non-Owned Liability with core limits, standard deductibles, and default underwriting rules."
PL010,AUTO-HNO-LIAB-ENH,Hired and Non-Owned Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-HNO-LIAB-ENH,IT005,"Enhanced plan for Hired and Non-Owned Liability with higher limits, expanded options, and broader underwriting flexibility."
PL011,AUTO-HNO-EXCESS-STD,Hired and Non-Owned Excess Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-HNO-EXCESS-STD,IT006,"Standard plan for Hired and Non-Owned Excess Liability with core limits, standard deductibles, and default underwriting rules."
PL012,AUTO-HNO-EXCESS-ENH,Hired and Non-Owned Excess Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-HNO-EXCESS-ENH,IT006,"Enhanced plan for Hired and Non-Owned Excess Liability with higher limits, expanded options, and broader underwriting flexibility."
PL013,AUTO-TRUCK-LIAB-STD,Trucking Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-TRUCK-LIAB-STD,IT007,"Standard plan for Trucking Liability with core limits, standard deductibles, and default underwriting rules."
PL014,AUTO-TRUCK-LIAB-ENH,Trucking Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-TRUCK-LIAB-ENH,IT007,"Enhanced plan for Trucking Liability with higher limits, expanded options, and broader underwriting flexibility."
PL015,AUTO-TRUCK-CARGO-STD,Truckers Cargo Coverage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-TRUCK-CARGO-STD,IT008,"Standard plan for Truckers Cargo Coverage with core limits, standard deductibles, and default underwriting rules."
PL016,AUTO-TRUCK-CARGO-ENH,Truckers Cargo Coverage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-AUTO-TRUCK-CARGO-ENH,IT008,"Enhanced plan for Truckers Cargo Coverage with higher limits, expanded options, and broader underwriting flexibility."
PL017,PROP-BLDG-BASIC-STD,Building Basic Perils Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BLDG-BASIC-STD,IT009,"Standard plan for Building Basic Perils with core limits, standard deductibles, and default underwriting rules."
PL018,PROP-BLDG-BASIC-ENH,Building Basic Perils Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BLDG-BASIC-ENH,IT009,"Enhanced plan for Building Basic Perils with higher limits, expanded options, and broader underwriting flexibility."
PL019,PROP-BLDG-SPEC-STD,Building Special Perils Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BLDG-SPEC-STD,IT010,"Standard plan for Building Special Perils with core limits, standard deductibles, and default underwriting rules."
PL020,PROP-BLDG-SPEC-ENH,Building Special Perils Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BLDG-SPEC-ENH,IT010,"Enhanced plan for Building Special Perils with higher limits, expanded options, and broader underwriting flexibility."
PL021,PROP-BPP-CONT-STD,Business Contents Coverage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BPP-CONT-STD,IT011,"Standard plan for Business Contents Coverage with core limits, standard deductibles, and default underwriting rules."
PL022,PROP-BPP-CONT-ENH,Business Contents Coverage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BPP-CONT-ENH,IT011,"Enhanced plan for Business Contents Coverage with higher limits, expanded options, and broader underwriting flexibility."
PL023,PROP-BPP-EQUIP-STD,Business Equipment Coverage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BPP-EQUIP-STD,IT012,"Standard plan for Business Equipment Coverage with core limits, standard deductibles, and default underwriting rules."
PL024,PROP-BPP-EQUIP-ENH,Business Equipment Coverage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BPP-EQUIP-ENH,IT012,"Enhanced plan for Business Equipment Coverage with higher limits, expanded options, and broader underwriting flexibility."
PL025,PROP-BI-INCOME-STD,Business Income Coverage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BI-INCOME-STD,IT013,"Standard plan for Business Income Coverage with core limits, standard deductibles, and default underwriting rules."
PL026,PROP-BI-INCOME-ENH,Business Income Coverage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BI-INCOME-ENH,IT013,"Enhanced plan for Business Income Coverage with higher limits, expanded options, and broader underwriting flexibility."
