RegulatoryTestID,RegulatoryTestCode,Jurisdiction,TestName,TestDescription,Severity,EffectiveFrom,EffectiveTo,FID_InsurancePlan
RT001,AUTO-COMM-LIAB-STD-MIN-FR,ALL,Commercial Auto Liability Standard Financial Responsibility Minimum Test,"Validates that Commercial Auto Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL001
RT002,AUTO-COMM-LIAB-STD-DISC,ALL,Commercial Auto Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL001
RT003,AUTO-COMM-LIAB-ENH-MIN-FR,ALL,Commercial Auto Liability Enhanced Financial Responsibility Minimum Test,"Validates that Commercial Auto Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL002
RT004,AUTO-COMM-LIAB-ENH-DISC,ALL,Commercial Auto Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL002
RT005,AUTO-COMM-PD-STD-MIN-FR,ALL,Commercial Auto Physical Damage Standard Financial Responsibility Minimum Test,"Validates that Commercial Auto Physical Damage Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL003
RT006,AUTO-COMM-PD-STD-DISC,ALL,Commercial Auto Physical Damage Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL003
RT007,AUTO-COMM-PD-ENH-MIN-FR,ALL,Commercial Auto Physical Damage Enhanced Financial Responsibility Minimum Test,"Validates that Commercial Auto Physical Damage Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL004
RT008,AUTO-COMM-PD-ENH-DISC,ALL,Commercial Auto Physical Damage Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL004
RT009,AUTO-FLEET-LIAB-STD-MIN-FR,ALL,Fleet Liability Standard Financial Responsibility Minimum Test,"Validates that Fleet Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL005
RT010,AUTO-FLEET-LIAB-STD-DISC,ALL,Fleet Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL005
RT011,AUTO-FLEET-LIAB-ENH-MIN-FR,ALL,Fleet Liability Enhanced Financial Responsibility Minimum Test,"Validates that Fleet Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL006
RT012,AUTO-FLEET-LIAB-ENH-DISC,ALL,Fleet Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL006
RT013,AUTO-FLEET-PD-STD-MIN-FR,ALL,Fleet Physical Damage Standard Financial Responsibility Minimum Test,"Validates that Fleet Physical Damage Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL007
RT014,AUTO-FLEET-PD-STD-DISC,ALL,Fleet Physical Damage Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL007
RT015,AUTO-FLEET-PD-ENH-MIN-FR,ALL,Fleet Physical Damage Enhanced Financial Responsibility Minimum Test,"Validates that Fleet Physical Damage Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL008
RT016,AUTO-FLEET-PD-ENH-DISC,ALL,Fleet Physical Damage Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL008
RT017,AUTO-HNO-LIAB-STD-MIN-FR,ALL,Hired and Non-Owned Liability Standard Financial Responsibility Minimum Test,"Validates that Hired and Non-Owned Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL009
