RatingID,RatingPlanCode,RatingPlanName,Version,EffectiveFrom,EffectiveTo,RatingMethod,Notes,FID_InsurancePlan
RAT001,AUTO-COMM-LIAB-STD-RATE,Commercial Auto Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Commercial Auto Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL001
RAT002,AUTO-COMM-LIAB-ENH-RATE,Commercial Auto Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Commercial Auto Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL002
RAT003,AUTO-COMM-PD-STD-RATE,Commercial Auto Physical Damage Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Commercial Auto Physical Damage Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL003
RAT004,AUTO-COMM-PD-ENH-RATE,Commercial Auto Physical Damage Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Commercial Auto Physical Damage Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL004
RAT005,AUTO-FLEET-LIAB-STD-RATE,Fleet Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Fleet Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL005
RAT006,AUTO-FLEET-LIAB-ENH-RATE,Fleet Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Fleet Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL006
RAT007,AUTO-FLEET-PD-STD-RATE,Fleet Physical Damage Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Fleet Physical Damage Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL007
RAT008,AUTO-FLEET-PD-ENH-RATE,Fleet Physical Damage Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Fleet Physical Damage Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL008
RAT009,AUTO-HNO-LIAB-STD-RATE,Hired and Non-Owned Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Hired and Non-Owned Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL009
RAT010,AUTO-HNO-LIAB-ENH-RATE,Hired and Non-Owned Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Hired and Non-Owned Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL010
RAT011,AUTO-HNO-EXCESS-STD-RATE,Hired and Non-Owned Excess Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Hired and Non-Owned Excess Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL011
RAT012,AUTO-HNO-EXCESS-ENH-RATE,Hired and Non-Owned Excess Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Hired and Non-Owned Excess Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL012
RAT013,AUTO-TRUCK-LIAB-STD-RATE,Trucking Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Trucking Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL013
RAT014,AUTO-TRUCK-LIAB-ENH-RATE,Trucking Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Trucking Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL014
RAT015,AUTO-TRUCK-CARGO-STD-RATE,Truckers Cargo Coverage Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Truckers Cargo Coverage Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL015
RAT016,AUTO-TRUCK-CARGO-ENH-RATE,Truckers Cargo Coverage Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Truckers Cargo Coverage Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL016
RAT017,PROP-BLDG-BASIC-STD-RATE,Building Basic Perils Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Building Basic Perils Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL017
RAT018,PROP-BLDG-BASIC-ENH-RATE,Building Basic Perils Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Building Basic Perils Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL018
RAT019,PROP-BLDG-SPEC-STD-RATE,Building Special Perils Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Building Special Perils Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL019
RAT020,PROP-BLDG-SPEC-ENH-RATE,Building Special Perils Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Building Special Perils Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL020
RAT021,PROP-BPP-CONT-STD-RATE,Business Contents Coverage Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Business Contents Coverage Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL021
RAT022,PROP-BPP-CONT-ENH-RATE,Business Contents Coverage Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Business Contents Coverage Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL022
RAT023,PROP-BPP-EQUIP-STD-RATE,Business Equipment Coverage Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Business Equipment Coverage Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL023
RAT024,PROP-BPP-EQUIP-ENH-RATE,Business Equipment Coverage Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Business Equipment Coverage Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL024
RAT025,PROP-BI-INCOME-STD-RATE,Business Income Coverage Standard Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for Business Income Coverage Standard Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL025
RAT026,PROP-BI-INCOME-ENH-RATE,Business Income Coverage Enhanced Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for Business Income Coverage Enhanced Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL026
RAT027,PROP-BI-EXTRA-STD-RATE,Extra Expense Coverage Standard Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for Extra Expense Coverage Standard Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL027
RAT028,PROP-BI-EXTRA-ENH-RATE,Extra Expense Coverage Enhanced Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for Extra Expense Coverage Enhanced Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL028
RAT029,PROP-SPEC-ALLRISK-STD-RATE,Special Form All Risk Property Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Special Form All Risk Property Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL029
RAT030,PROP-SPEC-ALLRISK-ENH-RATE,Special Form All Risk Property Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Special Form All Risk Property Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL030
RAT031,PROP-SPEC-CAT-STD-RATE,Special Form Catastrophe Extension Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Special Form Catastrophe Extension Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL031
RAT032,PROP-SPEC-CAT-ENH-RATE,Special Form Catastrophe Extension Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Special Form Catastrophe Extension Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL032
RAT033,PA-STD-LIAB-STD-RATE,Personal Auto Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Personal Auto Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL033
RAT034,PA-STD-LIAB-ENH-RATE,Personal Auto Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Personal Auto Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL034
