FormEndorsementID,FormCode,FormNumber,FormTitle,FormType,EditionDate,JurisdictionState,EffectiveFrom,EffectiveTo,ActiveFlag,FID_InsurancePlan
FE001,AUTO-COMM-LIAB-STD-CF,PC-AUTO-COMM-LIAB-STD-CF-0120,Commercial Auto Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL001
FE002,AUTO-COMM-LIAB-STD-NTC,PC-AUTO-COMM-LIAB-STD-NTC-0120,Commercial Auto Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL001
FE003,AUTO-COMM-LIAB-ENH-CF,PC-AUTO-COMM-LIAB-ENH-CF-0120,Commercial Auto Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL002
FE004,AUTO-COMM-LIAB-ENH-END,PC-AUTO-COMM-LIAB-ENH-END-0120,Commercial Auto Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL002
FE005,AUTO-COMM-PD-STD-CF,PC-AUTO-COMM-PD-STD-CF-0120,Commercial Auto Physical Damage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL003
FE006,AUTO-COMM-PD-STD-NTC,PC-AUTO-COMM-PD-STD-NTC-0120,Commercial Auto Physical Damage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL003
FE007,AUTO-COMM-PD-ENH-CF,PC-AUTO-COMM-PD-ENH-CF-0120,Commercial Auto Physical Damage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL004
FE008,AUTO-COMM-PD-ENH-END,PC-AUTO-COMM-PD-ENH-END-0120,Commercial Auto Physical Damage Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL004
FE009,AUTO-FLEET-LIAB-STD-CF,PC-AUTO-FLEET-LIAB-STD-CF-0120,Fleet Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL005
FE010,AUTO-FLEET-LIAB-STD-NTC,PC-AUTO-FLEET-LIAB-STD-NTC-0120,Fleet Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL005
FE011,AUTO-FLEET-LIAB-ENH-CF,PC-AUTO-FLEET-LIAB-ENH-CF-0120,Fleet Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL006
FE012,AUTO-FLEET-LIAB-ENH-END,PC-AUTO-FLEET-LIAB-ENH-END-0120,Fleet Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL006
FE013,AUTO-FLEET-PD-STD-CF,PC-AUTO-FLEET-PD-STD-CF-0120,Fleet Physical Damage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL007
FE014,AUTO-FLEET-PD-STD-NTC,PC-AUTO-FLEET-PD-STD-NTC-0120,Fleet Physical Damage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL007
FE015,AUTO-FLEET-PD-ENH-CF,PC-AUTO-FLEET-PD-ENH-CF-0120,Fleet Physical Damage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL008
FE016,AUTO-FLEET-PD-ENH-SCH,PC-AUTO-FLEET-PD-ENH-SCH-0120,Fleet Physical Damage Enhanced Schedule Attachment,OTHER,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL008
FE017,AUTO-HNO-LIAB-STD-CF,PC-AUTO-HNO-LIAB-STD-CF-0120,Hired and Non-Owned Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL009
FE018,AUTO-HNO-LIAB-STD-NTC,PC-AUTO-HNO-LIAB-STD-NTC-0120,Hired and Non-Owned Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL009
FE019,AUTO-HNO-LIAB-ENH-CF,PC-AUTO-HNO-LIAB-ENH-CF-0120,Hired and Non-Owned Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL010
FE020,AUTO-HNO-LIAB-ENH-END,PC-AUTO-HNO-LIAB-ENH-END-0120,Hired and Non-Owned Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL010
FE021,AUTO-HNO-EXCESS-STD-CF,PC-AUTO-HNO-EXCESS-STD-CF-0120,Hired and Non-Owned Excess Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL011
FE022,AUTO-HNO-EXCESS-STD-NTC,PC-AUTO-HNO-EXCESS-STD-NTC-0120,Hired and Non-Owned Excess Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL011
FE023,AUTO-HNO-EXCESS-ENH-CF,PC-AUTO-HNO-EXCESS-ENH-CF-0120,Hired and Non-Owned Excess Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL012
FE024,AUTO-HNO-EXCESS-ENH-END,PC-AUTO-HNO-EXCESS-ENH-END-0120,Hired and Non-Owned Excess Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL012
FE025,AUTO-TRUCK-LIAB-STD-CF,PC-AUTO-TRUCK-LIAB-STD-CF-0120,Trucking Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL013
FE026,AUTO-TRUCK-LIAB-STD-NTC,PC-AUTO-TRUCK-LIAB-STD-NTC-0120,Trucking Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL013
FE027,AUTO-TRUCK-LIAB-ENH-CF,PC-AUTO-TRUCK-LIAB-ENH-CF-0120,Trucking Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL014
FE028,AUTO-TRUCK-LIAB-ENH-END,PC-AUTO-TRUCK-LIAB-ENH-END-0120,Trucking Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL014
FE029,AUTO-TRUCK-CARGO-STD-CF,PC-AUTO-TRUCK-CARGO-STD-CF-0120,Truckers Cargo Coverage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL015
FE030,AUTO-TRUCK-CARGO-STD-NTC,PC-AUTO-TRUCK-CARGO-STD-NTC-0120,Truckers Cargo Coverage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL015
FE031,AUTO-TRUCK-CARGO-ENH-CF,PC-AUTO-TRUCK-CARGO-ENH-CF-0120,Truckers Cargo Coverage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL016
FE032,AUTO-TRUCK-CARGO-ENH-SCH,PC-AUTO-TRUCK-CARGO-ENH-SCH-0120,Truckers Cargo Coverage Enhanced Schedule Attachment,OTHER,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL016
FE033,PROP-BLDG-BASIC-STD-CF,PC-PROP-BLDG-BASIC-STD-CF-0120,Building Basic Perils Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL017
FE034,PROP-BLDG-BASIC-STD-NTC,PC-PROP-BLDG-BASIC-STD-NTC-0120,Building Basic Perils Standard Policyholder Notice,NOTICE,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL017
FE035,PROP-BLDG-BASIC-ENH-CF,PC-PROP-BLDG-BASIC-ENH-CF-0120,Building Basic Perils Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL018
FE036,PROP-BLDG-BASIC-ENH-END,PC-PROP-BLDG-BASIC-ENH-END-0120,Building Basic Perils Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL018
FE037,PROP-BLDG-SPEC-STD-CF,PC-PROP-BLDG-SPEC-STD-CF-0120,Building Special Perils Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL019
FE038,PROP-BLDG-SPEC-STD-NTC,PC-PROP-BLDG-SPEC-STD-NTC-0120,Building Special Perils Standard Policyholder Notice,NOTICE,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL019
FE039,PROP-BLDG-SPEC-ENH-CF,PC-PROP-BLDG-SPEC-ENH-CF-0120,Building Special Perils Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL020
FE040,PROP-BLDG-SPEC-ENH-END,PC-PROP-BLDG-SPEC-ENH-END-0120,Building Special Perils Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL020
FE041,PROP-BPP-CONT-STD-CF,PC-PROP-BPP-CONT-STD-CF-0120,Business Contents Coverage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL021
FE042,PROP-BPP-CONT-STD-NTC,PC-PROP-BPP-CONT-STD-NTC-0120,Business Contents Coverage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL021
FE043,PROP-BPP-CONT-ENH-CF,PC-PROP-BPP-CONT-ENH-CF-0120,Business Contents Coverage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL022
FE044,PROP-BPP-CONT-ENH-END,PC-PROP-BPP-CONT-ENH-END-0120,Business Contents Coverage Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL022
FE045,PROP-BPP-EQUIP-STD-CF,PC-PROP-BPP-EQUIP-STD-CF-0120,Business Equipment Coverage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL023
FE046,PROP-BPP-EQUIP-STD-NTC,PC-PROP-BPP-EQUIP-STD-NTC-0120,Business Equipment Coverage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL023
FE047,PROP-BPP-EQUIP-ENH-CF,PC-PROP-BPP-EQUIP-ENH-CF-0120,Business Equipment Coverage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL024
FE048,PROP-BPP-EQUIP-ENH-SCH,PC-PROP-BPP-EQUIP-ENH-SCH-0120,Business Equipment Coverage Enhanced Schedule Attachment,OTHER,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL024
FE049,PROP-BI-INCOME-STD-CF,PC-PROP-BI-INCOME-STD-CF-0120,Business Income Coverage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL025
FE050,PROP-BI-INCOME-STD-NTC,PC-PROP-BI-INCOME-STD-NTC-0120,Business Income Coverage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL025
FE051,PROP-BI-INCOME-ENH-CF,PC-PROP-BI-INCOME-ENH-CF-0120,Business Income Coverage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL026
