PublisherID,SourceID,HomeAssetId,PropertyAddressLine1,PropertyAddressLine2,PropertyCity,PropertyState,PropertyPostalCode,PropertyCountry,YearBuilt,ConstructionQuality,RoofYear,SquareFootage,NumberOfStories,NumberOfUnits,GarageType,OccupancyType,PrimaryResidenceFlag,ProtectionClass,DistanceToFireStation,SprinklerSystemFlag,BurglarAlarmFlag,SmokeDetectorFlag,SwimmingPoolFlag,TrampolineFlag,DogBreed,ReplacementCost,MarketValue,PersonalPropertyLimit,LossUseLimit,LiabilityLimit,DeductibleAmount,FloodZone,EarthquakeZone,WindHailExclusionFlag,StartDate,EndDate,FID_BasementType,FID_ConstructionType,FID_FoundationType,FID_RoofType
POL_ADMIN,POL000017,HOM000001,,Suite 100,Richmond,VA,22000,US,1965,STANDARD,1977,4500,1,1,NONE,OWNER_OCCUPIED,FALSE,1,0.4,TRUE,TRUE,TRUE,FALSE,FALSE,,742500.00,608850.00,148500.00,74250.00,500000.00,1000.00,X,LOW,FALSE,"Feb 21, 2024","Feb 20, 2025",1,4,6,3
POL_ADMIN,POL000018,HOM000002,,Suite 101,Aurora,CO,80137,US,1970,CUSTOM,1985,5323,2,2,NONE,TENANT_OCCUPIED,FALSE,2,0.8,TRUE,TRUE,TRUE,FALSE,FALSE,,1201175.00,1033010.50,240235.00,120117.50,1000000.00,2500.00,X500,MODERATE,FALSE,"Feb 24, 2024","Feb 23, 2025",2,5,7,4
POL_ADMIN,POL000019,HOM000003,,Suite 102,Columbia,MO,63274,US,1975,ECONOMY,1993,6146,3,3,NONE,VACANT,FALSE,3,1.1,TRUE,TRUE,TRUE,FALSE,FALSE,,775250.00,697725.00,155050.00,77525.00,2000000.00,5000.00,AE,HIGH,FALSE,"Feb 27, 2024","Feb 26, 2025",3,6,8,5
POL_ADMIN,POL000020,HOM000004,,Suite 103,Los Angeles,CA,90411,US,1980,LUXURY,2001,6969,4,4,NONE,OWNER_OCCUPIED,FALSE,4,1.4,TRUE,TRUE,TRUE,FALSE,FALSE,,2101200.00,1975128.00,420240.00,210120.00,5000000.00,10000.00,A,VERY_HIGH,FALSE,"Mar 01, 2024","Feb 28, 2025",4,7,9,6
POL_ADMIN,POL000021,HOM000005,128 Commerce Way,Suite 104,Tampa,FL,32548,US,1985,STANDARD,2009,7792,5,5,NONE,TENANT_OCCUPIED,FALSE,5,1.8,TRUE,TRUE,TRUE,FALSE,FALSE,,1299680.00,1273686.40,259936.00,129968.00,500000.00,1000.00,X500,LOW,TRUE,"Mar 04, 2024","Mar 03, 2025",5,8,10,7
POL_ADMIN,POL000022,HOM000006,135 Industrial Drive,Suite 105,Cincinnati,OH,43685,US,1990,CUSTOM,2017,8615,6,6,NONE,VACANT,FALSE,6,2.1,TRUE,TRUE,TRUE,FALSE,FALSE,,1955875.00,1994992.50,391175.00,195587.50,1000000.00,2500.00,X,MODERATE,FALSE,"Mar 07, 2024","Mar 06, 2025",6,9,11,8
POL_ADMIN,POL000023,HOM000007,142 Market Street,Suite 106,Detroit,MI,48822,US,1995,ECONOMY,2024,9438,7,1,NONE,OWNER_OCCUPIED,FALSE,7,2.5,TRUE,TRUE,TRUE,FALSE,FALSE,,1200750.00,984615.00,240150.00,120075.00,2000000.00,5000.00,X500,HIGH,FALSE,"Mar 10, 2024","Mar 09, 2025",7,10,12,9
POL_ADMIN,POL000024,HOM000008,149 Logistics Parkway,Suite 107,Tacoma,WA,98060,US,2000,LUXURY,2024,10261,8,2,NONE,TENANT_OCCUPIED,FALSE,8,2.8,TRUE,TRUE,TRUE,FALSE,FALSE,,3102800.00,2668408.00,620560.00,310280.00,5000000.00,10000.00,AE,VERY_HIGH,FALSE,"Mar 13, 2024","Mar 12, 2025",8,11,1,10
POL_ADMIN,POL000025,HOM000009,156 Commerce Way,Suite 108,Lowell,MA,01197,US,2005,STANDARD,2024,11084,1,3,NONE,VACANT,FALSE,9,3.2,TRUE,TRUE,TRUE,FALSE,FALSE,,1828860.00,1645974.00,365772.00,182886.00,500000.00,1000.00,A,LOW,FALSE,"Mar 16, 2024","Mar 15, 2025",9,12,2,11
POL_ADMIN,POL000026,HOM000010,163 Industrial Drive,Suite 109,Minneapolis,MN,55334,US,2010,CUSTOM,2024,11907,2,4,NONE,OWNER_OCCUPIED,FALSE,10,3.5,TRUE,TRUE,TRUE,FALSE,FALSE,,2682575.00,2521620.50,536515.00,268257.50,1000000.00,2500.00,VE,MODERATE,FALSE,"Mar 19, 2024","Mar 18, 2025",1,1,3,12
POL_ADMIN,POL000027,HOM000011,170 Market Street,Suite 110,Albany,NY,10471,US,2015,ECONOMY,2024,12730,3,5,NONE,TENANT_OCCUPIED,FALSE,1,3.9,TRUE,TRUE,TRUE,FALSE,FALSE,,1598250.00,1566285.00,319650.00,159825.00,2000000.00,5000.00,X,HIGH,FALSE,"Mar 22, 2024","Mar 21, 2025",2,2,4,13
POL_ADMIN,POL000028,HOM000012,177 Logistics Parkway,Suite 111,Peoria,IL,60608,US,1965,LUXURY,2010,13553,4,6,NONE,VACANT,FALSE,2,4.3,TRUE,TRUE,TRUE,FALSE,FALSE,,4076400.00,4157928.00,815280.00,407640.00,5000000.00,10000.00,X500,VERY_HIGH,FALSE,"Mar 25, 2024","Mar 24, 2025",3,3,5,14
POL_ADMIN,POL000029,HOM000013,184 Commerce Way,Suite 112,Atlanta,GA,30745,US,1970,STANDARD,2018,14376,5,1,NONE,OWNER_OCCUPIED,FALSE,3,4.6,TRUE,TRUE,TRUE,FALSE,FALSE,,2386040.00,1956552.80,477208.00,238604.00,500000.00,1000.00,AE,LOW,TRUE,"Mar 28, 2024","Mar 27, 2025",4,4,6,1
POL_ADMIN,POL000030,HOM000014,191 Industrial Drive,Suite 113,Trenton,NJ,07882,US,1975,CUSTOM,2024,15199,6,2,NONE,TENANT_OCCUPIED,FALSE,4,5.0,TRUE,TRUE,TRUE,FALSE,FALSE,,3437275.00,2956056.50,687455.00,343727.50,1000000.00,2500.00,A,MODERATE,FALSE,"Mar 31, 2024","Mar 30, 2025",5,5,7,2
POL_ADMIN,POL000031,HOM000015,198 Market Street,Suite 114,Tempe,AZ,85120,US,1980,ECONOMY,2024,16022,7,3,NONE,VACANT,FALSE,5,5.3,TRUE,TRUE,TRUE,FALSE,FALSE,,2023750.00,1821375.00,404750.00,202375.00,2000000.00,5000.00,VE,HIGH,FALSE,"Apr 03, 2024","Apr 02, 2025",6,6,8,3
POL_ADMIN,POL000032,HOM000016,205 Logistics Parkway,Suite 115,Nashville,TN,37257,US,1985,LUXURY,1997,16845,8,4,NONE,OWNER_OCCUPIED,FALSE,6,5.7,TRUE,TRUE,TRUE,FALSE,FALSE,,5078000.00,4773320.00,1015600.00,507800.00,5000000.00,10000.00,X,VERY_HIGH,FALSE,"Apr 06, 2024","Apr 05, 2025",7,7,9,4
POL_ADMIN,POL000048,HOM000017,212 Oak Street,,Naperville,IL,60394,US,1992,STANDARD,2007,4576,2,1,ATTACHED,OWNER_OCCUPIED,TRUE,7,6.0,FALSE,TRUE,TRUE,FALSE,FALSE,,846560.00,694179.20,423280.00,169312.00,100000.00,500.00,X500,LOW,FALSE,"May 24, 2024","May 23, 2025",2,5,6,3
