PublisherID,Gold_PolicyID,PolicyNumber,PolicyVersion,EffectiveDate,ExpirationDate,IssueDate,CancelDate,CancellationReason,JurisdictionState,CurrencyCode,WrittenPremium,TotalPremium,LastPremiumPaidDate,LastPremiumPaidAmount,OutstandingPremiumAmount,PaymentDueDate,AutoPayIndicator,GracePeriodEndDate,PolicyLapseIndicator,ReinstatementDate,FID_DistributionChannel,FID_PaymentPlan,FID_PaymentStatus,FID_PolicyStatus
POL_ADMIN,POL000001,PNC-2024-100001,1,"Jan 04, 2024","Jan 03, 2025","Jan 01, 2024",,,FL,USD,850,850,"Dec 25, 2023",425,425,"Feb 18, 2024",TRUE,"Mar 04, 2024",FALSE,,AFFINITY_GROUP,EFT_MONTHLY,PARTIALLY_PAID,XYZ
POL_ADMIN,POL000002,PNC-2024-100002,1,"Jan 07, 2024","Jan 06, 2025","Jan 03, 2024",,,OH,USD,998,998,,0,998,"Mar 22, 2024",TRUE,,FALSE,,BROKER,PAY_FULL,SCHEDULED,XYZ
POL_ADMIN,POL000003,PNC-2024-100003,1,"Jan 10, 2024","Jan 09, 2025","Jan 05, 2024","Apr 15, 2024",,MI,USD,1061,1061,"Dec 31, 2023",1061,0,"Apr 24, 2024",TRUE,"May 09, 2024",FALSE,,CALL_CENTER,EFT_MONTHLY,PAID,ISSUED
POL_ADMIN,POL000004,PNC-2024-100004,1,"Jan 13, 2024","Jan 12, 2025","Jan 07, 2024","May 15, 2024",,WA,USD,1198,1198,,0,1198,"May 27, 2024",FALSE,,FALSE,,EMBEDDED_PARTNER,PAY_FULL,PROCESSING,BOUND
POL_ADMIN,POL000005,PNC-2024-100005,1,"Jan 16, 2024","Jan 15, 2025","Jan 09, 2024","Jun 15, 2024",,MA,USD,3388,3388,"Jan 06, 2024",2202,1186,"Jun 29, 2024",TRUE,"Jul 14, 2024",FALSE,"Apr 05, 2024",WHOLESALE_BROKER,EFT_MONTHLY,PARTIALLY_PAID,REINSTATED
POL_ADMIN,POL000006,PNC-2024-100006,1,"Jan 19, 2024","Jan 18, 2025","Jan 11, 2024",,,MN,USD,1354,1354,,0,1354,"Feb 03, 2024",TRUE,,FALSE,,CAPTIVE_AGENT,PAY_FULL,DUE,APPLICATION
POL_ADMIN,POL000007,PNC-2024-100007,1,"Jan 22, 2024","Jan 21, 2025","Jan 13, 2024","Mar 29, 2024",Underwriting eligibility change,NY,USD,1911,1911,"Jan 12, 2024",860,0,"Mar 07, 2024",TRUE,"Mar 22, 2024",FALSE,,MARKETPLACE,EFT_MONTHLY,REFUNDED,CANCELLED
POL_ADMIN,POL000008,PNC-2024-100008,1,"Jan 25, 2024","Jan 24, 2025","Jan 15, 2024",,,IL,USD,1886,1886,"Jan 15, 2024",1886,0,"Apr 09, 2024",FALSE,,FALSE,,BANCASSURANCE,PAY_FULL,PAID,ACTIVE
POL_ADMIN,POL000009,PNC-2024-100009,1,"Jan 28, 2024","Jan 27, 2025","Jan 17, 2024",,,GA,USD,2034,2034,"Jan 18, 2024",712,1322,"May 12, 2024",TRUE,"May 27, 2024",FALSE,,BROKER,EFT_MONTHLY,PARTIALLY_PAID,ACTIVE
POL_ADMIN,POL000010,PNC-2024-100010,1,"Jan 31, 2024","Jan 30, 2025","Jan 19, 2024",,,NJ,USD,5127,5127,,0,5127,"Jun 14, 2024",TRUE,,FALSE,,CALL_CENTER,PAY_FULL,SCHEDULED,ACTIVE
