PublisherID,SourceID,AssetDescription,StartDate,EndDate,FID_AssetStatus,FID_AssetType,FID_AssignedPolicy,PublisherID_HomeAsset,SourceID_HomeAsset,FID_LineOfBusiness,PublisherID_VehicleAsset,SourceID_VehicleAsset
POL_ADMIN,POL000001-VEH000001,2017 Ford F-150 vehicle assigned to policy POL000001.,"Jan 04, 2024","Jan 03, 2025",1,1,POL000001,,,LOB001,POL_ADMIN,POL000001
POL_ADMIN,POL000002-VEH000002,2024 Ram 1500 vehicle assigned to policy POL000002.,"Jan 07, 2024","Jan 06, 2025",1,1,POL000002,,,LOB001,POL_ADMIN,POL000002
POL_ADMIN,POL000003-VEH000003,2022 Ford F-150 vehicle assigned to policy POL000003.,"Jan 10, 2024","Jan 09, 2025",1,1,POL000003,,,LOB001,POL_ADMIN,POL000003
POL_ADMIN,POL000004-VEH000004,2020 Ram 1500 vehicle assigned to policy POL000004.,"Jan 13, 2024","Jan 12, 2025",1,1,POL000004,,,LOB001,POL_ADMIN,POL000004
POL_ADMIN,POL000005-VEH000005,2018 Ford F-150 vehicle assigned to policy POL000005.,"Jan 16, 2024","Jan 15, 2025",1,1,POL000005,,,LOB001,POL_ADMIN,POL000005
POL_ADMIN,POL000006-VEH000006,2025 Ram 1500 vehicle assigned to policy POL000006.,"Jan 19, 2024","Jan 18, 2025",2,1,POL000006,,,LOB001,POL_ADMIN,POL000006
POL_ADMIN,POL000007-VEH000007,2023 Ford F-150 vehicle assigned to policy POL000007.,"Jan 22, 2024","Jan 21, 2025",9,1,POL000007,,,LOB001,POL_ADMIN,POL000007
POL_ADMIN,POL000008-VEH000008,2021 Ram 1500 vehicle assigned to policy POL000008.,"Jan 25, 2024","Jan 24, 2025",1,1,POL000008,,,LOB001,POL_ADMIN,POL000008
POL_ADMIN,POL000009-VEH000009,2019 Ford F-150 vehicle assigned to policy POL000009.,"Jan 28, 2024","Jan 27, 2025",1,1,POL000009,,,LOB001,POL_ADMIN,POL000009
POL_ADMIN,POL000010-VEH000010,2017 Ram 1500 vehicle assigned to policy POL000010.,"Jan 31, 2024","Jan 30, 2025",1,1,POL000010,,,LOB001,POL_ADMIN,POL000010
POL_ADMIN,POL000011-VEH000011,2024 Ford F-150 vehicle assigned to policy POL000011.,"Feb 03, 2024","Feb 02, 2025",1,1,POL000011,,,LOB001,POL_ADMIN,POL000011
POL_ADMIN,POL000012-VEH000012,2022 Ram 1500 vehicle assigned to policy POL000012.,"Feb 06, 2024","Feb 05, 2025",1,1,POL000012,,,LOB001,POL_ADMIN,POL000012
POL_ADMIN,POL000013-VEH000013,2020 Ford F-150 vehicle assigned to policy POL000013.,"Feb 09, 2024","Feb 08, 2025",1,1,POL000013,,,LOB001,POL_ADMIN,POL000013
POL_ADMIN,POL000014-VEH000014,2018 Ram 1500 vehicle assigned to policy POL000014.,"Feb 12, 2024","Feb 11, 2025",2,1,POL000014,,,LOB001,POL_ADMIN,POL000014
POL_ADMIN,POL000015-VEH000015,2025 Ford F-150 vehicle assigned to policy POL000015.,"Feb 15, 2024","Feb 14, 2025",9,1,POL000015,,,LOB001,POL_ADMIN,POL000015
POL_ADMIN,POL000016-VEH000016,2023 Ram 1500 vehicle assigned to policy POL000016.,"Feb 18, 2024","Feb 17, 2025",1,1,POL000016,,,LOB001,POL_ADMIN,POL000016
POL_ADMIN,POL000033-VEH000017,2021 BMW X5 vehicle assigned to policy POL000033.,"Apr 09, 2024","Apr 08, 2025",1,1,POL000033,,,LOB003,POL_ADMIN,POL000033
POL_ADMIN,POL000034-VEH000018,2019 Toyota RAV4 vehicle assigned to policy POL000034.,"Apr 12, 2024","Apr 11, 2025",1,1,POL000034,,,LOB003,POL_ADMIN,POL000034
POL_ADMIN,POL000035-VEH000019,2017 Jeep Grand Cherokee vehicle assigned to policy POL000035.,"Apr 15, 2024","Apr 14, 2025",1,1,POL000035,,,LOB003,POL_ADMIN,POL000035
POL_ADMIN,POL000036-VEH000020,2024 Mercedes-Benz C-Class vehicle assigned to policy POL000036.,"Apr 18, 2024","Apr 17, 2025",1,1,POL000036,,,LOB003,POL_ADMIN,POL000036
POL_ADMIN,POL000037-VEH000021,2022 Honda Accord vehicle assigned to policy POL000037.,"Apr 21, 2024","Apr 20, 2025",1,1,POL000037,,,LOB003,POL_ADMIN,POL000037
POL_ADMIN,POL000038-VEH000022,2020 Subaru Outback vehicle assigned to policy POL000038.,"Apr 24, 2024","Apr 23, 2025",2,1,POL000038,,,LOB003,POL_ADMIN,POL000038
POL_ADMIN,POL000039-VEH000023,2018 Tesla Model 3 vehicle assigned to policy POL000039.,"Apr 27, 2024","Apr 26, 2025",4,1,POL000039,,,LOB003,POL_ADMIN,POL000039
POL_ADMIN,POL000040-VEH000024,2025 Honda CR-V vehicle assigned to policy POL000040.,"Apr 30, 2024","Apr 29, 2025",3,1,POL000040,,,LOB003,POL_ADMIN,POL000040
POL_ADMIN,POL000041-VEH000025,2023 Subaru Forester vehicle assigned to policy POL000041.,"May 03, 2024","May 02, 2025",1,1,POL000041,,,LOB003,POL_ADMIN,POL000041
POL_ADMIN,POL000042-VEH000026,2021 Tesla Model Y vehicle assigned to policy POL000042.,"May 06, 2024","May 05, 2025",1,1,POL000042,,,LOB003,POL_ADMIN,POL000042
POL_ADMIN,POL000043-VEH000027,2019 Nissan Altima vehicle assigned to policy POL000043.,"May 09, 2024","May 08, 2025",1,1,POL000043,,,LOB003,POL_ADMIN,POL000043
POL_ADMIN,POL000044-VEH000028,2017 BMW 3 Series vehicle assigned to policy POL000044.,"May 12, 2024","May 11, 2025",1,1,POL000044,,,LOB003,POL_ADMIN,POL000044
POL_ADMIN,POL000045-VEH000029,2024 Toyota Camry vehicle assigned to policy POL000045.,"May 15, 2024","May 14, 2025",1,1,POL000045,,,LOB003,POL_ADMIN,POL000045
